FEC3    // 0: -0.07739257812500000000
FE95    // 1: -0.08862304687500000000
FE68    // 2: -0.09960937500000000000
FE50    // 3: -0.10546875000000000000
FE5E    // 4: -0.10205078125000000000
FE90    // 5: -0.08984375000000000000
FECC    // 6: -0.07519531250000000000
FEF8    // 7: -0.06445312500000000000
FEFF    // 8: -0.06274414062500000000
FEE0    // 9: -0.07031250000000000000
FEAF    // 10: -0.08227539062500000000
FE85    // 11: -0.09252929687500000000
FE69    // 12: -0.09936523437500000000
FE6F    // 13: -0.09790039062500000000
FE8B    // 14: -0.09106445312500000000
FEA9    // 15: -0.08374023437500000000
FEC6    // 16: -0.07666015625000000000
FECD    // 17: -0.07495117187500000000
FEC2    // 18: -0.07763671875000000000
FEB1    // 19: -0.08178710937500000000
FEA5    // 20: -0.08471679687500000000
FE9E    // 21: -0.08642578125000000000
FE9E    // 22: -0.08642578125000000000
FE9E    // 23: -0.08642578125000000000
FE9C    // 24: -0.08691406250000000000
FE98    // 25: -0.08789062500000000000
FE97    // 26: -0.08813476562500000000
FEA1    // 27: -0.08569335937500000000
FEBB    // 28: -0.07934570312500000000
FED8    // 29: -0.07226562500000000000
FEF1    // 30: -0.06616210937500000000
FEF3    // 31: -0.06567382812500000000
FEE4    // 32: -0.06933593750000000000
FED0    // 33: -0.07421875000000000000
FEB4    // 34: -0.08105468750000000000
FEA6    // 35: -0.08447265625000000000
FEA8    // 36: -0.08398437500000000000
FEB1    // 37: -0.08178710937500000000
FEBE    // 38: -0.07861328125000000000
FEC7    // 39: -0.07641601562500000000
FEC4    // 40: -0.07714843750000000000
FEC8    // 41: -0.07617187500000000000
FED3    // 42: -0.07348632812500000000
FEE2    // 43: -0.06982421875000000000
FEF9    // 44: -0.06420898437500000000
FF07    // 45: -0.06079101562500000000
FF02    // 46: -0.06201171875000000000
FEFC    // 47: -0.06347656250000000000
FEFA    // 48: -0.06396484375000000000
FF02    // 49: -0.06201171875000000000
FF24    // 50: -0.05371093750000000000
FF4D    // 51: -0.04370117187500000000
FF74    // 52: -0.03417968750000000000
