FF30    // 0: -0.05078125000000000000
FF3C    // 1: -0.04785156250000000000
FF4C    // 2: -0.04394531250000000000
FF4C    // 3: -0.04394531250000000000
FF5C    // 4: -0.04003906250000000000
FF68    // 5: -0.03710937500000000000
FF68    // 6: -0.03710937500000000000
FF70    // 7: -0.03515625000000000000
FF70    // 8: -0.03515625000000000000
FF78    // 9: -0.03320312500000000000
FF74    // 10: -0.03417968750000000000
FF68    // 11: -0.03710937500000000000
FF50    // 12: -0.04296875000000000000
FF40    // 13: -0.04687500000000000000
FF24    // 14: -0.05371093750000000000
FF1C    // 15: -0.05566406250000000000
FF34    // 16: -0.04980468750000000000
FF6C    // 17: -0.03613281250000000000
FF90    // 18: -0.02734375000000000000
FFB0    // 19: -0.01953125000000000000
FF9C    // 20: -0.02441406250000000000
FF84    // 21: -0.03027343750000000000
FF68    // 22: -0.03710937500000000000
FF6C    // 23: -0.03613281250000000000
FF78    // 24: -0.03320312500000000000
FF54    // 25: -0.04199218750000000000
FF18    // 26: -0.05664062500000000000
FEDC    // 27: -0.07128906250000000000
FEC4    // 28: -0.07714843750000000000
FED0    // 29: -0.07421875000000000000
FEE4    // 30: -0.06933593750000000000
FEF4    // 31: -0.06542968750000000000
FF0C    // 32: -0.05957031250000000000
FF04    // 33: -0.06152343750000000000
FEE8    // 34: -0.06835937500000000000
FEDC    // 35: -0.07128906250000000000
FED4    // 36: -0.07324218750000000000
FEC4    // 37: -0.07714843750000000000
FEBC    // 38: -0.07910156250000000000
FEA4    // 39: -0.08496093750000000000
FE9C    // 40: -0.08691406250000000000
FE98    // 41: -0.08789062500000000000
FE94    // 42: -0.08886718750000000000
FE90    // 43: -0.08984375000000000000
FEA4    // 44: -0.08496093750000000000
FEBC    // 45: -0.07910156250000000000
FED4    // 46: -0.07324218750000000000
FEDC    // 47: -0.07128906250000000000
FEC4    // 48: -0.07714843750000000000
FEA8    // 49: -0.08398437500000000000
FE90    // 50: -0.08984375000000000000
FE70    // 51: -0.09765625000000000000
FE74    // 52: -0.09667968750000000000
FE88    // 53: -0.09179687500000000000
FE9C    // 54: -0.08691406250000000000
FE9C    // 55: -0.08691406250000000000
