FF2C    // 0: -0.05175781250000000000
FF30    // 1: -0.05078125000000000000
FF44    // 2: -0.04589843750000000000
FF54    // 3: -0.04199218750000000000
FF54    // 4: -0.04199218750000000000
FF54    // 5: -0.04199218750000000000
FF48    // 6: -0.04492187500000000000
FF48    // 7: -0.04492187500000000000
FF60    // 8: -0.03906250000000000000
FF6C    // 9: -0.03613281250000000000
FF6C    // 10: -0.03613281250000000000
FF58    // 11: -0.04101562500000000000
FF48    // 12: -0.04492187500000000000
FF24    // 13: -0.05371093750000000000
FF08    // 14: -0.06054687500000000000
FEEC    // 15: -0.06738281250000000000
FEFC    // 16: -0.06347656250000000000
FF18    // 17: -0.05664062500000000000
FF50    // 18: -0.04296875000000000000
FF78    // 19: -0.03320312500000000000
FF98    // 20: -0.02539062500000000000
FFB4    // 21: -0.01855468750000000000
FFA8    // 22: -0.02148437500000000000
FF7C    // 23: -0.03222656250000000000
FF3C    // 24: -0.04785156250000000000
FED0    // 25: -0.07421875000000000000
FEA8    // 26: -0.08398437500000000000
FEA8    // 27: -0.08398437500000000000
FEC0    // 28: -0.07812500000000000000
FEDC    // 29: -0.07128906250000000000
FEFC    // 30: -0.06347656250000000000
FEF8    // 31: -0.06445312500000000000
FEF0    // 32: -0.06640625000000000000
FEDC    // 33: -0.07128906250000000000
FEE0    // 34: -0.07031250000000000000
FECC    // 35: -0.07519531250000000000
FEA4    // 36: -0.08496093750000000000
FE70    // 37: -0.09765625000000000000
FE44    // 38: -0.10839843750000000000
FE50    // 39: -0.10546875000000000000
FE60    // 40: -0.10156250000000000000
FE70    // 41: -0.09765625000000000000
FE84    // 42: -0.09277343750000000000
FE98    // 43: -0.08789062500000000000
FEA4    // 44: -0.08496093750000000000
FEAC    // 45: -0.08300781250000000000
FEB0    // 46: -0.08203125000000000000
FEB8    // 47: -0.08007812500000000000
FEC8    // 48: -0.07617187500000000000
FEF0    // 49: -0.06640625000000000000
FF04    // 50: -0.06152343750000000000
FEF8    // 51: -0.06445312500000000000
FEF0    // 52: -0.06640625000000000000
FEDC    // 53: -0.07128906250000000000
FED8    // 54: -0.07226562500000000000
FED4    // 55: -0.07324218750000000000
FED8    // 56: -0.07226562500000000000
FEB8    // 57: -0.08007812500000000000
FEBC    // 58: -0.07910156250000000000
FEC4    // 59: -0.07714843750000000000
FEBC    // 60: -0.07910156250000000000
FEBC    // 61: -0.07910156250000000000
FE9C    // 62: -0.08691406250000000000
FE7C    // 63: -0.09472656250000000000
FE70    // 64: -0.09765625000000000000
FE60    // 65: -0.10156250000000000000
FE60    // 66: -0.10156250000000000000
FE7C    // 67: -0.09472656250000000000
FEB8    // 68: -0.08007812500000000000
FF08    // 69: -0.06054687500000000000
FF64    // 70: -0.03808593750000000000
FFCC    // 71: -0.01269531250000000000
0038    // 72: 0.01367187500000000000
00A8    // 73: 0.04101562500000000000
00F8    // 74: 0.06054687500000000000
0114    // 75: 0.06738281250000000000
0110    // 76: 0.06640625000000000000
00FC    // 77: 0.06152343750000000000
0110    // 78: 0.06640625000000000000
0138    // 79: 0.07617187500000000000
01B0    // 80: 0.10546875000000000000
0234    // 81: 0.13769531250000000000
0290    // 82: 0.16015625000000000000
0294    // 83: 0.16113281250000000000
0214    // 84: 0.12988281250000000000
011C    // 85: 0.06933593750000000000
FFC4    // 86: -0.01464843750000000000
FE6C    // 87: -0.09863281250000000000
FD3C    // 88: -0.17285156250000000000
FC70    // 89: -0.22265625000000000000
FBE4    // 90: -0.25683593750000000000
FB98    // 91: -0.27539062500000000000
FB74    // 92: -0.28417968750000000000
FB5C    // 93: -0.29003906250000000000
FB58    // 94: -0.29101562500000000000
FB60    // 95: -0.28906250000000000000
FB58    // 96: -0.29101562500000000000
FB40    // 97: -0.29687500000000000000
FB20    // 98: -0.30468750000000000000
FB0C    // 99: -0.30957031250000000000
FAFC    // 100: -0.31347656250000000000
FAF4    // 101: -0.31542968750000000000
FAF0    // 102: -0.31640625000000000000
FB00    // 103: -0.31250000000000000000
FB1C    // 104: -0.30566406250000000000
FB70    // 105: -0.28515625000000000000
FBCC    // 106: -0.26269531250000000000
FC28    // 107: -0.24023437500000000000
FC98    // 108: -0.21289062500000000000
FD14    // 109: -0.18261718750000000000
FD6C    // 110: -0.16113281250000000000
FDCC    // 111: -0.13769531250000000000
FDFC    // 112: -0.12597656250000000000
FE1C    // 113: -0.11816406250000000000
FE18    // 114: -0.11914062500000000000
FE24    // 115: -0.11621093750000000000
FE2C    // 116: -0.11425781250000000000
FE40    // 117: -0.10937500000000000000
FE5C    // 118: -0.10253906250000000000
FE68    // 119: -0.09960937500000000000
FE74    // 120: -0.09667968750000000000
FE50    // 121: -0.10546875000000000000
FE24    // 122: -0.11621093750000000000
FE08    // 123: -0.12304687500000000000
FE28    // 124: -0.11523437500000000000
FE50    // 125: -0.10546875000000000000
FE70    // 126: -0.09765625000000000000
FE70    // 127: -0.09765625000000000000
FE74    // 128: -0.09667968750000000000
FE60    // 129: -0.10156250000000000000
FE4C    // 130: -0.10644531250000000000
FE3C    // 131: -0.11035156250000000000
FE30    // 132: -0.11328125000000000000
FE24    // 133: -0.11621093750000000000
FE2C    // 134: -0.11425781250000000000
FE28    // 135: -0.11523437500000000000
FE2C    // 136: -0.11425781250000000000
FE24    // 137: -0.11621093750000000000
FE18    // 138: -0.11914062500000000000
FE18    // 139: -0.11914062500000000000
FE18    // 140: -0.11914062500000000000
FE10    // 141: -0.12109375000000000000
FE04    // 142: -0.12402343750000000000
FDF4    // 143: -0.12792968750000000000
FDF0    // 144: -0.12890625000000000000
FDE0    // 145: -0.13281250000000000000
FDE0    // 146: -0.13281250000000000000
FDD4    // 147: -0.13574218750000000000
FDD8    // 148: -0.13476562500000000000
FDD0    // 149: -0.13671875000000000000
FDC4    // 150: -0.13964843750000000000
FDC0    // 151: -0.14062500000000000000
FDB4    // 152: -0.14355468750000000000
FDA4    // 153: -0.14746093750000000000
FD9C    // 154: -0.14941406250000000000
FD98    // 155: -0.15039062500000000000
FD88    // 156: -0.15429687500000000000
FD88    // 157: -0.15429687500000000000
FD8C    // 158: -0.15332031250000000000
FD9C    // 159: -0.14941406250000000000
FD9C    // 160: -0.14941406250000000000
FD8C    // 161: -0.15332031250000000000
FD74    // 162: -0.15917968750000000000
FD64    // 163: -0.16308593750000000000
FD50    // 164: -0.16796875000000000000
FD64    // 165: -0.16308593750000000000
FD80    // 166: -0.15625000000000000000
FD90    // 167: -0.15234375000000000000
FD94    // 168: -0.15136718750000000000
FD98    // 169: -0.15039062500000000000
FD90    // 170: -0.15234375000000000000
FD8C    // 171: -0.15332031250000000000
FD90    // 172: -0.15234375000000000000
FD8C    // 173: -0.15332031250000000000
FD98    // 174: -0.15039062500000000000
FDA8    // 175: -0.14648437500000000000
FDC0    // 176: -0.14062500000000000000
FDD0    // 177: -0.13671875000000000000
FDDC    // 178: -0.13378906250000000000
FDEC    // 179: -0.12988281250000000000
FDE4    // 180: -0.13183593750000000000
FDE8    // 181: -0.13085937500000000000
FDF0    // 182: -0.12890625000000000000
FE00    // 183: -0.12500000000000000000
FE14    // 184: -0.12011718750000000000
FE30    // 185: -0.11328125000000000000
FE40    // 186: -0.10937500000000000000
FE4C    // 187: -0.10644531250000000000
FE64    // 188: -0.10058593750000000000
FE7C    // 189: -0.09472656250000000000
FE88    // 190: -0.09179687500000000000
FE88    // 191: -0.09179687500000000000
FE78    // 192: -0.09570312500000000000
FE64    // 193: -0.10058593750000000000
FE64    // 194: -0.10058593750000000000
FE80    // 195: -0.09375000000000000000
FE90    // 196: -0.08984375000000000000
FEA4    // 197: -0.08496093750000000000
FEB0    // 198: -0.08203125000000000000
FEB4    // 199: -0.08105468750000000000
FEB4    // 200: -0.08105468750000000000
FEB8    // 201: -0.08007812500000000000
FEB4    // 202: -0.08105468750000000000
FEB4    // 203: -0.08105468750000000000
FEA0    // 204: -0.08593750000000000000
FEA8    // 205: -0.08398437500000000000
FEB0    // 206: -0.08203125000000000000
FEAC    // 207: -0.08300781250000000000
FEB4    // 208: -0.08105468750000000000
