FE60F022    // 0: -0.10133349150419235229
FE67137C    // 1: -0.09983493387699127197
FE6E6377    // 2: -0.09804967418313026428
FE7450E6    // 3: -0.09660253673791885376
FE7790E5    // 4: -0.09580908343195915222
FE78A146    // 5: -0.09554932266473770142
FE793F04    // 6: -0.09539888799190521240
FE7B377B    // 7: -0.09491779282689094543
FE7F5DDE    // 8: -0.09390462189912796021
FE851E8A    // 9: -0.09250017255544662476
FE8AD27B    // 10: -0.09110786393284797668
FE8E84A4    // 11: -0.09020553529262542725
FE8EA844    // 12: -0.09017156064510345459
FE8A6F0D    // 13: -0.09120268747210502625
FE81CE72    // 14: -0.09330897778272628784
FE756393    // 15: -0.09634058550000190735
FE667B86    // 16: -0.09997985512018203735
FE5728DB    // 17: -0.10372080281376838684
FE4A2729    // 18: -0.10689624771475791931
FE423ADB    // 19: -0.10883058980107307434
FE4132D5    // 20: -0.10908238217234611511
FE46EC4A    // 21: -0.10768481343984603882
FE5114BE    // 22: -0.10520482808351516724
FE5BEA98    // 23: -0.10255947709083557129
FE63D094    // 24: -0.10063116252422332764
FE66E245    // 25: -0.09988186880946159363
FE65B15D    // 26: -0.10017265006899833679
FE62CA89    // 27: -0.10088106617331504822
FE615740    // 28: -0.10123515129089355469
FE63B110    // 29: -0.10066121816635131836
FE6AA549    // 30: -0.09896346554160118103
FE7597F5    // 31: -0.09629062935709953308
FE832851    // 32: -0.09297912940382957458
FE91B267    // 33: -0.08942947164177894592
FE9F6CF7    // 34: -0.08607772365212440491
FEAA56CB    // 35: -0.08341332152485847473
FEB078CC    // 36: -0.08191604912281036377
FEB0A794    // 37: -0.08187143504619598389
FEAB7A32    // 38: -0.08313541859388351440
FEA3A0C1    // 39: -0.08505177125334739685
FE9D1073    // 40: -0.08665423467755317688
FE9B2EEA    // 41: -0.08711346238851547241
FE9EF4D0    // 42: -0.08619230985641479492
FEA6402D    // 43: -0.08441145345568656921
FEACFE77    // 44: -0.08276513591408729553
FEAFAA5C    // 45: -0.08211292326450347900
FEADA94F    // 46: -0.08260220661759376526
FEAA1F03    // 47: -0.08346651867032051086
FEAA8E13    // 48: -0.08336060121655464172
FEB3FC54    // 49: -0.08105818927288055420
FEC83AE5    // 50: -0.07611570879817008972
FEE4BA6A    // 51: -0.06915815919637680054
FF038767    // 52: -0.06163844838738441467
FF1DB5CE    // 53: -0.05524653941392898560
FF2DE735    // 54: -0.05129317566752433777
FF31C033    // 55: -0.05035381391644477844
FF29F325    // 56: -0.05225835368037223816
FF195EA4    // 57: -0.05630622804164886475
FF040A65    // 58: -0.06151352450251579285
FEEE7EF7    // 59: -0.06677344813942909241
FEDD59A6    // 60: -0.07095942646265029907
FED4B9A0    // 61: -0.07306516170501708984
FED738D9    // 62: -0.07245555147528648376
FEE4CAD8    // 63: -0.06914249062538146973
FEFA2ABF    // 64: -0.06392407789826393127
FF11871F    // 65: -0.05822074785828590393
FF245DF4    // 66: -0.05362133681774139404
FF2DE15D    // 67: -0.05129874870181083679
FF2C98E6    // 68: -0.05161199718713760376
FF227C44    // 69: -0.05408070981502532959
FF137BFC    // 70: -0.05774308741092681885
FF035288    // 71: -0.06168887019157409668
FEF3E644    // 72: -0.06545422971248626709
FEE51035    // 73: -0.06907634064555168152
FED5C3B3    // 74: -0.07281141355633735657
FEC5AB34    // 75: -0.07674102485179901123
FEB6173B    // 76: -0.08054425194859504700
FEA98B13    // 77: -0.08360760286450386047
FEA2398A    // 78: -0.08539434522390365601
FEA06F37    // 79: -0.08583143725991249084
FEA20E1A    // 80: -0.08543577045202255249
FEA38F59    // 81: -0.08506837114691734314
FEA1F4B9    // 82: -0.08545997366309165955
FE9C7684    // 83: -0.08680103719234466553
FE94D1FB    // 84: -0.08866693452000617981
FE8DFB66    // 85: -0.09033641964197158813
FE8A0D2C    // 86: -0.09129603207111358643
FE88CBE7    // 87: -0.09160241857171058655
FE87BE58    // 88: -0.09185948967933654785
FE83C84E    // 89: -0.09282655268907546997
FE7B3D4A    // 90: -0.09491225332021713257
FE6F00A8    // 91: -0.09789976477622985840
FE62025A    // 92: -0.10107197612524032593
FE577FDB    // 93: -0.10363783314824104309
FE5143C3    // 94: -0.10515998676419258118
FE4F0FDB    // 95: -0.10569776967167854309
FE4F6F30    // 96: -0.10560685396194458008
FE512CBA    // 97: -0.10518195480108261108
FE54245D    // 98: -0.10445750877261161804
FE58BA22    // 99: -0.10333811491727828979
FE5E69D9    // 100: -0.10194983705878257751
FE62AE5C    // 101: -0.10090793669223785400
FE616973    // 102: -0.10121779516339302063
