FEEC    // 0: -0.06738281250000000000
FEF0    // 1: -0.06640625000000000000
FEF3    // 2: -0.06567382812500000000
FEEE    // 3: -0.06689453125000000000
FEED    // 4: -0.06713867187500000000
FEE7    // 5: -0.06860351562500000000
FEDF    // 6: -0.07055664062500000000
FEDE    // 7: -0.07080078125000000000
FEDA    // 8: -0.07177734375000000000
FEDE    // 9: -0.07080078125000000000
FEE5    // 10: -0.06909179687500000000
FEED    // 11: -0.06713867187500000000
FEF5    // 12: -0.06518554687500000000
FEF9    // 13: -0.06420898437500000000
FEF6    // 14: -0.06494140625000000000
FEED    // 15: -0.06713867187500000000
FEE8    // 16: -0.06835937500000000000
FEE3    // 17: -0.06958007812500000000
FEE1    // 18: -0.07006835937500000000
FEE2    // 19: -0.06982421875000000000
FEE4    // 20: -0.06933593750000000000
FEE8    // 21: -0.06835937500000000000
FEEB    // 22: -0.06762695312500000000
FEF2    // 23: -0.06591796875000000000
FEF6    // 24: -0.06494140625000000000
FEFB    // 25: -0.06372070312500000000
FF00    // 26: -0.06250000000000000000
FF01    // 27: -0.06225585937500000000
FF00    // 28: -0.06250000000000000000
FEFA    // 29: -0.06396484375000000000
FEF2    // 30: -0.06591796875000000000
FEF0    // 31: -0.06640625000000000000
FEED    // 32: -0.06713867187500000000
FEEF    // 33: -0.06665039062500000000
FEF7    // 34: -0.06469726562500000000
FF02    // 35: -0.06201171875000000000
FF04    // 36: -0.06152343750000000000
FF0B    // 37: -0.05981445312500000000
FF0F    // 38: -0.05883789062500000000
FF10    // 39: -0.05859375000000000000
FF12    // 40: -0.05810546875000000000
FF14    // 41: -0.05761718750000000000
FF14    // 42: -0.05761718750000000000
FF15    // 43: -0.05737304687500000000
FF18    // 44: -0.05664062500000000000
FF1F    // 45: -0.05493164062500000000
FF2D    // 46: -0.05151367187500000000
FF38    // 47: -0.04882812500000000000
FF49    // 48: -0.04467773437500000000
FF5A    // 49: -0.04052734375000000000
FF5B    // 50: -0.04028320312500000000
FF61    // 51: -0.03881835937500000000
FF64    // 52: -0.03808593750000000000
FF66    // 53: -0.03759765625000000000
FF6E    // 54: -0.03564453125000000000
FF7B    // 55: -0.03247070312500000000
FF86    // 56: -0.02978515625000000000
FF8F    // 57: -0.02758789062500000000
FF9E    // 58: -0.02392578125000000000
FF9E    // 59: -0.02392578125000000000
FFA1    // 60: -0.02319335937500000000
FF98    // 61: -0.02539062500000000000
FF90    // 62: -0.02734375000000000000
FF80    // 63: -0.03125000000000000000
FF6E    // 64: -0.03564453125000000000
FF67    // 65: -0.03735351562500000000
FF61    // 66: -0.03881835937500000000
FF66    // 67: -0.03759765625000000000
FF7B    // 68: -0.03247070312500000000
FF96    // 69: -0.02587890625000000000
FFB2    // 70: -0.01904296875000000000
