FEF64744    // 0: -0.06487344205379486084
FEF71D29    // 1: -0.06466945633292198181
FEF8882B    // 2: -0.06432326510548591614
FEFA0198    // 3: -0.06396332383155822754
FEFB56FC    // 4: -0.06363774836063385010
FEFCD823    // 5: -0.06327043846249580383
FEFF200B    // 6: -0.06271358206868171692
FF0297D2    // 7: -0.06186693161725997925
FF06FE01    // 8: -0.06079291924834251404
FF0B4117    // 9: -0.05975237861275672913
FF0DC20E    // 10: -0.05914110690355300903
FF0CF5BF    // 11: -0.05933595076203346252
FF081C70    // 12: -0.06051975488662719727
FEFFD356    // 13: -0.06254259496927261353
FEF62BD6    // 14: -0.06489960104227066040
FEEE2EC3    // 15: -0.06684993579983711243
FEEAD90D    // 16: -0.06766409799456596375
FEEDE2FB    // 17: -0.06692220643162727356
FEF6E055    // 18: -0.06472746655344963074
FF032A5E    // 19: -0.06172717362642288208
FF0EC7D0    // 20: -0.05889147520065307617
FF15FABB    // 21: -0.05713393166661262512
FF16C6E2    // 22: -0.05693923681974411011
FF11AE18    // 23: -0.05818358063697814941
FF094077    // 24: -0.06024125590920448303
FF00CD4E    // 25: -0.06230420619249343872
FEFAE733    // 26: -0.06374435499310493469
FEF88AD5    // 27: -0.06432072445750236511
FEF940C3    // 28: -0.06414722278714179993
FEFBED75    // 29: -0.06349424645304679871
FEFFA8DC    // 30: -0.06258310377597808838
FF040990    // 31: -0.06151431798934936523
FF08D2A8    // 32: -0.06034597754478454590
FF0D6A82    // 33: -0.05922459810972213745
FF10B934    // 34: -0.05841712653636932373
FF119A41    // 35: -0.05820250138640403748
FF0FB4AF    // 36: -0.05866557732224464417
FF0C033A    // 37: -0.05956723541021347046
FF08AD83    // 38: -0.06038140133023262024
FF081E7B    // 39: -0.06051780655980110168
FF0BEF13    // 40: -0.05958645418286323547
FF1437BA    // 41: -0.05756404250860214233
FF1FB049    // 42: -0.05476352199912071228
FF2C625A    // 43: -0.05166401714086532593
FF38701D    // 44: -0.04872120544314384460
FF428FE5    // 45: -0.04624949023127555847
FF4A0F3D    // 46: -0.04441906139254570007
FF4EB507    // 47: -0.04328439012169837952
FF50CB2E    // 48: -0.04277498275041580200
FF51578F    // 49: -0.04264110699295997620
FF5248E1    // 50: -0.04241096600890159607
FF56223F    // 51: -0.04147124662995338440
FF5F24CB    // 52: -0.03927155211567878723
FF6E2B92    // 53: -0.03560297936201095581
FF81DCE2    // 54: -0.03079520910978317261
FF96B1C0    // 55: -0.02570939064025878906
FFA7E5AE    // 56: -0.02150947600603103638
FFB0FB49    // 57: -0.01929160580039024353
FFAF34D8    // 58: -0.01972499489784240723
FFA28066    // 59: -0.02282676845788955688
FF8D9C22    // 60: -0.02792727202177047729
FF757C09    // 61: -0.03381725773215293884
FF6027D5    // 62: -0.03902451321482658386
FF534FEA    // 63: -0.04216011613607406616
FF52CEBE    // 64: -0.04228330403566360474
FF5F6D33    // 65: -0.03920250013470649719
FF7652B8    // 66: -0.03361251950263977051
FF916BE7    // 67: -0.02699670568108558655
FFA8E675    // 68: -0.02126459404826164246
FFB563CA    // 69: -0.01821538060903549194
FFB238DF    // 70: -0.01898873224854469299
FF9EE64C    // 71: -0.02370615303516387939
FF7F42B9    // 72: -0.03143050894141197205
FF5A3BEF    // 73: -0.04047018662095069885
FF37973E    // 74: -0.04892802983522415161
FF1D8B5C    // 75: -0.05528701841831207275
FF0EFA6A    // 76: -0.05884321779012680054
FF0AE7C0    // 77: -0.05983757972717285156
FF0D4738    // 78: -0.05925825238227844238
FF10CADA    // 79: -0.05840029567480087280
FF10EB99    // 80: -0.05836906656622886658
FF0B69CA    // 81: -0.05971356481313705444
FF00AF82    // 82: -0.06233262270689010620
FEF316D8    // 83: -0.06565204262733459473
FEE58661    // 84: -0.06896364316344261169
FEDA37D0    // 85: -0.07172411680221557617
FED223BB    // 86: -0.07369639351963996887
FECD52DF    // 87: -0.07487213984131813049
FECB9221    // 88: -0.07530009374022483826
FECCF9C6    // 89: -0.07495710998773574829
FED1CDBC    // 90: -0.07377840578556060791
FED9D703    // 91: -0.07181643322110176086
FEE3B7A2    // 92: -0.06940495222806930542
FEECE1D1    // 93: -0.06716745719313621521
FEF25970    // 94: -0.06583267450332641602
FEF1FF21    // 95: -0.06591879948973655701
FEEB94A4    // 96: -0.06748519837856292725
FEE0E88F    // 97: -0.07009071484208106995
FED4FFDB    // 98: -0.07299818471074104309
FECAC650    // 99: -0.07549446821212768555
FEC3FA7B    // 100: -0.07715370133519172668
FEC0EEF9    // 101: -0.07789709791541099548
FEC11172    // 102: -0.07786422222852706909
FEC3B627    // 103: -0.07721886411309242249
FEC8881A    // 104: -0.07604207843542098999
FECF4EE0    // 105: -0.07438766956329345703
FED75253    // 106: -0.07243125513195991516
FEDEEA0A    // 107: -0.07057758420705795288
FEE3BA64    // 108: -0.06940232217311859131
FEE3A325    // 109: -0.06942449137568473816
FEDDD526    // 110: -0.07084164768457412720
FED37643    // 111: -0.07337354496121406555
FEC762AC    // 112: -0.07632191479206085205
FEBD4486    // 113: -0.07879207283258438110
FEB8AB30    // 114: -0.07991486787796020508
FEBCC224    // 115: -0.07891641557216644287
FECCCCF0    // 116: -0.07499986886978149414
FEECC847    // 117: -0.06719181314110755920
FF21324B    // 118: -0.05439539626240730286
FF6D3CBF    // 119: -0.03583073988556861877
FFCFC0B6    // 120: -0.01177910715341567993
004077E2    // 121: 0.01573932915925979614
00AFA943    // 122: 0.04288602992892265320
0109D84B    // 123: 0.06490353867411613464
013F2670    // 124: 0.07791751623153686523
014BA250    // 125: 0.08096534013748168945
013C4172    // 126: 0.07721085101366043091
012CA63A    // 127: 0.07340071350336074829
013CC87F    // 128: 0.07733964547514915466
0181BB93    // 129: 0.09417302533984184265
01F836C2    // 130: 0.12309909611940383911
02800128    // 131: 0.15625110268592834473
02E41AD5    // 132: 0.18068965151906013489
02EDAFED    // 133: 0.18302910402417182922
027A2057    // 134: 0.15481599792838096619
018A5182    // 135: 0.09626913815736770630
0043EF6D    // 136: 0.01658575609326362610
FEE3D32F    // 137: -0.06937867775559425354
FDA7AB3E    // 138: -0.14656520634889602661
FCB91B95    // 139: -0.20480768010020256042
FC232690    // 140: -0.24141830205917358398
FBD55662    // 141: -0.26041566580533981323
FBB12CC5    // 142: -0.26924441382288932800
FB9A1326    // 143: -0.27488408237695693970
FB802146    // 144: -0.28121826797723770142
FB61E5AB    // 145: -0.28859933093190193176
FB46BBF7    // 146: -0.29523089900612831116
FB3688F6    // 147: -0.29918579012155532837
FB33EBAC    // 148: -0.29982407391071319580
FB3B675A    // 149: -0.29799713939428329468
FB46A3F9    // 150: -0.29525377973914146423
FB50FB28    // 151: -0.29272922873497009277
FB5A6CE6    // 152: -0.29042349010705947876
FB67CFD2    // 153: -0.28715532273054122925
FB80B425    // 154: -0.28107820078730583191
FBAC608E    // 155: -0.27041573077440261841
FBEF2BEB    // 156: -0.25410850718617439270
FC48E51B    // 157: -0.23220338299870491028
FCB4671D    // 158: -0.20595635101199150085
FD285531    // 159: -0.17765313014388084412
FD98F52F    // 160: -0.15015679970383644104
FDFAED67    // 161: -0.12623843923211097717
FE462767    // 162: -0.10787257924675941467
FE77D8B3    // 163: -0.09574060514569282532
FE92D27A    // 164: -0.08915474265813827515
FE9DE08D    // 165: -0.08645577356219291687
FEA0F94E    // 166: -0.08569974452257156372
FEA27CC2    // 167: -0.08533024042844772339
FEA5AAC7    // 168: -0.08455393090844154358
FEAAC28C    // 169: -0.08331055939197540283
FEB0523E    // 170: -0.08195281773805618286
FEB4CB80    // 171: -0.08086061477661132812
FEB787DB    // 172: -0.08019270375370979309
FEB8DBEA    // 173: -0.07986839860677719116
FEB9907A    // 174: -0.07969620078802108765
FEBA305E    // 175: -0.07954371720552444458
FEBAA7B1    // 176: -0.07942992076277732849
FEBA5D3D    // 177: -0.07950092479586601257
FEB8959D    // 178: -0.07993544265627861023
