FF114B8B    // 0: -0.05827756598591804504
FF13DD97    // 1: -0.05765000358223915100
FF12898A    // 2: -0.05797430127859115601
FF0E84E7    // 3: -0.05895528569817543030
FF09B14C    // 4: -0.06013365089893341064
FF05D00A    // 5: -0.06108089536428451538
FF03FA70    // 6: -0.06152874231338500977
FF048934    // 7: -0.06139259040355682373
FF074BC3    // 8: -0.06071876361966133118
FF0BCB0B    // 9: -0.05962081626057624817
FF116725    // 10: -0.05825124308466911316
FF1754F0    // 11: -0.05680376291275024414
FF1C924C    // 12: -0.05552454292774200439
FF200277    // 13: -0.05468514934182167053
FF20C743    // 14: -0.05449746921658515930
FF1EA322    // 15: -0.05502020567655563354
FF1A4147    // 16: -0.05609009042382240295
FF15216C    // 17: -0.05734117329120635986
FF112622    // 18: -0.05831324309110641479
FF0FE7CC    // 19: -0.05861683189868927002
FF1223B0    // 20: -0.05807143449783325195
FF177CC0    // 21: -0.05676579475402832031
FF1EBE4E    // 22: -0.05499429255723953247
FF265B07    // 23: -0.05313584581017494202
FF2CF32B    // 24: -0.05152590945363044739
FF319FFB    // 25: -0.05038454011082649231
FF33EB79    // 26: -0.04982426390051841736
FF33A933    // 27: -0.04988746717572212219
FF30ED0C    // 28: -0.05055518448352813721
FF2C30A4    // 29: -0.05171142518520355225
FF26982E    // 30: -0.05307752639055252075
FF21EFCB    // 31: -0.05421467497944831848
FF203F1E    // 32: -0.05462730675935745239
FF22F12D    // 33: -0.05396921560168266296
FF2A0632    // 34: -0.05224018543958663940
FF33CAEB    // 35: -0.04985531046986579895
FF3D6BF5    // 36: -0.04750446602702140808
FF44264B    // 37: -0.04586191847920417786
FF468788    // 38: -0.04528090357780456543
FF45111D    // 39: -0.04563797637820243835
FF41E006    // 40: -0.04641721397638320923
FF3FA514    // 41: -0.04696170985698699951
FF407BCA    // 42: -0.04675694555044174194
FF454A28    // 43: -0.04558357596397399902
FF4DDC99    // 44: -0.04349079355597496033
FF596BE9    // 45: -0.04066857323050498962
FF6712B7    // 46: -0.03733566775918006897
FF75DC0E    // 47: -0.03372568637132644653
FF847379    // 48: -0.03016331419348716736
FF90F994    // 49: -0.02710573375225067139
