FEFAF310    // 0: -0.06373304128646850586
FF042CBA    // 1: -0.06148078292608261108
FF097C11    // 2: -0.06018441542983055115
FF0903FF    // 3: -0.06029892340302467346
FF036A30    // 4: -0.06166630983352661133
FEFB4DFB    // 5: -0.06364633515477180481
FEF3D0D4    // 6: -0.06547467410564422607
FEEF0E0A    // 7: -0.06663700193166732788
FEED59B4    // 8: -0.06705312430858612061
FEEDA2DA    // 9: -0.06698336452245712280
FEEE8BC1    // 10: -0.06676125153899192810
FEEF70A4    // 11: -0.06654296815395355225
FEF0ADA5    // 12: -0.06624064967036247253
FEF2F929    // 13: -0.06568035110831260681
FEF66275    // 14: -0.06484751030802726746
FEF9C899    // 15: -0.06401767954230308533
FEFB332B    // 16: -0.06367190554738044739
FEF8FCF5    // 17: -0.06421188637614250183
FEF3020D    // 18: -0.06567187234759330750
FEEB086F    // 19: -0.06761891022324562073
FEE40ADD    // 20: -0.06932557746767997742
FEE0BC6D    // 21: -0.07013280317187309265
FEE22785    // 22: -0.06978652998805046082
FEE72B94    // 23: -0.06856195628643035889
FEED31D5    // 24: -0.06709114834666252136
FEF192D4    // 25: -0.06602208316326141357
FEF2D8FD    // 26: -0.06571103259921073914
FEF12E46    // 27: -0.06611797958612442017
FEEDCA7C    // 28: -0.06694556772708892822
FEE9E857    // 29: -0.06789365783333778381
FEE6048C    // 30: -0.06884332001209259033
FEE1F13B    // 31: -0.06983830407261848450
FEDD9DC0    // 32: -0.07089447975158691406
FED9EB09    // 33: -0.07179733738303184509
FED8D4D6    // 34: -0.07206264883279800415
FEDC9DED    // 35: -0.07113845273852348328
FEE66ABA    // 36: -0.06874587386846542358
FEF52D46    // 37: -0.06514237076044082642
FF05AA41    // 38: -0.06111693009734153748
FF13CAEF    // 39: -0.05766779556870460510
FF1C8C0D    // 40: -0.05553049966692924500
FF1F72BC    // 41: -0.05482222139835357666
FF1EB465    // 42: -0.05500374361872673035
FF1DF4D3    // 43: -0.05518643930554389954
FF2068DF    // 44: -0.05458748713135719299
FF2769CD    // 45: -0.05287761613726615906
FF3246A2    // 46: -0.05022560805082321167
FF3F35D2    // 47: -0.04706781357526779175
FF4CAABC    // 48: -0.04378248751163482666
FF5A0DCD    // 49: -0.04051418229937553406
FF6777DC    // 50: -0.03723920881748199463
FF74BBD9    // 51: -0.03400054201483726501
FF809185    // 52: -0.03111122176051139832
FF88A562    // 53: -0.02913915365934371948
FF8A9EF8    // 54: -0.02865698933601379395
FF8587E9    // 55: -0.02989968284964561462
FF7AA18B    // 56: -0.03256078436970710754
FF6D25A6    // 57: -0.03585276752710342407
FF61016F    // 58: -0.03881699219346046448
FF594C71    // 59: -0.04069858416914939880
FF574BD0    // 60: -0.04118746519088745117
FF5A7A3E    // 61: -0.04041076451539993286
FF615230    // 62: -0.03873997926712036133
FF6A45B5    // 63: -0.03655461594462394714
FF743453    // 64: -0.03412978723645210266
FF7E3F31    // 65: -0.03167801722884178162
FF873885    // 66: -0.02948711439967155457
FF8D5711    // 67: -0.02799313887953758240
FF8E85D3    // 68: -0.02770440652966499329
