FEE20D2E    // 0: -0.06981164962053298950
FEE04783    // 1: -0.07024430111050605774
FEDD2747    // 2: -0.07100746408104896545
FEDAA5D3    // 3: -0.07161920145153999329
FEDA11F2    // 4: -0.07176022976636886597
FEDB7205    // 5: -0.07142446562647819519
FEDDAAEF    // 6: -0.07088190689682960510
FEDF516D    // 7: -0.07047898694872856140
FEDF983A    // 8: -0.07041146606206893921
FEDED0A4    // 9: -0.07060180604457855225
FEDE1DD9    // 10: -0.07077231630682945251
FEDE9DB7    // 11: -0.07065037265419960022
FEE09329    // 12: -0.07017215713858604431
FEE32674    // 13: -0.06954340636730194092
FEE4F4DD    // 14: -0.06910241767764091492
FEE50E55    // 15: -0.06907812878489494324
FEE3CAFC    // 16: -0.06938649713993072510
FEE2D375    // 17: -0.06962255761027336121
FEE44C19    // 18: -0.06926336511969566345
FEE986C3    // 19: -0.06798671558499336243
FEF202FD    // 20: -0.06591511890292167664
FEFB5EA5    // 21: -0.06363044306635856628
FF025077    // 22: -0.06193498149514198303
FF043010    // 23: -0.06147760152816772461
FF003C0E    // 24: -0.06244272738695144653
FEF7EF94    // 25: -0.06446878612041473389
FEEE4447    // 26: -0.06682941690087318420
FEE6514C    // 27: -0.06877012550830841064
FEE212B3    // 28: -0.06980638578534126282
FEE1E45E    // 29: -0.06985057145357131958
FEE4E009    // 30: -0.06912228092551231384
FEE9B278    // 31: -0.06794503331184387207
FEEF6174    // 32: -0.06655745208263397217
FEF58115    // 33: -0.06506244465708732605
FEFBE8E5    // 34: -0.06349859759211540222
FF02366A    // 35: -0.06195982545614242554
FF079144    // 36: -0.06065247952938079834
FF0ADDE3    // 37: -0.05984698608517646790
FF0B5331    // 38: -0.05973511561751365662
FF090D0E    // 39: -0.06029028445482254028
FF054E92    // 40: -0.06120436638593673706
FF0241BF    // 41: -0.06194901838898658752
FF024B3E    // 42: -0.06193996220827102661
FF07300C    // 43: -0.06074519455432891846
FF115A99    // 44: -0.05826320871710777283
FF1F80F8    // 45: -0.05480864644050598145
FF2EE212    // 46: -0.05105393379926681519
FF3C1164    // 47: -0.04783497750759124756
