FF038DEF    // 0: -0.06163221970200538635
FF148193    // 1: -0.05749361589550971985
FF19EEF9    // 2: -0.05616858229041099548
FF0EF288    // 3: -0.05885073542594909668
FEF65C40    // 4: -0.06485342979431152344
FEDA45C8    // 5: -0.07171079516410827637
FEC741B9    // 6: -0.07635333761572837830
FEC5AC20    // 7: -0.07674014568328857422
FED50320    // 8: -0.07299506664276123047
FEEC248C    // 9: -0.06734795868396759033
FEFE4D13    // 10: -0.06291477754712104797
FF01E97C    // 11: -0.06203319132328033447
FEF53704    // 12: -0.06513307988643646240
FEDE44D1    // 13: -0.07073515281081199646
FEC6D166    // 14: -0.07646045833826065063
FEB6E5A4    // 15: -0.08034740388393402100
FEB162CD    // 16: -0.08169288560748100281
FEB42506    // 17: -0.08101937919855117798
FEBAD173    // 18: -0.07939009740948677063
FEC20491    // 19: -0.07763236388564109802
FEC8BD8F    // 20: -0.07599109783768653870
FECF98CE    // 21: -0.07431716471910476685
FED6EEFB    // 22: -0.07252599671483039856
FEDD9CC0    // 23: -0.07089543342590332031
FEE163EB    // 24: -0.06997307017445564270
FEE073ED    // 25: -0.07020194455981254578
FEDAEB38    // 26: -0.07155302166938781738
FED327C1    // 27: -0.07344841584563255310
FECCBFE4    // 28: -0.07501231133937835693
FECACEEB    // 29: -0.07548626139760017395
FECEA939    // 30: -0.07454564794898033142
FED788AC    // 31: -0.07237942516803741455
FEE32231    // 32: -0.06954747065901756287
FEEEA020    // 33: -0.06674182415008544922
FEF782B8    // 34: -0.06457260251045227051
FEFC343E    // 35: -0.06342674046754837036
FEFC654B    // 36: -0.06337996199727058411
FEF92887    // 37: -0.06417033448815345764
FEF4BA3E    // 38: -0.06525207310914993286
FEF1D694    // 39: -0.06595747172832489014
FEF2C154    // 40: -0.06573359668254852295
FEF87A94    // 41: -0.06433622539043426514
FF028B93    // 42: -0.06187861040234565735
FF0F9A47    // 43: -0.05869076028466224670
FF1E3E5A    // 44: -0.05511631816625595093
FF2D8CE4    // 45: -0.05137930810451507568
FF3CDA26    // 46: -0.04764351993799209595
FF4B059B    // 47: -0.04418410733342170715
FF5607C8    // 48: -0.04149648547172546387
FF5B760B    // 49: -0.04017062857747077942
FF59DFA8    // 50: -0.04055818915367126465
FF5232D4    // 51: -0.04243199527263641357
