0843    // 0: 0.51635742187500000000
08A3    // 1: 0.53979492187500000000
08D2    // 2: 0.55126953125000000000
0902    // 3: 0.56298828125000000000
0912    // 4: 0.56689453125000000000
0902    // 5: 0.56298828125000000000
08BA    // 6: 0.54541015625000000000
0883    // 7: 0.53198242187500000000
0833    // 8: 0.51245117187500000000
0833    // 9: 0.51245117187500000000
082B    // 10: 0.51049804687500000000
0843    // 11: 0.51635742187500000000
084B    // 12: 0.51831054687500000000
0823    // 13: 0.50854492187500000000
0813    // 14: 0.50463867187500000000
07EC    // 15: 0.49511718750000000000
0863    // 16: 0.52416992187500000000
08DA    // 17: 0.55322265625000000000
092A    // 18: 0.57275390625000000000
0952    // 19: 0.58251953125000000000
0932    // 20: 0.57470703125000000000
08C2    // 21: 0.54736328125000000000
084B    // 22: 0.51831054687500000000
07C4    // 23: 0.48535156250000000000
0794    // 24: 0.47363281250000000000
07B4    // 25: 0.48144531250000000000
07E4    // 26: 0.49316406250000000000
0823    // 27: 0.50854492187500000000
080B    // 28: 0.50268554687500000000
07F4    // 29: 0.49707031250000000000
07C4    // 30: 0.48535156250000000000
0774    // 31: 0.46582031250000000000
0715    // 32: 0.44262695312500000000
06D5    // 33: 0.42700195312500000000
06AD    // 34: 0.41723632812500000000
069E    // 35: 0.41357421875000000000
068E    // 36: 0.40966796875000000000
06B5    // 37: 0.41918945312500000000
06DD    // 38: 0.42895507812500000000
0725    // 39: 0.44653320312500000000
0774    // 40: 0.46582031250000000000
0794    // 41: 0.47363281250000000000
0794    // 42: 0.47363281250000000000
076C    // 43: 0.46386718750000000000
0745    // 44: 0.45434570312500000000
0715    // 45: 0.44262695312500000000
0705    // 46: 0.43872070312500000000
072D    // 47: 0.44848632812500000000
0715    // 48: 0.44262695312500000000
0725    // 49: 0.44653320312500000000
071D    // 50: 0.44458007812500000000
0715    // 51: 0.44262695312500000000
073D    // 52: 0.45239257812500000000
075C    // 53: 0.45996093750000000000
076C    // 54: 0.46386718750000000000
07B4    // 55: 0.48144531250000000000
07E4    // 56: 0.49316406250000000000
07FC    // 57: 0.49902343750000000000
07CC    // 58: 0.48730468750000000000
0755    // 59: 0.45825195312500000000
06D5    // 60: 0.42700195312500000000
06C5    // 61: 0.42309570312500000000
072D    // 62: 0.44848632812500000000
07B4    // 63: 0.48144531250000000000
0813    // 64: 0.50463867187500000000
0813    // 65: 0.50463867187500000000
07BC    // 66: 0.48339843750000000000
0774    // 67: 0.46582031250000000000
0715    // 68: 0.44262695312500000000
072D    // 69: 0.44848632812500000000
07B4    // 70: 0.48144531250000000000
087B    // 71: 0.53002929687500000000
0959    // 72: 0.58422851562500000000
0A50    // 73: 0.64453125000000000000
0ACF    // 74: 0.67553710937500000000
0B0F    // 75: 0.69116210937500000000
0B0F    // 76: 0.69116210937500000000
0B0F    // 77: 0.69116210937500000000
0B56    // 78: 0.70849609375000000000
0C35    // 79: 0.76293945312500000000
0D93    // 80: 0.84838867187500000000
0F19    // 81: 0.94360351562500000000
1000    // 82: 1.00000000000000000000
0FE8    // 83: 0.99414062500000000000
0EAA    // 84: 0.91650390625000000000
0C4D    // 85: 0.76879882812500000000
0969    // 86: 0.58813476562500000000
06CD    // 87: 0.42504882812500000000
0510    // 88: 0.31640625000000000000
03F2    // 89: 0.24658203125000000000
034B    // 90: 0.20581054687500000000
02CB    // 91: 0.17456054687500000000
020C    // 92: 0.12792968750000000000
013E    // 93: 0.07763671875000000000
00BE    // 94: 0.04638671875000000000
003F    // 95: 0.01538085937500000000
0007    // 96: 0.00170898437500000000
0000    // 97: 0.00000000000000000000
0017    // 98: 0.00561523437500000000
004F    // 99: 0.01928710937500000000
0057    // 100: 0.02124023437500000000
0057    // 101: 0.02124023437500000000
006F    // 102: 0.02709960937500000000
008F    // 103: 0.03491210937500000000
00DE    // 104: 0.05419921875000000000
0155    // 105: 0.08325195312500000000
01B5    // 106: 0.10668945312500000000
01E5    // 107: 0.11840820312500000000
0224    // 108: 0.13378906250000000000
02C3    // 109: 0.17260742187500000000
0382    // 110: 0.21923828125000000000
0461    // 111: 0.27368164062500000000
0540    // 112: 0.32812500000000000000
05DF    // 113: 0.36694335937500000000
063E    // 114: 0.39013671875000000000
066E    // 115: 0.40185546875000000000
067E    // 116: 0.40576171875000000000
066E    // 117: 0.40185546875000000000
0646    // 118: 0.39208984375000000000
0616    // 119: 0.38037109375000000000
0626    // 120: 0.38427734375000000000
067E    // 121: 0.40576171875000000000
06F5    // 122: 0.43481445312500000000
0755    // 123: 0.45825195312500000000
0755    // 124: 0.45825195312500000000
072D    // 125: 0.44848632812500000000
06E5    // 126: 0.43090820312500000000
06A6    // 127: 0.41552734375000000000
0686    // 128: 0.40771484375000000000
0696    // 129: 0.41162109375000000000
06B5    // 130: 0.41918945312500000000
06D5    // 131: 0.42700195312500000000
06FD    // 132: 0.43676757812500000000
071D    // 133: 0.44458007812500000000
0735    // 134: 0.45043945312500000000
0715    // 135: 0.44262695312500000000
0705    // 136: 0.43872070312500000000
06C5    // 137: 0.42309570312500000000
06BD    // 138: 0.42114257812500000000
06B5    // 139: 0.41918945312500000000
06BD    // 140: 0.42114257812500000000
06DD    // 141: 0.42895507812500000000
06D5    // 142: 0.42700195312500000000
06AD    // 143: 0.41723632812500000000
067E    // 144: 0.40576171875000000000
0656    // 145: 0.39599609375000000000
0636    // 146: 0.38818359375000000000
0616    // 147: 0.38037109375000000000
05FF    // 148: 0.37475585937500000000
05DF    // 149: 0.36694335937500000000
05FF    // 150: 0.37475585937500000000
0616    // 151: 0.38037109375000000000
062E    // 152: 0.38623046875000000000
062E    // 153: 0.38623046875000000000
0626    // 154: 0.38427734375000000000
0626    // 155: 0.38427734375000000000
0616    // 156: 0.38037109375000000000
05F7    // 157: 0.37280273437500000000
059F    // 158: 0.35131835937500000000
0550    // 159: 0.33203125000000000000
0538    // 160: 0.32617187500000000000
0557    // 161: 0.33374023437500000000
05A7    // 162: 0.35327148437500000000
05FF    // 163: 0.37475585937500000000
0626    // 164: 0.38427734375000000000
061E    // 165: 0.38232421875000000000
05A7    // 166: 0.35327148437500000000
0528    // 167: 0.32226562500000000000
04D0    // 168: 0.30078125000000000000
04F0    // 169: 0.30859375000000000000
057F    // 170: 0.34350585937500000000
05E7    // 171: 0.36889648437500000000
061E    // 172: 0.38232421875000000000
060E    // 173: 0.37841796875000000000
05C7    // 174: 0.36108398437500000000
057F    // 175: 0.34350585937500000000
0567    // 176: 0.33764648437500000000
0557    // 177: 0.33374023437500000000
0587    // 178: 0.34545898437500000000
05DF    // 179: 0.36694335937500000000
05CF    // 180: 0.36303710937500000000
05DF    // 181: 0.36694335937500000000
05DF    // 182: 0.36694335937500000000
05FF    // 183: 0.37475585937500000000
05FF    // 184: 0.37475585937500000000
061E    // 185: 0.38232421875000000000
065E    // 186: 0.39794921875000000000
06AD    // 187: 0.41723632812500000000
0715    // 188: 0.44262695312500000000
0755    // 189: 0.45825195312500000000
0745    // 190: 0.45434570312500000000
0725    // 191: 0.44653320312500000000
06E5    // 192: 0.43090820312500000000
06DD    // 193: 0.42895507812500000000
0715    // 194: 0.44262695312500000000
074D    // 195: 0.45629882812500000000
0755    // 196: 0.45825195312500000000
077C    // 197: 0.46777343750000000000
0774    // 198: 0.46582031250000000000
077C    // 199: 0.46777343750000000000
07B4    // 200: 0.48144531250000000000
07D4    // 201: 0.48925781250000000000
07DC    // 202: 0.49121093750000000000
07A4    // 203: 0.47753906250000000000
078C    // 204: 0.47167968750000000000
07C4    // 205: 0.48535156250000000000
0803    // 206: 0.50073242187500000000
0833    // 207: 0.51245117187500000000
0833    // 208: 0.51245117187500000000
080B    // 209: 0.50268554687500000000
07C4    // 210: 0.48535156250000000000
078C    // 211: 0.47167968750000000000
0784    // 212: 0.46972656250000000000
077C    // 213: 0.46777343750000000000
078C    // 214: 0.47167968750000000000
07AC    // 215: 0.47949218750000000000
07F4    // 216: 0.49707031250000000000
0833    // 217: 0.51245117187500000000
084B    // 218: 0.51831054687500000000
083B    // 219: 0.51440429687500000000
0813    // 220: 0.50463867187500000000
07FC    // 221: 0.49902343750000000000
07F4    // 222: 0.49707031250000000000
07F4    // 223: 0.49707031250000000000
080B    // 224: 0.50268554687500000000
0823    // 225: 0.50854492187500000000
080B    // 226: 0.50268554687500000000
07BC    // 227: 0.48339843750000000000
0764    // 228: 0.46191406250000000000
074D    // 229: 0.45629882812500000000
0774    // 230: 0.46582031250000000000
07C4    // 231: 0.48535156250000000000
07FC    // 232: 0.49902343750000000000
07EC    // 233: 0.49511718750000000000
07A4    // 234: 0.47753906250000000000
0794    // 235: 0.47363281250000000000
0774    // 236: 0.46582031250000000000
078C    // 237: 0.47167968750000000000
0774    // 238: 0.46582031250000000000
0735    // 239: 0.45043945312500000000
0725    // 240: 0.44653320312500000000
073D    // 241: 0.45239257812500000000
076C    // 242: 0.46386718750000000000
07A4    // 243: 0.47753906250000000000
07C4    // 244: 0.48535156250000000000
07EC    // 245: 0.49511718750000000000
07FC    // 246: 0.49902343750000000000
07E4    // 247: 0.49316406250000000000
07CC    // 248: 0.48730468750000000000
07CC    // 249: 0.48730468750000000000
07C4    // 250: 0.48535156250000000000
0794    // 251: 0.47363281250000000000
0774    // 252: 0.46582031250000000000
0745    // 253: 0.45434570312500000000
077C    // 254: 0.46777343750000000000
07CC    // 255: 0.48730468750000000000
07F4    // 256: 0.49707031250000000000
07F4    // 257: 0.49707031250000000000
07AC    // 258: 0.47949218750000000000
077C    // 259: 0.46777343750000000000
076C    // 260: 0.46386718750000000000
