079CEA63    // 0: 0.47580946609377861023
07A112C4    // 1: 0.47682453691959381104
078E619B    // 2: 0.47226105257868766785
0772A0D0    // 3: 0.46548539400100708008
075E8E6B    // 4: 0.46058503910899162292
075ABA8C    // 5: 0.45965056121349334717
076298DE    // 6: 0.46157156676054000854
07692F84    // 7: 0.46318008005619049072
07640680    // 8: 0.46192026138305664062
0754617E    // 9: 0.45810078829526901245
0747CA61    // 10: 0.45502698794007301331
074F1399    // 11: 0.45680579915642738342
0771DAAF    // 12: 0.46529644355177879333
07A7576A    // 13: 0.47835484892129898071
07D9CE5A    // 14: 0.49067530781030654907
07F2D78B    // 15: 0.49678758904337882996
07E891C8    // 16: 0.49427965283393859863
07C36A58    // 17: 0.48520883917808532715
07991235    // 18: 0.47487087920308113098
0780417C    // 19: 0.46881245076656341553
0784E388    // 20: 0.46994355320930480957
07A35A53    // 21: 0.47738106176257133484
07CC450A    // 22: 0.48737052828073501587
07ED63E4    // 23: 0.49545659124851226807
07FA025A    // 24: 0.49853739887475967407
07EF2CD8    // 25: 0.49589237570762634277
07D3293E    // 26: 0.48905300348997116089
07B1ED43    // 27: 0.48093916103243827820
0798A0B1    // 28: 0.47476262226700782776
07913813    // 29: 0.47295386716723442078
079EB9ED    // 30: 0.47625153139233589172
07BB4966    // 31: 0.48322429507970809937
07D959FD    // 32: 0.49056433513760566711
07E8EA39    // 33: 0.49436399713158607483
07DF31D9    // 34: 0.49199089780449867249
07BCE988    // 35: 0.48362115025520324707
078F2859    // 36: 0.47245058789849281311
07697D38    // 37: 0.46325418353080749512
075C174C    // 38: 0.45998315513134002686
076B8ED8    // 39: 0.46375927329063415527
078F29B3    // 40: 0.47245187684893608093
07B66A26    // 41: 0.48203482478857040405
07D250AA    // 42: 0.48884645849466323853
07DCB24F    // 43: 0.49138098582625389099
07D9CF06    // 44: 0.49067594856023788452
07D435D8    // 45: 0.48930916190147399902
07D66372    // 46: 0.48984093219041824341
07E5F8DD    // 47: 0.49364553764462471008
08028DFF    // 48: 0.50062369927763938904
08274DB6    // 49: 0.50959559530019760132
084D892B    // 50: 0.51892964169383049011
086EE0BC    // 51: 0.52706979215145111084
0886FEC2    // 52: 0.53295779973268508911
08951F31    // 53: 0.53640669956803321838
089CD8C5    // 54: 0.53829266503453254700
08A4DF88    // 55: 0.54025223851203918457
08B31984    // 56: 0.54372550547122955322
08C79F72    // 57: 0.54873604327440261841
08DA32CA    // 58: 0.55327109247446060181
08DD3427    // 59: 0.55400481447577476501
08C5D5F7    // 60: 0.54829975590109825134
08951143    // 61: 0.53639341518282890320
085AE74A    // 62: 0.52219323068857192993
08307416    // 63: 0.51182945817708969116
082B23BB    // 64: 0.51053212210536003113
085073DD    // 65: 0.51964174583554267883
08925C8F    // 66: 0.53573280200362205505
08D6E505    // 67: 0.55246450379490852356
09065CA4    // 68: 0.56405319273471832275
0916DE76    // 69: 0.56808324903249740601
090DEB02    // 70: 0.56589794903993606567
08F7DE05    // 71: 0.56051446869969367981
08DC4E17    // 72: 0.55378540977835655212
08B864DB    // 73: 0.54501805827021598816
088375CD    // 74: 0.53209476545453071594
083A19B3    // 75: 0.51418466493487358093
07E6C05B    // 76: 0.49383578822016716003
07A009C6    // 77: 0.47657182067632675171
077CCF2E    // 78: 0.46797101944684982300
078594EA    // 79: 0.47011271864175796509
