08DD    // 0: 0.55395507812500000000
08E6    // 1: 0.55615234375000000000
0910    // 2: 0.56640625000000000000
0931    // 3: 0.57446289062500000000
0931    // 4: 0.57446289062500000000
0931    // 5: 0.57446289062500000000
0918    // 6: 0.56835937500000000000
0918    // 7: 0.56835937500000000000
094A    // 8: 0.58056640625000000000
0963    // 9: 0.58666992187500000000
0963    // 10: 0.58666992187500000000
093A    // 11: 0.57666015625000000000
0918    // 12: 0.56835937500000000000
08CD    // 13: 0.55004882812500000000
0892    // 14: 0.53564453125000000000
0857    // 15: 0.52124023437500000000
0879    // 16: 0.52954101562500000000
08B4    // 17: 0.54394531250000000000
0929    // 18: 0.57250976562500000000
097D    // 19: 0.59301757812500000000
09C0    // 20: 0.60937500000000000000
09FA    // 21: 0.62353515625000000000
09E1    // 22: 0.61743164062500000000
0985    // 23: 0.59497070312500000000
08FF    // 24: 0.56225585937500000000
081D    // 25: 0.50708007812500000000
07C9    // 26: 0.48657226562500000000
07C9    // 27: 0.48657226562500000000
07FB    // 28: 0.49877929687500000000
0836    // 29: 0.51318359375000000000
0879    // 30: 0.52954101562500000000
0871    // 31: 0.52758789062500000000
0860    // 32: 0.52343750000000000000
0836    // 33: 0.51318359375000000000
083E    // 34: 0.51513671875000000000
0814    // 35: 0.50488281250000000000
07C1    // 36: 0.48461914062500000000
0754    // 37: 0.45800781250000000000
06F8    // 38: 0.43554687500000000000
0711    // 39: 0.44165039062500000000
0732    // 40: 0.44970703125000000000
0754    // 41: 0.45800781250000000000
077E    // 42: 0.46826171875000000000
07A8    // 43: 0.47851562500000000000
07C1    // 44: 0.48461914062500000000
07D1    // 45: 0.48852539062500000000
07DA    // 46: 0.49072265625000000000
07EB    // 47: 0.49487304687500000000
080C    // 48: 0.50292968750000000000
0860    // 49: 0.52343750000000000000
088A    // 50: 0.53369140625000000000
0871    // 51: 0.52758789062500000000
0860    // 52: 0.52343750000000000000
0836    // 53: 0.51318359375000000000
082E    // 54: 0.51123046875000000000
0825    // 55: 0.50903320312500000000
082E    // 56: 0.51123046875000000000
07EB    // 57: 0.49487304687500000000
07F3    // 58: 0.49682617187500000000
0804    // 59: 0.50097656250000000000
07F3    // 60: 0.49682617187500000000
07F3    // 61: 0.49682617187500000000
07B0    // 62: 0.48046875000000000000
076D    // 63: 0.46411132812500000000
0754    // 64: 0.45800781250000000000
0732    // 65: 0.44970703125000000000
0732    // 66: 0.44970703125000000000
076D    // 67: 0.46411132812500000000
07EB    // 68: 0.49487304687500000000
0892    // 69: 0.53564453125000000000
0953    // 70: 0.58276367187500000000
0A2D    // 71: 0.63598632812500000000
0B0F    // 72: 0.69116210937500000000
0BF9    // 73: 0.74829101562500000000
0CA1    // 74: 0.78930664062500000000
0CDB    // 75: 0.80346679687500000000
0CD3    // 76: 0.80151367187500000000
0CA9    // 77: 0.79125976562500000000
0CD3    // 78: 0.80151367187500000000
0D27    // 79: 0.82202148437500000000
0E22    // 80: 0.88330078125000000000
0F36    // 81: 0.95068359375000000000
0FF7    // 82: 0.99780273437500000000
1000    // 83: 1.00000000000000000000
0EF3    // 84: 0.93432617187500000000
0CEC    // 85: 0.80761718750000000000
0A1C    // 86: 0.63183593750000000000
074B    // 87: 0.45581054687500000000
04CF    // 88: 0.30053710937500000000
0324    // 89: 0.19628906250000000000
01FE    // 90: 0.12451171875000000000
015F    // 91: 0.08569335937500000000
0114    // 92: 0.06738281250000000000
00E2    // 93: 0.05517578125000000000
00D9    // 94: 0.05297851562500000000
00EA    // 95: 0.05712890625000000000
00D9    // 96: 0.05297851562500000000
00A7    // 97: 0.04077148437500000000
0064    // 98: 0.02441406250000000000
003A    // 99: 0.01416015625000000000
0019    // 100: 0.00610351562500000000
0008    // 101: 0.00195312500000000000
0000    // 102: 0.00000000000000000000
0021    // 103: 0.00805664062500000000
005C    // 104: 0.02246093750000000000
010C    // 105: 0.06542968750000000000
01CC    // 106: 0.11230468750000000000
028D    // 107: 0.15942382812500000000
0377    // 108: 0.21655273437500000000
047B    // 109: 0.28002929687500000000
0533    // 110: 0.32495117187500000000
05FC    // 111: 0.37402343750000000000
0661    // 112: 0.39868164062500000000
06A4    // 113: 0.41503906250000000000
069C    // 114: 0.41308593750000000000
06B5    // 115: 0.41918945312500000000
06C5    // 116: 0.42309570312500000000
06EF    // 117: 0.43334960937500000000
072A    // 118: 0.44775390625000000000
0743    // 119: 0.45385742187500000000
075C    // 120: 0.45996093750000000000
0711    // 121: 0.44165039062500000000
06B5    // 122: 0.41918945312500000000
067A    // 123: 0.40478515625000000000
06BD    // 124: 0.42114257812500000000
0711    // 125: 0.44165039062500000000
0754    // 126: 0.45800781250000000000
0754    // 127: 0.45800781250000000000
075C    // 128: 0.45996093750000000000
0732    // 129: 0.44970703125000000000
0708    // 130: 0.43945312500000000000
06E7    // 131: 0.43139648437500000000
06CE    // 132: 0.42529296875000000000
06B5    // 133: 0.41918945312500000000
06C5    // 134: 0.42309570312500000000
06BD    // 135: 0.42114257812500000000
06C5    // 136: 0.42309570312500000000
06B5    // 137: 0.41918945312500000000
069C    // 138: 0.41308593750000000000
069C    // 139: 0.41308593750000000000
069C    // 140: 0.41308593750000000000
068B    // 141: 0.40893554687500000000
0672    // 142: 0.40283203125000000000
0650    // 143: 0.39453125000000000000
0648    // 144: 0.39257812500000000000
0626    // 145: 0.38427734375000000000
0626    // 146: 0.38427734375000000000
060D    // 147: 0.37817382812500000000
0615    // 148: 0.38012695312500000000
0605    // 149: 0.37622070312500000000
05EC    // 150: 0.37011718750000000000
05E3    // 151: 0.36791992187500000000
05CA    // 152: 0.36181640625000000000
05A9    // 153: 0.35375976562500000000
0598    // 154: 0.34960937500000000000
058F    // 155: 0.34741210937500000000
056E    // 156: 0.33935546875000000000
056E    // 157: 0.33935546875000000000
0576    // 158: 0.34130859375000000000
0598    // 159: 0.34960937500000000000
0598    // 160: 0.34960937500000000000
0576    // 161: 0.34130859375000000000
0544    // 162: 0.32910156250000000000
0523    // 163: 0.32104492187500000000
04F9    // 164: 0.31079101562500000000
0523    // 165: 0.32104492187500000000
055D    // 166: 0.33520507812500000000
057F    // 167: 0.34350585937500000000
0587    // 168: 0.34545898437500000000
058F    // 169: 0.34741210937500000000
057F    // 170: 0.34350585937500000000
0576    // 171: 0.34130859375000000000
057F    // 172: 0.34350585937500000000
0576    // 173: 0.34130859375000000000
058F    // 174: 0.34741210937500000000
05B1    // 175: 0.35571289062500000000
05E3    // 176: 0.36791992187500000000
0605    // 177: 0.37622070312500000000
061E    // 178: 0.38232421875000000000
063F    // 179: 0.39038085937500000000
062F    // 180: 0.38647460937500000000
0637    // 181: 0.38842773437500000000
0648    // 182: 0.39257812500000000000
0669    // 183: 0.40063476562500000000
0693    // 184: 0.41088867187500000000
06CE    // 185: 0.42529296875000000000
06EF    // 186: 0.43334960937500000000
0708    // 187: 0.43945312500000000000
073B    // 188: 0.45190429687500000000
076D    // 189: 0.46411132812500000000
0786    // 190: 0.47021484375000000000
0786    // 191: 0.47021484375000000000
0765    // 192: 0.46215820312500000000
073B    // 193: 0.45190429687500000000
073B    // 194: 0.45190429687500000000
0775    // 195: 0.46606445312500000000
0797    // 196: 0.47436523437500000000
07C1    // 197: 0.48461914062500000000
07DA    // 198: 0.49072265625000000000
07E2    // 199: 0.49267578125000000000
07E2    // 200: 0.49267578125000000000
07EB    // 201: 0.49487304687500000000
07E2    // 202: 0.49267578125000000000
07E2    // 203: 0.49267578125000000000
07B8    // 204: 0.48242187500000000000
07C9    // 205: 0.48657226562500000000
07DA    // 206: 0.49072265625000000000
07D1    // 207: 0.48852539062500000000
07E2    // 208: 0.49267578125000000000
07DA    // 209: 0.49072265625000000000
07B0    // 210: 0.48046875000000000000
07B8    // 211: 0.48242187500000000000
07C9    // 212: 0.48657226562500000000
07B8    // 213: 0.48242187500000000000
