073F    // 0: 0.45288085937500000000
0748    // 1: 0.45507812500000000000
074F    // 2: 0.45678710937500000000
0744    // 3: 0.45410156250000000000
0741    // 4: 0.45336914062500000000
0733    // 5: 0.44995117187500000000
0721    // 6: 0.44555664062500000000
071F    // 7: 0.44506835937500000000
0715    // 8: 0.44262695312500000000
071F    // 9: 0.44506835937500000000
072F    // 10: 0.44897460937500000000
0741    // 11: 0.45336914062500000000
0754    // 12: 0.45800781250000000000
075D    // 13: 0.46020507812500000000
0756    // 14: 0.45849609375000000000
0741    // 15: 0.45336914062500000000
0736    // 16: 0.45068359375000000000
072A    // 17: 0.44775390625000000000
0725    // 18: 0.44653320312500000000
0728    // 19: 0.44726562500000000000
072C    // 20: 0.44824218750000000000
0736    // 21: 0.45068359375000000000
073D    // 22: 0.45239257812500000000
074D    // 23: 0.45629882812500000000
0756    // 24: 0.45849609375000000000
0762    // 25: 0.46142578125000000000
076D    // 26: 0.46411132812500000000
0770    // 27: 0.46484375000000000000
076D    // 28: 0.46411132812500000000
075F    // 29: 0.46069335937500000000
074D    // 30: 0.45629882812500000000
0748    // 31: 0.45507812500000000000
0741    // 32: 0.45336914062500000000
0746    // 33: 0.45458984375000000000
0759    // 34: 0.45922851562500000000
0772    // 35: 0.46533203125000000000
0777    // 36: 0.46655273437500000000
0787    // 37: 0.47045898437500000000
0790    // 38: 0.47265625000000000000
0792    // 39: 0.47314453125000000000
0797    // 40: 0.47436523437500000000
079C    // 41: 0.47558593750000000000
079C    // 42: 0.47558593750000000000
079E    // 43: 0.47607421875000000000
07A5    // 44: 0.47778320312500000000
07B5    // 45: 0.48168945312500000000
07D6    // 46: 0.48974609375000000000
07EF    // 47: 0.49584960937500000000
0817    // 48: 0.50561523437500000000
083E    // 49: 0.51513671875000000000
0840    // 50: 0.51562500000000000000
084E    // 51: 0.51904296875000000000
0855    // 52: 0.52075195312500000000
085A    // 53: 0.52197265625000000000
086D    // 54: 0.52661132812500000000
088B    // 55: 0.53393554687500000000
08A4    // 56: 0.54003906250000000000
08B9    // 57: 0.54516601562500000000
08DC    // 58: 0.55371093750000000000
08DC    // 59: 0.55371093750000000000
08E3    // 60: 0.55541992187500000000
08CE    // 61: 0.55029296875000000000
08BB    // 62: 0.54565429687500000000
0896    // 63: 0.53662109375000000000
086D    // 64: 0.52661132812500000000
085C    // 65: 0.52246093750000000000
084E    // 66: 0.51904296875000000000
085A    // 67: 0.52197265625000000000
088B    // 68: 0.53393554687500000000
08C9    // 69: 0.54907226562500000000
090A    // 70: 0.56494140625000000000
0936    // 71: 0.57568359375000000000
092D    // 72: 0.57348632812500000000
0911    // 73: 0.56665039062500000000
08D3    // 74: 0.55151367187500000000
0894    // 75: 0.53613281250000000000
085A    // 76: 0.52197265625000000000
0822    // 77: 0.50830078125000000000
0802    // 78: 0.50048828125000000000
07E4    // 79: 0.49316406250000000000
07CA    // 80: 0.48681640625000000000
07B3    // 81: 0.48120117187500000000
07A5    // 82: 0.47778320312500000000
0799    // 83: 0.47485351562500000000
07A0    // 84: 0.47656250000000000000
079E    // 85: 0.47607421875000000000
0790    // 86: 0.47265625000000000000
0780    // 87: 0.46875000000000000000
0774    // 88: 0.46582031250000000000
076B    // 89: 0.46362304687500000000
074F    // 90: 0.45678710937500000000
074B    // 91: 0.45581054687500000000
0746    // 92: 0.45458984375000000000
074F    // 93: 0.45678710937500000000
075D    // 94: 0.46020507812500000000
0764    // 95: 0.46191406250000000000
076B    // 96: 0.46362304687500000000
0779    // 97: 0.46704101562500000000
0777    // 98: 0.46655273437500000000
0779    // 99: 0.46704101562500000000
