07C910A6    // 0: 0.48658814281225204468
07CACBA1    // 1: 0.48701060190796852112
07CDBB6D    // 2: 0.48772757127881050110
07D0C915    // 3: 0.48847301676869392395
07D38C1D    // 4: 0.48914729431271553040
07D6A9C5    // 5: 0.48990799859166145325
07DB630E    // 6: 0.49106126278638839722
07E291A9    // 7: 0.49281469359993934631
07EBAE03    // 8: 0.49503899738192558289
07F481AD    // 9: 0.49719398096203804016
07F9B121    // 10: 0.49845993891358375549
07F80A01    // 11: 0.49805641546845436096
07EDFF39    // 12: 0.49560472741723060608
07DCD660    // 13: 0.49141538143157958984
07C8D7D7    // 14: 0.48653396591544151306
07B84C72    // 15: 0.48249477893114089966
07B16464    // 16: 0.48080863058567047119
07B7AF80    // 17: 0.48234510421752929688
07CA4DA7    // 18: 0.48689046129584312439
07E3C12A    // 19: 0.49310413748025894165
07FBCF3D    // 20: 0.49897693470120429993
080AB7F6    // 21: 0.50261684507131576538
080C5EC4    // 22: 0.50302006304264068604
0801D085    // 23: 0.50044300034642219543
07F05C05    // 24: 0.49618150666356086731
07DEDC11    // 25: 0.49190909042954444885
07D2A49A    // 26: 0.48892650753259658813
07CDC0F2    // 27: 0.48773283511400222778
07CF39B9    // 28: 0.48809215798974037170
07D4C3BE    // 29: 0.48944448679685592651
07DC7E67    // 30: 0.49133148416876792908
07E58F68    // 31: 0.49354496598243713379
07EF789A    // 32: 0.49596462398767471313
07F8FBD2    // 33: 0.49828702956438064575
07FFD558    // 34: 0.49995931982994079590
0801A76E    // 35: 0.50040381401777267456
07FDB9CD    // 36: 0.49944477155804634094
07F613BD    // 37: 0.49757741764187812805
07EF2BAD    // 38: 0.49589126184582710266
07EE0374    // 39: 0.49560876190662384033
07F5EA01    // 40: 0.49753761664032936096
080711EC    // 41: 0.50172607600688934326
081ED39A    // 42: 0.50752601772546768188
08391E91    // 43: 0.51394516602158546448
0852153F    // 44: 0.52003979310393333435
08670CE3    // 45: 0.52515877410769462585
087693E4    // 46: 0.52894963324069976807
088033F9    // 47: 0.53129956498742103577
08848637    // 48: 0.53235455974936485291
0885A8F1    // 49: 0.53263181820511817932
08879CB9    // 50: 0.53310844674706459045
088F9570    // 51: 0.53505462408065795898
08A23E5A    // 52: 0.53961024433374404907
08C15D1D    // 53: 0.54720794036984443665
08EA25CA    // 54: 0.55716494470834732056
09154A47    // 55: 0.56769778952002525330
0938EAEB    // 56: 0.57639591023325920105
094BBB4D    // 57: 0.58098917081952095032
09480E24    // 58: 0.58009161055088043213
092DBE41    // 59: 0.57366776838898658752
090279DF    // 60: 0.56310450658202171326
08D08308    // 61: 0.55090621113777160645
08A456D4    // 62: 0.54012186825275421143
0889BD79    // 63: 0.53362796083092689514
0888B1F4    // 64: 0.53337283432483673096
08A2D44E    // 65: 0.53975325077772140503
08D23FA6    // 66: 0.55133023113012313843
090A5EB7    // 67: 0.56503173336386680603
093AFEB6    // 68: 0.57690306752920150757
0954DC75    // 69: 0.58321805670857429504
094E4D07    // 70: 0.58161642774939537048
0926488F    // 71: 0.57184654101729393005
08E4C228    // 72: 0.55584922432899475098
0898135E    // 73: 0.53712784498929977417
