079C6388    // 0: 0.47568085789680480957
07A208D4    // 1: 0.47705920040607452393
079F1DF5    // 2: 0.47634692862629890442
07964AB8    // 3: 0.47419235110282897949
078BB0E8    // 4: 0.47160425782203674316
07832B5F    // 5: 0.46952378377318382263
077F23F7    // 6: 0.46854015812277793884
07805D87    // 7: 0.46883919462561607361
07866D5F    // 8: 0.47031914815306663513
07904DFB    // 9: 0.47273061797022819519
079CA027    // 10: 0.47573867067694664001
07A9A5BF    // 11: 0.47891783341765403748
07B527D5    // 12: 0.48172743991017341614
07BCB4FC    // 13: 0.48357103765010833740
07BE6538    // 14: 0.48398324847221374512
07B9B156    // 15: 0.48283513635396957397
07B0115C    // 16: 0.48048530519008636475
07A4D013    // 17: 0.47773749753832817078
079C115D    // 18: 0.47560249641537666321
07995630    // 19: 0.47493571043014526367
079E3E42    // 20: 0.47613359242677688599
07A9FD30    // 21: 0.47900122404098510742
07B9ED04    // 22: 0.48289205133914947510
07CAA515    // 23: 0.48697384074330329895
07D920D1    // 24: 0.49050981178879737854
07E3656E    // 25: 0.49301665276288986206
07E86FC3    // 26: 0.49424720928072929382
07E7DE34    // 27: 0.49410839378833770752
07E1DC6E    // 28: 0.49264185875654220581
07D77591    // 29: 0.49010235443711280823
07CB2B64    // 30: 0.48710192739963531494
07C0F080    // 31: 0.48460435867309570312
07BD3A32    // 32: 0.48369807749986648560
07C325CD    // 33: 0.48514347150921821594
07D2B3D1    // 34: 0.48894101753830909729
07E82843    // 35: 0.49417902156710624695
07FD4E55    // 36: 0.49934228137135505676
080C152D    // 37: 0.50294988229870796204
08114F45    // 38: 0.50422598794102668762
080E18EC    // 39: 0.50344173610210418701
08071650    // 40: 0.50173026323318481445
08023052    // 41: 0.50053436309099197388
080407E6    // 42: 0.50098409503698348999
080E9635    // 43: 0.50356121733784675598
082169F4    // 44: 0.50815768539905548096
083ACD9F    // 45: 0.51435625180602073669
0858C969    // 46: 0.52167645469307899475
08794351    // 47: 0.52960521355271339417
08994F94    // 48: 0.53742940723896026611
08B4D149    // 49: 0.54414490237832069397
08C756E8    // 50: 0.54866686463356018066
08CE1F36    // 51: 0.55032273381948471069
08CA3CEB    // 52: 0.54937450215220451355
08C14A15    // 53: 0.54718979075551033020
08BBAA5F    // 54: 0.54581677541136741638
08C0E891    // 55: 0.54709679260849952698
08D3F395    // 56: 0.55174596980214118958
08F13CBE    // 57: 0.55889581888914108276
090FED12    // 58: 0.56638819724321365356
09258E5A    // 59: 0.57166896015405654907
092A49BF    // 60: 0.57282423600554466248
091BA8B3    // 61: 0.56925268098711967468
08FCD623    // 62: 0.56172765418887138367
08D497E1    // 63: 0.55190265551209449768
08AAB45F    // 64: 0.54167592152953147888
0885FEAC    // 65: 0.53271357715129852295
086BA94A    // 66: 0.52628449350595474243
085F48DE    // 67: 0.52326285094022750854
0862A8E3    // 68: 0.52408684417605400085
0874DF41    // 69: 0.52853322401642799377
08912C16    // 70: 0.53544243425130844116
08AEC5C6    // 71: 0.54266908019781112671
08C2851D    // 72: 0.54749022796750068665
08C239FB    // 73: 0.54741857573390007019
08A87F56    // 74: 0.54113706201314926147
0876FEA2    // 75: 0.52905143052339553833
0836047D    // 76: 0.51318787410855293274
07F15F36    // 77: 0.49642869085073471069
07B40672    // 78: 0.48145145922899246216
0784A444    // 79: 0.46988321840763092041
076481D2    // 80: 0.46203786879777908325
0750DDD9    // 81: 0.45724282041192054749
074597B7    // 82: 0.45449038967490196228
073F5EC9    // 83: 0.45297125354409217834
073C47DA    // 84: 0.45221696048974990845
073AF06C    // 85: 0.45188944041728973389
07392CB3    // 86: 0.45145864412188529968
0733A941    // 87: 0.45011258497834205627
072715C5    // 88: 0.44704224541783332825
07123D32    // 89: 0.44195289164781570435
06F79E1B    // 90: 0.43545351549983024597
06DD4515    // 91: 0.42902095988392829895
06CA8E70    // 92: 0.42445224523544311523
06C4DC2D    // 93: 0.42306153848767280579
06CCEB13    // 94: 0.42502887174487113953
06DE674D    // 95: 0.42929773405194282532
06F1E99D    // 96: 0.43406068161129951477
070059A8    // 97: 0.43758550286293029785
0705E5DB    // 98: 0.43893991038203239441
0702FCF4    // 99: 0.43822951614856719971
06FB1753    // 100: 0.43630154058337211609
06F25267    // 101: 0.43416061624884605408
06EB7692    // 102: 0.43248612433671951294
06E78E79    // 103: 0.43153235688805580139
06E6F12B    // 104: 0.43138233944773674011
06EA918F    // 105: 0.43226772174239158630
06F44867    // 106: 0.43463936075568199158
07058B70    // 107: 0.43885368108749389648
071D656B    // 108: 0.44467679783701896667
07372D93    // 109: 0.45097119733691215515
074B40A4    // 110: 0.45587219297885894775
07519EDA    // 111: 0.45742688328027725220
07453A66    // 112: 0.45440139621496200562
07266562    // 113: 0.44687402993440628052
06FB7B5C    // 114: 0.43639694154262542725
06D04FB4    // 115: 0.42585726082324981689
06B520F1    // 116: 0.41922086849808692932
06BD7F7B    // 117: 0.42126415297389030457
06FDDF6D    // 118: 0.43698065355420112610
07866590    // 119: 0.47031170129776000977
085ABDE9    // 120: 0.52215376868844032288
096A0B23    // 121: 0.58838952705264091492
0A8C750A    // 122: 0.65929130464792251587
0B8B977C    // 123: 0.72158001363277435303
0C36192F    // 124: 0.76320761069655418396
0C777B52    // 125: 0.77917034178972244263
0C67F1C9    // 126: 0.77537706866860389709
0C48A079    // 127: 0.76773116365075111389
0C6932B1    // 128: 0.77568310871720314026
0CFFC7D9    // 129: 0.81244644895195960999
0E06336F    // 130: 0.87651389464735984802
0F2FB669    // 131: 0.94914856925606727600
10000000    // 132: 1.00000000000000000000
0FFBC8DD    // 133: 0.99897085502743721008
0EDD5F94    // 134: 0.92904622852802276611
0CB45399    // 135: 0.79402503743767738342
09E1406D    // 136: 0.61749308183789253235
06F03549    // 137: 0.43364456668496131897
04646678    // 138: 0.27451178431510925293
028D3786    // 139: 0.15947677940130233765
01763DAE    // 140: 0.09136741608381271362
00F4A1A6    // 141: 0.05972447246313095093
00C66A06    // 142: 0.04844095557928085327
00B1EC20    // 143: 0.04343807697296142578
00978F15    // 144: 0.03700168803334236145
0071F1F1    // 145: 0.02781862393021583557
004A4B73    // 146: 0.01813836023211479187
002AD072    // 147: 0.01045269519090652466
0016F28E    // 148: 0.00560241192579269409
000B87FD    // 149: 0.00281523540616035461
0003FB4C    // 150: 0.00097207725048065186
00000000    // 151: 0.00000000000000000000
00065EAA    // 152: 0.00155512243509292603
002409BB    // 153: 0.00879834219813346863
00684A6C    // 154: 0.02546159923076629639
00DF8134    // 155: 0.05456657707691192627
018DD5FC    // 156: 0.09712789952754974365
026B80F5    // 157: 0.15124602988362312317
0364234E    // 158: 0.21194773167371749878
045A7BA8    // 159: 0.27209058403968811035
053022B1    // 160: 0.32425183430314064026
05CEB074    // 161: 0.36296124756336212158
062E9C2A    // 162: 0.38637939840555191040
0658A333    // 163: 0.39664001390337944031
0660EC8D    // 164: 0.39866309240460395813
065E758A    // 165: 0.39806131273508071899
0662AF27    // 166: 0.39909281954169273376
067513B1    // 167: 0.40358323231339454651
