07A8F05F    // 0: 0.47874486073851585388
07BC5E86    // 1: 0.48348858207464218140
07C78D93    // 2: 0.48621900007128715515
07C690AE    // 3: 0.48597782105207443237
07BAC4C8    // 4: 0.48309782147407531738
07A9AFDD    // 5: 0.47892748191952705383
0799E9F1    // 6: 0.47507661953568458557
078FE2EC    // 7: 0.47262851893901824951
078C4BE8    // 8: 0.47175207734107971191
078CE5F9    // 9: 0.47189900651574134827
078ED083    // 10: 0.47236682102084159851
0790B299    // 11: 0.47282657399773597717
07934E46    // 12: 0.47346331924200057983
079823B3    // 13: 0.47464342042803764343
079F530B    // 14: 0.47639755532145500183
07A67BBE    // 15: 0.47814535349607467651
07A97764    // 16: 0.47887362539768218994
07A4CED5    // 17: 0.47773631289601325989
0798366D    // 18: 0.47466127946972846985
07876A5C    // 19: 0.47056041657924652100
0778B127    // 20: 0.46696582064032554626
0771BA62    // 21: 0.46526563912630081177
0774B722    // 22: 0.46599496155977249146
077F47A0    // 23: 0.46857416629791259766
078BF7EE    // 24: 0.47167199105024337769
079530FB    // 25: 0.47392366454005241394
0797DFF1    // 26: 0.47457880154252052307
07945D31    // 27: 0.47372168675065040588
078D3973    // 28: 0.47197861596941947937
07850B93    // 29: 0.46998174116015434265
077CDA3A    // 30: 0.46798155456781387329
077444CA    // 31: 0.46588591486215591431
076B2834    // 32: 0.46366138756275177002
07635E3A    // 33: 0.46175978332757949829
07611448    // 34: 0.46120098233222961426
07690D63    // 35: 0.46314753219485282898
077DB170    // 36: 0.46818679571151733398
079CC7D7    // 37: 0.47577651962637901306
07BF8219    // 38: 0.48425493016839027405
07DD4393    // 39: 0.49151952192187309265
07EFB3D4    // 40: 0.49602110683917999268
07F5D013    // 41: 0.49751288816332817078
07F43F2E    // 42: 0.49713056534528732300
07F2ABB1    // 43: 0.49674576893448829651
07F7D67D    // 44: 0.49800728633999824524
080696C5    // 45: 0.50160862877964973450
081D77C7    // 46: 0.50719430670142173767
0838B5D2    // 47: 0.51384527236223220825
08550D86    // 48: 0.52076485008001327515
08713FA2    // 49: 0.52764857560396194458
088D8079    // 50: 0.53454634919762611389
08A97120    // 51: 0.54136765003204345703
08C25E3D    // 52: 0.54745315387845039368
08D36196    // 53: 0.55160673707723617554
08D78A75    // 54: 0.55262227728962898254
08CCD1F2    // 55: 0.55000490695238113403
08B5DCDB    // 56: 0.54440007731318473816
08997673    // 57: 0.53746647760272026062
087FE3E8    // 58: 0.53122320771217346191
086FA861    // 59: 0.52726018801331520081
086B70AD    // 60: 0.52623050287365913391
08722409    // 61: 0.52786639705300331116
08808DFE    // 62: 0.53138541430234909058
08936868    // 63: 0.53598824143409729004
08A853AF    // 64: 0.54109543189406394958
08BD7A76    // 65: 0.54625936597585678101
08D0611C    // 66: 0.55087386071681976318
08DD4495    // 67: 0.55402048304677009583
08DFC240    // 68: 0.55462861061096191406
08D4A149    // 69: 0.55191162601113319397
08BBB316    // 70: 0.54582508653402328491
08987311    // 71: 0.53721911087632179260
0870BC29    // 72: 0.52752319350838661194
084A15C3    // 73: 0.51808715984225273132
082729DA    // 74: 0.50956139713525772095
0806E209    // 75: 0.50168040767312049866
07E5D6A3    // 76: 0.49361289665102958679
07C1662E    // 77: 0.48471658676862716675
079A812B    // 78: 0.47522084042429924011
077659EE    // 79: 0.46639435738325119019
075C56A8    // 80: 0.46004357933998107910
07522DAC    // 81: 0.45756308734416961670
07587D72    // 82: 0.45910400897264480591
0769D345    // 83: 0.46333624795079231262
077CF2CE    // 84: 0.46800499409437179565
0789141E    // 85: 0.47096645087003707886
0789D106    // 86: 0.47114660590887069702
0780757F    // 87: 0.46886205300688743591
07724AB3    // 88: 0.46540326997637748718
0765077E    // 89: 0.46216534823179244995
075BB7A1    // 90: 0.45989191904664039612
0755F28B    // 91: 0.45848326012492179871
07517E3D    // 92: 0.45739578083157539368
074CF992    // 93: 0.45629269629716873169
074986E3    // 94: 0.45545090362429618835
074A27DD    // 95: 0.45560442283749580383
075149E1    // 96: 0.45734584704041481018
075E3F30    // 97: 0.46050947904586791992
076C6EE6    // 98: 0.46397294849157333374
07751E52    // 99: 0.46609336882829666138
0772D3EE    // 100: 0.46553414314985275269
0764705B    // 101: 0.46202121302485466003
074E25CF    // 102: 0.45657902583479881287
0737C8EF    // 103: 0.45111935958266258240
07296EAA    // 104: 0.44761530309915542603
07281219    // 105: 0.44728288426995277405
0733E650    // 106: 0.45017081499099731445
0748C982    // 107: 0.45527029782533645630
07603960    // 108: 0.46099221706390380859
07738EDF    // 109: 0.46571242436766624451
077D9424    // 110: 0.46815885603427886963
077B5073    // 111: 0.46760601922869682312
076C673F    // 112: 0.46396565064787864685
0753DE33    // 113: 0.45797557756304740906
0739527E    // 114: 0.45149468630552291870
0729E66C    // 115: 0.44772951304912567139
0737C4F2    // 116: 0.45111555606126785278
0776D28B    // 117: 0.46650938317179679871
07F66FF1    // 118: 0.49766534939408302307
08B99763    // 119: 0.54531038925051689148
09B083DE    // 120: 0.60559450834989547729
0AB7BE24    // 121: 0.66985906660556793213
0B9F8ADF    // 122: 0.72645079717040061951
0C3B85B0    // 123: 0.76453179121017456055
0C75A4B0    // 124: 0.77872151136398315430
0C5C7EC9    // 125: 0.77258184924721717834
0C2424F5    // 126: 0.75882430747151374817
0C154032    // 127: 0.75518817454576492310
0C6E440E    // 128: 0.77692037075757980347
0D428FAA    // 129: 0.82875028997659683228
0E674F26    // 130: 0.90022196620702743530
0F79C024    // 131: 0.96722425520420074463
10000000    // 132: 1.00000000000000000000
0F982AFA    // 133: 0.97465036064386367798
0E2164B8    // 134: 0.88315269351005554199
0BCB9CA4    // 135: 0.73720993101596832275
090651C3    // 136: 0.56404281780123710632
0656051A    // 137: 0.39600095897912979126
04244D1A    // 138: 0.25886259227991104126
02A00C32    // 139: 0.16407413035631179810
01BA3BF1    // 140: 0.10796732082962989807
013CC88F    // 141: 0.07733970507979393005
00EC9581    // 142: 0.05775976553559303284
00A45E03    // 143: 0.04012871906161308289
005CE317    // 144: 0.02267750725150108337
00229E1C    // 145: 0.00845156610012054443
00034993    // 146: 0.00080258771777153015
00000000    // 147: 0.00000000000000000000
000BC0F8    // 148: 0.00286957621574401855
00153D8A    // 149: 0.00518564134836196899
0013FBF7    // 150: 0.00487896427512168884
001012E9    // 151: 0.00392428413033485413
001FE710    // 152: 0.00778871774673461914
005DD8F2    // 153: 0.02291197329759597778
00DBEC45    // 154: 0.05369212105870246887
019BA471    // 155: 0.10049862042069435120
028D1D97    // 156: 0.15945204719901084900
039455B2    // 157: 0.22371453791856765747
049180AB    // 158: 0.28552309796214103699
0568F502    // 159: 0.33812428265810012817
0608DD92    // 160: 0.37716443091630935669
066C0C5F    // 161: 0.40137898549437522888
0699E29E    // 162: 0.41256963461637496948
06A36523    // 163: 0.41489137336611747742
069DCA1E    // 164: 0.41352283209562301636
069BCC57    // 165: 0.41303667053580284119
06A80285    // 166: 0.41601802781224250793
06C28661    // 167: 0.42249143496155738831
06E2EF04    // 168: 0.43040372431278228760
06FDB2FE    // 169: 0.43693827837705612183
070A1266    // 170: 0.43995895236730575562
0705C32C    // 171: 0.43890683352947235107
06F4DED1    // 172: 0.43478280678391456604
06DEEF7B    // 173: 0.42942760512232780457
06CB2EF7    // 174: 0.42460533604025840759
06BE3412    // 175: 0.42143637686967849731
06B9C08E    // 176: 0.42034965008497238159
06BDB1BD    // 177: 0.42131208255887031555
06C8C466    // 178: 0.42401542514562606812
06D86B3C    // 179: 0.42783664166927337646
06E81F90    // 180: 0.43167072534561157227
06F1A285    // 181: 0.43399288132786750793
06EECA98    // 182: 0.43329867720603942871
06DC6F6D    // 183: 0.42881720140576362610
06BCA74A    // 184: 0.42105797678232192993
0696B5EF    // 185: 0.41179459914565086365
06741ADD    // 186: 0.40334593132138252258
065C5835    // 187: 0.39754505828022956848
06519C94    // 188: 0.39492471516132354736
065054E8    // 189: 0.39461222290992736816
0651B85A    // 190: 0.39495120197534561157
064FA114    // 191: 0.39444072544574737549
06476B16    // 192: 0.39243610948324203491
063A3F7C    // 193: 0.38922069966793060303
062B08F8    // 194: 0.38550660014152526855
061BC4DC    // 195: 0.38177953660488128662
060C0F28    // 196: 0.37794414162635803223
05F9CB95    // 197: 0.37348516657948493958
05E33A60    // 198: 0.36797559261322021484
05C8F51E    // 199: 0.36156188696622848511
05AE4493    // 200: 0.35504586622118949890
0597B892    // 201: 0.34954125434160232544
0588E277    // 202: 0.34591909870505332947
058292A0    // 203: 0.34437811374664306641
05829C99    // 204: 0.34438762441277503967
0584FA04    // 205: 0.34496499598026275635
05858900    // 206: 0.34510135650634765625
0581631C    // 207: 0.34408865869045257568
05776E21    // 208: 0.34165776148438453674
056849D0    // 209: 0.33796101808547973633
05560B2F    // 210: 0.33350675925612449646
0543F414    // 211: 0.32909019291400909424
0536059B    // 212: 0.32568893954157829285
05301F01    // 213: 0.32424831762909889221
0534C189    // 214: 0.32537988200783729553
0543FD12    // 215: 0.32909876853227615356
055B2B7E    // 216: 0.33475827425718307495
0575DBFC    // 217: 0.34127424657344818115
058F7E53    // 218: 0.34753258153796195984
05A4FB5B    // 219: 0.35277877375483512878
05B561C7    // 220: 0.35678270086646080017
05C1800C    // 221: 0.35974125564098358154
05CAF7CC    // 222: 0.36205272376537322998
05D38906    // 223: 0.36414434760808944702
05DD24C9    // 224: 0.36649015918374061584
05EA4F8C    // 225: 0.36970476806163787842
05FE1919    // 226: 0.37453565374016761780
061B1F95    // 227: 0.38162191584706306458
0641DAC5    // 228: 0.39107777550816535950
066F4E1D    // 229: 0.40217410400509834290
069D52A8    // 230: 0.41340890526771545410
06C4C0C6    // 231: 0.42303540557622909546
06E08CA3    // 232: 0.42982162162661552429
06F03BC8    // 233: 0.43365076184272766113
06F8146B    // 234: 0.43556634709239006042
06FEFEFC    // 235: 0.43725489079952239990
070B0C85    // 236: 0.44019748643040657043
071E9C54    // 237: 0.44497330486774444580
073797E4    // 238: 0.45107258856296539307
0750DB6F    // 239: 0.45724051818251609802
0764EF7C    // 240: 0.46214245259761810303
077085E1    // 241: 0.46497142687439918518
07738A9A    // 242: 0.46570835262537002563
0770A30C    // 243: 0.46499924361705780029
076BA6F7    // 244: 0.46378227695822715759
07680FC1    // 245: 0.46290564909577369690
0767E7ED    // 246: 0.46286766603589057922
076BB2AC    // 247: 0.46379344165325164795
0772C58A    // 248: 0.46552041918039321899
077C1B78    // 249: 0.46779963374137878418
0786EF75    // 250: 0.47044320777058601379
0792ECAE    // 251: 0.47337024658918380737
079FEB3C    // 252: 0.47654269635677337646
07AD4339    // 253: 0.47980043664574623108
07B93BBA    // 254: 0.48272297531366348267
