074F870D    // 0: 0.45691590383648872375
074B63A2    // 1: 0.45590556412935256958
074416E7    // 2: 0.45412340387701988220
073E3CF6    // 3: 0.45269485563039779663
073CE3A1    // 4: 0.45236552134156227112
074019CE    // 5: 0.45314960926771163940
07454A59    // 6: 0.45441660657525062561
074924F7    // 7: 0.45535751804709434509
0749CA4D    // 8: 0.45551519468426704407
0747F839    // 9: 0.45507070794701576233
074656B3    // 10: 0.45467252656817436218
0747814C    // 11: 0.45495729148387908936
074C144A    // 12: 0.45607403665781021118
075217E4    // 13: 0.45754231512546539307
07564FB9    // 14: 0.45857212319970130920
07568B33    // 15: 0.45862884446978569031
0753981C    // 16: 0.45790873467922210693
07515613    // 17: 0.45735747739672660828
0754C59E    // 18: 0.45819627493619918823
0760FBB5    // 19: 0.46117754653096199036
0774CC5B    // 20: 0.46601520106196403503
078AA6C4    // 21: 0.47135044634342193604
079ADE63    // 22: 0.47530974075198173523
079F3E5C    // 23: 0.47637782990932464600
07960316    // 24: 0.47412403672933578491
0782A1F2    // 25: 0.46939272433519363403
076C0D8C    // 26: 0.46388010680675506592
07597D66    // 27: 0.45934810489416122437
074F93F1    // 28: 0.45692819729447364807
074F27BF    // 29: 0.45682501420378684998
07561F16    // 30: 0.45852573961019515991
076161C6    // 31: 0.46127488464117050171
076EA77F    // 32: 0.46451520547270774841
077CF446    // 33: 0.46800639480352401733
078BE99D    // 34: 0.47165833786129951477
079AA18D    // 35: 0.47525172308087348938
07A722CF    // 36: 0.47830468043684959412
07AED731    // 37: 0.48018569126725196838
07AFE920    // 38: 0.48044693470001220703
07AA99B4    // 39: 0.47915048897266387939
07A1DB6B    // 40: 0.47701589390635490417
079ABC04    // 41: 0.47527696192264556885
079AD231    // 42: 0.47529811039566993713
07A63FC7    // 43: 0.47808816656470298767
07BDFD56    // 44: 0.48388417810201644897
07DF0868    // 45: 0.49195137619972229004
0802F272    // 46: 0.50071949511766433716
0821BC99    // 47: 0.50823650136590003967
0834B7E0    // 48: 0.51287066936492919922
083965D7    // 49: 0.51401313766837120056
08330B22    // 50: 0.51246178895235061646
082A025A    // 51: 0.51025614887475967407
0828A307    // 52: 0.50992109999060630798
0836D894    // 53: 0.51339013874530792236
08564FE6    // 54: 0.52107229083776473999
08813521    // 55: 0.53154480829834938049
08AC2C78    // 56: 0.54203459620475769043
08CAD64D    // 57: 0.54952077940106391907
08D4859F    // 58: 0.55188524350523948669
08C73FCE    // 59: 0.54864483326673507690
08A7C8F3    // 60: 0.54096312448382377625
087F425B    // 61: 0.53106914088129997253
0857E313    // 62: 0.52145678922533988953
083A7659    // 63: 0.51427302137017250061
082D1529    // 64: 0.51100650802254676819
0832CB42    // 65: 0.51240087300539016724
084B401F    // 66: 0.51837169751524925232
08720EAB    // 67: 0.52784601971507072449
089E70CC    // 68: 0.53868179023265838623
08C454D7    // 69: 0.54793247207999229431
08D7685D    // 70: 0.55258976295590400696
08CF516B    // 71: 0.55061475560069084167
08AB446C    // 72: 0.54181329905986785889
0872C03F    // 73: 0.52801537141203880310
0832DDC0    // 74: 0.51241850852966308594
07F90CE5    // 75: 0.49830331280827522278
07CE0236    // 76: 0.48779507726430892944
07B337E0    // 77: 0.48125445842742919922
07A418DB    // 78: 0.47756276652216911316
0799C5CE    // 79: 0.47504215687513351440
078F27C5    // 80: 0.47245003655552864075
0782DA9E    // 81: 0.46944677084684371948
07766890    // 82: 0.46640831232070922852
076BA8A3    // 83: 0.46378387138247489929
07627559    // 84: 0.46153769269585609436
075867D3    // 85: 0.45908338949084281921
074AB3A0    // 86: 0.45573770999908447266
0738C4CC    // 87: 0.45135955512523651123
0725C34A    // 88: 0.44671944528818130493
0717993E    // 89: 0.44326137751340866089
0713F81F    // 90: 0.44237529858946800232
071CF6A2    // 91: 0.44457114487886428833
072F5E8B    // 92: 0.44906477257609367371
0743BCEA    // 93: 0.45403758436441421509
0751A891    // 94: 0.45743614807724952698
075385BF    // 95: 0.45789122208952903748
0748CAD9    // 96: 0.45527157559990882874
0735B88F    // 97: 0.45061546191573143005
0720EDEE    // 98: 0.44553940743207931519
071064B1    // 99: 0.44150227680802345276
07075D43    // 100: 0.43929792568087577820
07061A20    // 101: 0.43898975849151611328
070B05D3    // 102: 0.44019110128283500671
071438B5    // 103: 0.44243689253926277161
07203ACD    // 104: 0.44536857679486274719
072DB5C7    // 105: 0.44865968450903892517
073A9C18    // 106: 0.45180901885032653809
0743BC70    // 107: 0.45403712987899780273
07456E33    // 108: 0.45445079728960990906
073D3085    // 109: 0.45243884995579719543
072B4757    // 110: 0.44806608185172080994
07131C00    // 111: 0.44216537475585937500
06FA0614    // 112: 0.43604095280170440674
06E5073A    // 113: 0.43091509491205215454
06D73711    // 114: 0.42754274979233741760
06D29841    // 115: 0.42641473188996315002
06DB5F3D    // 116: 0.42855762317776679993
06FBC9AC    // 117: 0.43647162616252899170
0744D117    // 118: 0.45430096611380577087
07C8E7C7    // 119: 0.48654916509985923767
0890FB9C    // 120: 0.53539620339870452881
0990ABF5    // 121: 0.59782024100422859192
0AA18CBB    // 122: 0.66444085165858268738
0B8BF02E    // 123: 0.72166460007429122925
0C1D3416    // 124: 0.75712975114583969116
0C42D9BA    // 125: 0.76632092148065567017
0C1BA0FE    // 126: 0.75674533098936080933
0BF1B361    // 127: 0.74650895968079566956
0C1B250E    // 128: 0.75662713497877120972
0CCC9D42    // 129: 0.79995466023683547974
0DF48A29    // 130: 0.87220207229256629944
0F3459D9    // 131: 0.95028099790215492249
10000000    // 132: 1.00000000000000000000
0FD8178C    // 133: 0.99025683104991912842
0E83828A    // 134: 0.90710691362619400024
0C2BE9BD    // 135: 0.76072095707058906555
094E360B    // 136: 0.58159450814127922058
0686E30E    // 137: 0.40793137997388839722
0453F168    // 138: 0.27049389481544494629
02EA7CA5    // 139: 0.18224777653813362122
0231CD73    // 140: 0.13715882226824760437
01E11119    // 141: 0.11744794622063636780
01ABA4DB    // 142: 0.10440526530146598816
0163B6AE    // 143: 0.08684413880109786987
01041A58    // 144: 0.06350168585777282715
00A27801    // 145: 0.03966522589325904846
0057705A    // 146: 0.02134738117456436157
002CDA6D    // 147: 0.01095049455761909485
001AD42F    // 148: 0.00655001029372215271
0011B220    // 149: 0.00432026386260986328
000780B5    // 150: 0.00183172896504402161
00000000    // 151: 0.00000000000000000000
000B5353    // 152: 0.00276501104235649109
003E03FB    // 153: 0.01514051482081413269
00A7C5A9    // 154: 0.04095998778939247131
014D441B    // 155: 0.08136377856135368347
02263413    // 156: 0.13432700559496879578
031EC365    // 157: 0.19501056149601936340
041B41BD    // 158: 0.25665448978543281555
04FDDA5F    // 159: 0.31197583302855491638
05ADE9EB    // 160: 0.35495940968394279480
061F62ED    // 161: 0.38266270235180854797
0656ECD7    // 162: 0.39622196182608604431
0667EFD6    // 163: 0.40037520974874496460
066C310E    // 164: 0.40141396969556808472
0678AAAF    // 165: 0.40445965155959129333
06954813    // 166: 0.41144568845629692078
06BBEDF9    // 167: 0.42088124528527259827
06DF0D2F    // 168: 0.42945593222975730896
06F365CC    // 169: 0.43442325294017791748
06F6E9BA    // 170: 0.43528149276971817017
06F0EEE0    // 171: 0.43382155895233154297
06EC3628    // 172: 0.43266883492469787598
06EF6C4B    // 173: 0.43345288559794425964
06F928BC    // 174: 0.43582986295223236084
0701E4A0    // 175: 0.43796217441558837891
0701EF8B    // 176: 0.43797258660197257996
06F71A73    // 177: 0.43532795831561088562
06E61FD4    // 178: 0.43118269741535186768
06D72DD6    // 179: 0.42753394693136215210
06D027A9    // 180: 0.42581907287240028381
06D0D89F    // 181: 0.42598783597350120544
06D377DA    // 182: 0.42662797123193740845
06D11786    // 183: 0.42604782432317733765
06C6AF1E    // 184: 0.42350684851408004761
06B75843    // 185: 0.41976190730929374695
06AA3110    // 186: 0.41655069589614868164
06A552E1    // 187: 0.41536224260926246643
06A92863    // 188: 0.41629828140139579773
06AF4FB1    // 189: 0.41780060902237892151
06ADA873    // 190: 0.41739697381854057312
069BFED7    // 191: 0.41308483108878135681
0678D7BF    // 192: 0.40450262650847434998
064ABF30    // 193: 0.39324873685836791992
061D4FBE    // 194: 0.38215612620115280151
05FBCA93    // 195: 0.37397248670458793640
05EC197E    // 196: 0.37014149874448776245
05ECB3A5    // 197: 0.37028850987553596497
05F625DE    // 198: 0.37259470671415328979
05FEF497    // 199: 0.37474497780203819275
05FFA7DF    // 200: 0.37491595372557640076
05F52CA3    // 201: 0.37235702201724052429
05E0CDAF    // 202: 0.36738365516066551208
05C662E9    // 203: 0.36093417182564735413
05AA20EC    // 204: 0.35403530299663543701
058F03F4    // 205: 0.34741587936878204346
05766472    // 206: 0.34140438586473464966
05606FB5    // 207: 0.33604403212666511536
054CFD45    // 208: 0.33129622414708137512
053C4092    // 209: 0.32721001654863357544
052F18E5    // 210: 0.32399835065007209778
0526F3B5    // 211: 0.32200976088643074036
05252B1B    // 212: 0.32157431170344352722
052A35F7    // 213: 0.32280537113547325134
0534E8AC    // 214: 0.32541720569133758545
05423B32    // 215: 0.32866973429918289185
054DEA3C    // 216: 0.33152221143245697021
0553F51F    // 217: 0.33299743756651878357
055261EE    // 218: 0.33261292427778244019
054A7E3B    // 219: 0.33068678900599479675
0540E355    // 220: 0.32834180071949958801
053C0F59    // 221: 0.32716307416558265686
05422665    // 222: 0.32864989712834358215
0556A9E9    // 223: 0.33365813270211219788
05792429    // 224: 0.34207550063729286194
05A5373A    // 225: 0.35283587127923965454
05D40177    // 226: 0.36425920948386192322
05FE5558    // 227: 0.37459310889244079590
061F08D6    // 228: 0.38257678598165512085
0634A2C1    // 229: 0.38785052672028541565
0641C741    // 230: 0.39105916395783424377
064C2EA4    // 231: 0.39359916746616363525
065A6AE3    // 232: 0.39707459136843681335
0671511C    // 233: 0.40266524255275726318
06922538    // 234: 0.41068002581596374512
06BA5B5F    // 235: 0.42049729451537132263
06E514CD    // 236: 0.43092804029583930969
070D6AE6    // 237: 0.44077577441930770874
07304585    // 238: 0.44928504899144172668
074CB18D    // 239: 0.45622401311993598938
0762CFE9    // 240: 0.46162405982613563538
077266FE    // 241: 0.46543025225400924683
077A84DB    // 242: 0.46741185709834098816
077A9BAC    // 243: 0.46743361651897430420
0774605F    // 244: 0.46591221913695335388
076CD631    // 245: 0.46407145634293556213
076B1961    // 246: 0.46364725008606910706
07751107    // 247: 0.46608069166541099548
078BEC05    // 248: 0.47166063264012336731
07AA9715    // 249: 0.47914798930287361145
07C78386    // 250: 0.48620941489934921265
07D9232C    // 251: 0.49051205813884735107
07DA857D    // 252: 0.49084996059536933899
07CD9754    // 253: 0.48769314587116241455
07B9C4C5    // 254: 0.48285366967320442200
07A81796    // 255: 0.47853811830282211304
079F27F2    // 256: 0.47635645419359207153
07A10E3F    // 257: 0.47682022675871849060
07ABF899    // 258: 0.47948512807488441467
07BC41B7    // 259: 0.48346110805869102478
