00CD3B33  // 0.0501053
00CEA8FD  // 0.0504541
00C243D8  // 0.047428
00ADBEA8  // 0.0424182
009D66D1  // 0.0384281
00949625  // 0.036276
00947A9F  // 0.0362498
009AEC26  // 0.0378229
009AF44C  // 0.0378306
008DD4A7  // 0.0346266
00809F6D  // 0.031402
007CCC05  // 0.030468
0079F43F  // 0.0297739
00747743  // 0.028434
00737C1E  // 0.0281945
0073E5CA  // 0.0282953
006DA134  // 0.0267651
0068B22B  // 0.0255605
007296C7  // 0.0279758
008984FF  // 0.0335741
009E2EAD  // 0.0386187
009F0064  // 0.0388187
008A13A1  // 0.0337101
007C6DA8  // 0.030378
00932927  // 0.0359279
00B9FD76  // 0.0454077
00C24D66  // 0.0474371
00A8FE39  // 0.0412581
00965CAB  // 0.0367095
009FBBC6  // 0.0389974
00B47D9E  // 0.0440651
00BF8ED8  // 0.0467671
00BB155A  // 0.0456747
00AD644F  // 0.042332
00A4A605  // 0.0401974
00AA2E02  // 0.0415478
00B568B1  // 0.0442893
00B7D5EA  // 0.0448817
00B090A8  // 0.0431067
00A745DB  // 0.0408381
009F73E9  // 0.0389289
009C9341  // 0.0382264
00A3E2AA  // 0.0400111
00AF8A46  // 0.0428565
00B0973A  // 0.043113
00A52A6E  // 0.0403237
009B2819  // 0.03788
009A180C  // 0.0376206
009D5056  // 0.0384067
00A19347  // 0.0394471
00A3B4F8  // 0.0399675
009AC319  // 0.0377837
00899487  // 0.0335889
00856A65  // 0.0325722
00956EF7  // 0.0364828
00A655F4  // 0.0406093
00ABFDAE  // 0.04199
009D5DA7  // 0.0384194
004CE962  // 0.0187773
FFA63644  // -0.0219209
FF15E501  // -0.0571547
FF162B73  // -0.0570875
FF43CBF5  // -0.0459481
FECB97E9  // -0.0752946
FDF6BDCF  // -0.12726
FE292A22  // -0.11495
FFE2D06A  // -0.00712546
01E3282F  // 0.117958
02D4E250  // 0.176974
02CD1471  // 0.175068
029D5980  // 0.163415
029BFA22  // 0.16308
02A4D724  // 0.165244
02A149B0  // 0.164377
02916C7F  // 0.160504
025FB468  // 0.148365
01F35ADE  // 0.121913
015D2504  // 0.0852404
00DC553A  // 0.0537922
00A91FC4  // 0.0412901
00B68EFE  // 0.04457
00C55BC9  // 0.0481832
00B765FE  // 0.044775
00A6A3DC  // 0.0406836
00A9CF89  // 0.0414577
00B4CBF2  // 0.0441398
00B7E4C8  // 0.0448959
00B54B02  // 0.044261
00B45A5B  // 0.0440315
00B93FDF  // 0.0452269
00C6032E  // 0.0483429
00D52347  // 0.0520356
