ED65E10C  // -1.16263
ED2FEDE9  // -1.1758
ECDCDDD6  // -1.19608
EC4B7126  // -1.23158
EBA94528  // -1.27117
EB263C87  // -1.30316
EAE15A2F  // -1.31998
EADE878A  // -1.32067
EAE156B4  // -1.31999
EAA52B27  // -1.33468
EA40D290  // -1.35917
E9F43821  // -1.37788
E9BEFFBF  // -1.39087
E98A6E07  // -1.4037
E968AF6B  // -1.41194
E958F41A  // -1.41578
E9347855  // -1.42469
E90859A9  // -1.43546
E91F1563  // -1.42991
E99DC693  // -1.39898
EA4C49CC  // -1.35637
EAB196DD  // -1.33164
EA802B4F  // -1.34371
EA1ADC6E  // -1.36844
EA4C1DD5  // -1.35642
EB29A218  // -1.30234
EBD691BE  // -1.26011
EBB957E0  // -1.26725
EB417531  // -1.29652
EB25DE13  // -1.30326
EB813C8F  // -1.28095
EBF0A244  // -1.25375
EC18ABF2  // -1.24398
EBE7D353  // -1.2559
EB9D8E47  // -1.27403
EB8DA607  // -1.27792
EBBE9653  // -1.26597
EBE9B4AD  // -1.25544
EBDDF39F  // -1.25831
EBA6AA85  // -1.27181
EB603AB7  // -1.28901
EB2BE966  // -1.30178
EB33C194  // -1.29986
EB734EA3  // -1.28435
EB9EC755  // -1.27374
EB7ECC2E  // -1.28154
EB37F5F6  // -1.29884
EB0943F3  // -1.31024
EB01874E  // -1.31213
EB14B724  // -1.30744
EB2A53B2  // -1.30217
EB0B2EA9  // -1.30977
EAA5847B  // -1.33459
EA55AEAF  // -1.35408
EA778DAD  // -1.34581
EAE35833  // -1.3195
EB3E68BD  // -1.29726
EB240A4F  // -1.3037
E987713E  // -1.40443
E5726333  // -1.65957
E0626452  // -1.97598
DD8CC441  // -2.15313
DCFA7ED8  // -2.18884
DA9AA95B  // -2.33724
D548A522  // -2.66976
D3278850  // -2.80285
DA71AC36  // -2.34725
E8A27F78  // -1.46033
F55F7832  // -0.664192
FC09055C  // -0.247798
FE4A3461  // -0.106884
FF296477  // -0.0523944
FFB8CCFD  // -0.0173826
FFF2BE99  // -0.0032362
FFBDC49B  // -0.0161699
FEA81E9D  // -0.0839552
FBF9B5A1  // -0.251536
F79A39C3  // -0.524847
F2B56A17  // -0.830709
EF0F4A6E  // -1.05877
ED6A5C75  // -1.16153
ECF1FE5F  // -1.19092
EC84BCEE  // -1.21759
EBF93F11  // -1.25165
EBB8BBA7  // -1.2674
EBCF965D  // -1.26182
EBF1DBAD  // -1.25345
EBF8B666  // -1.25178
EBF5BF52  // -1.2525
EC0B4D0E  // -1.24724
EC55E9FB  // -1.22902
ECCA1D59  // -1.20066
ED2DFBD3  // -1.17627
ED6104B6  // -1.16381
ED8C7C17  // -1.1532
EDE40B17  // -1.13183
EE6017E1  // -1.10154
EEDAC527  // -1.07159
EF413A2B  // -1.04658
EF86EF8D  // -1.02956
EF9E38E6  // -1.02387
EFA3ABBA  // -1.02254
EFDEBC70  // -1.00812
F06843AF  // -0.974545
F0F260BF  // -0.940826
F118EB16  // -0.931416
F0D62EBC  // -0.947709
F07A79D8  // -0.970099
F03EC7EC  // -0.984673
F014B458  // -0.994945
EFD7CBCF  // -1.00982
EF6EF1AF  // -1.03541
EEC56640  // -1.07681
EDE9D135  // -1.13042
ED283666  // -1.17768
ECBB47A9  // -1.20428
EC77842C  // -1.22082
EC095285  // -1.24772
EB6B66A9  // -1.28628
EAE49BD9  // -1.31919
EAAA908A  // -1.33336
EAACA5C9  // -1.33285
EAABE5A5  // -1.33303
EA7BF88B  // -1.34473
EA30AEFD  // -1.36311
EA057D14  // -1.37366
EA1E903A  // -1.36754
EA681F7E  // -1.34958
EAA35589  // -1.33512

01EDA485  // 0.120518
01F32AE9  // 0.121867
01FB5205  // 0.123858
020A4694  // 0.127509
021B3922  // 0.131646
0228E655  // 0.134985
02304CC6  // 0.136792
0230DC5A  // 0.136929
02304C6A  // 0.136792
02361A44  // 0.138209
0240A757  // 0.140785
0248E5C5  // 0.142797
024E4468  // 0.144108
0253A2E5  // 0.145419
02576806  // 0.146339
02590385  // 0.146732
025C7824  // 0.147576
02611D56  // 0.14871
025F36ED  // 0.148246
025270AB  // 0.145127
02405C40  // 0.140713
02354749  // 0.138007
02399ED9  // 0.139068
0244658A  // 0.141698
0240932D  // 0.140765
0229FD77  // 0.135251
0216EB15  // 0.130595
021910D8  // 0.13112
0225F203  // 0.134264
02299295  // 0.13515
02204189  // 0.132875
021471B8  // 0.129991
020FEA80  // 0.128886
0214B340  // 0.130054
021C9123  // 0.131974
021EAC48  // 0.132489
0219B26D  // 0.131274
0214E9DA  // 0.130106
0215EFF0  // 0.130356
021BABC6  // 0.131756
0222ED29  // 0.133527
02287111  // 0.134873
02280014  // 0.134766
02218CF1  // 0.133191
021CA6C7  // 0.131995
021FA0A1  // 0.132722
02271E5A  // 0.13455
022C2EB8  // 0.135787
022D0140  // 0.135988
022B1C40  // 0.135525
0228E6AC  // 0.134986
022BB20C  // 0.135668
0235E9A1  // 0.138162
023EB682  // 0.140311
023BC929  // 0.139596
02306BD8  // 0.136822
0226EF0C  // 0.134505
0229CE25  // 0.135206
02529260  // 0.145159
02BB861C  // 0.170782
0342BECD  // 0.203795
03937A58  // 0.223505
03A3A1EC  // 0.227449
03DB8989  // 0.241098
046521A6  // 0.27469
04A6A0F4  // 0.290681
03F0D067  // 0.246292
027892CF  // 0.154437
011E544B  // 0.0699046
006868F4  // 0.0254907
002D0ABB  // 0.0109966
0016DA0C  // 0.00557904
00079528  // 0.00185123
00016020  // 0.000335813
0006E789  // 0.00168565
0022DB3D  // 0.00850986
00684846  // 0.0254596
00DAF549  // 0.0534566
015D56CA  // 0.0852878
01C062B0  // 0.109469
01ED99C9  // 0.120508
01F9AE9C  // 0.123458
0204292D  // 0.126016
0212DE85  // 0.129607
021A3570  // 0.131399
0217E023  // 0.130829
02140DC5  // 0.129896
02134519  // 0.129705
02139BEE  // 0.129787
02117F86  // 0.129272
020A0908  // 0.12745
01FE10EB  // 0.124528
01F368CD  // 0.121926
01EDE7BA  // 0.120582
01E99D5A  // 0.119535
01E0CEEE  // 0.117385
01D3EB7A  // 0.114238
01C71847  // 0.111107
01BC7961  // 0.108514
01B521FA  // 0.106722
01B27749  // 0.106071
01B1EFEB  // 0.105942
01AC42DB  // 0.104556
019E4DBF  // 0.101148
018FACBD  // 0.0975768
018B1A67  // 0.0964607
0191D96A  // 0.0981077
019BA01A  // 0.100494
01A1FED1  // 0.10205
01A6443F  // 0.103092
01AC7C74  // 0.104611
01B73DD4  // 0.107237
01C88293  // 0.111453
01DF20CC  // 0.116975
01F3959C  // 0.121969
01FF4B16  // 0.124827
02062678  // 0.126502
02112657  // 0.129187
02217810  // 0.133171
022FC20B  // 0.13666
023616D2  // 0.138205
0235F09D  // 0.138169
0235CBA9  // 0.138134
023A827D  // 0.139285
02425828  // 0.141197
02471669  // 0.142355
0244BE33  // 0.141783
023D30C7  // 0.139939
0236D229  // 0.138384

E82BDA2D  // -1.48929
E7CB28E0  // -1.5129
E772D71A  // -1.53446
E6D2FC67  // -1.57349
E60568C7  // -1.62368
E54C1CA1  // -1.66892
E4D6D94D  // -1.69755
E4B709BD  // -1.70531
E4BC8FBF  // -1.70396
E48DD8D5  // -1.71537
E41B2AA7  // -1.74337
E3AA1F2E  // -1.77097
E35C24FE  // -1.79
E319639B  // -1.8063
E2E44838  // -1.81927
E2C8A997  // -1.82601
E2A50931  // -1.83471
E26DD564  // -1.84819
E269854D  // -1.84924
E2DEDC49  // -1.82059
E3B00BCF  // -1.76952
E45A0511  // -1.72802
E45EA9AC  // -1.72689
E3EA2CF1  // -1.75533
E3DC80AA  // -1.75867
E4B1BDCB  // -1.70661
E5B5320F  // -1.64326
E5EDE4F0  // -1.62942
E5709D21  // -1.66001
E51A54E5  // -1.68107
E55D8052  // -1.66467
E5EBB11A  // -1.62996
E64327C1  // -1.6086
E62A6AF0  // -1.61464
E5D0D78A  // -1.63651
E59E4375  // -1.64886
E5C2307A  // -1.64009
E6013AB5  // -1.6247
E60C2062  // -1.62204
E5D62D1C  // -1.63521
E57FEF8E  // -1.65627
E532876E  // -1.67516
E5204EFA  // -1.67961
E55B5F34  // -1.66519
E5A14D56  // -1.64812
E59B3B96  // -1.6496
E54D50F2  // -1.66862
E502D8FB  // -1.6868
E4E7CAF8  // -1.69341
E4F5F30A  // -1.68995
E5127D4F  // -1.68299
E5047EFA  // -1.6864
E49FE5BC  // -1.71096
E428D2D3  // -1.74003
E41EAB13  // -1.74251
E48DE259  // -1.71536
E5106980  // -1.68349
E52775B3  // -1.67787
E3CABEBC  // -1.763
DFA21925  // -2.02293
D96640BE  // -2.41254
D49588E9  // -2.71349
D2EB15A9  // -2.81761
D0E73768  // -2.94355
CB50CC30  // -3.29277
C6C19657  // -3.57774
CBC6B40B  // -3.26399
DB62A7F5  // -2.28841
ECFE96FB  // -1.18784
F86C5811  // -0.473549
FD109F36  // -0.183442
FE9985F2  // -0.0875187
FF69E443  // -0.0366475
FFDB9D6F  // -0.00888306
FFC87D24  // -0.0135525
FECA91C4  // -0.0755446
FC0F6422  // -0.246242
F723386E  // -0.553901
F0F5B369  // -0.940014
EB9B4047  // -1.2746
E8979DAC  // -1.46298
E78C07AB  // -1.52831
E70B6DEF  // -1.55971
E66408C3  // -1.60058
E5E96326  // -1.63052
E5E1F4F2  // -1.63233
E60E85AF  // -1.62145
E624E274  // -1.61599
E623AD89  // -1.61629
E632CD3A  // -1.6126
E67AC592  // -1.59503
E7001FC1  // -1.56247
E78BE80B  // -1.52834
E7E43524  // -1.50679
E81C5638  // -1.49308
E87771E6  // -1.47084
E90906EA  // -1.4353
E9AA6BDC  // -1.39589
EA38435B  // -1.36126
EAA10B7A  // -1.33568
EAD3C30B  // -1.3233
EAE02968  // -1.32027
EB10CA69  // -1.3084
EB9FE8A5  // -1.27346
EC57AD43  // -1.22859
ECBA1697  // -1.20457
EC904D72  // -1.21477
EC1F1CEF  // -1.2424
EBC15FF8  // -1.26529
EB851437  // -1.28001
EB40D90E  // -1.29667
EACDC4F7  // -1.32476
EA0FD8FA  // -1.37113
E9087B34  // -1.43543
E7FE4920  // -1.50042
E74A4B9C  // -1.54436
E6E4E4B8  // -1.56912
E66E0116  // -1.59814
E5B5F5E3  // -1.64308
E4F926C3  // -1.68917
E48A7971  // -1.71619
E47525B4  // -1.7214
E4798B9E  // -1.72033
E4523A9F  // -1.72992
E3FAE303  // -1.75125
