00B59E80  // 0.0443406
00B6336E  // 0.0444826
00B5B444  // 0.0443614
00AEE3A2  // 0.0426976
00AACF3E  // 0.0417015
00B1AF0D  // 0.0433798
00C1E90D  // 0.0473414
00D351EB  // 0.0515918
00D98E58  // 0.0531143
00CE4DD2  // 0.0503672
00BE9E94  // 0.046538
00BC6B2B  // 0.0460006
00C3521F  // 0.0476857
00C161E9  // 0.0472125
00B2F0E8  // 0.0436868
00A1DD4D  // 0.0395177
0097BEE0  // 0.0370473
009B7670  // 0.0379547
00A82A2F  // 0.0410559
00AAD1C8  // 0.041704
009F791C  // 0.0389339
009B2955  // 0.0378812
00A1BE7C  // 0.0394883
00977A10  // 0.0369816
0073767B  // 0.0281892
0055C56E  // 0.0209402
00595BF2  // 0.0218162
00754169  // 0.0286268
00906F26  // 0.0352622
009627E8  // 0.0366592
007F95A5  // 0.0311486
006073FE  // 0.0235481
00588C5E  // 0.0216182
006BE79C  // 0.0263439
0082A2CF  // 0.0318935
0091848D  // 0.0355268
00A0479E  // 0.0391308
00ABB933  // 0.0419247
00A99054  // 0.0413974
00A3D68D  // 0.0399995
00AA00DD  // 0.0415047
00B34671  // 0.0437684
00B34A62  // 0.0437721
00B5BEBA  // 0.0443713
00C46F62  // 0.0479578
00D08B8E  // 0.0509143
00CF8B71  // 0.0506701
00CA30DD  // 0.049363
00C464B6  // 0.0479476
00BFD507  // 0.046834
00CD599F  // 0.0501343
00EE06E6  // 0.058112
00FCF13A  // 0.0617535
00E4908A  // 0.0558019
00C62B0B  // 0.0483809
00C326B0  // 0.0476443
00C0E93B  // 0.0470974
00858C51  // 0.0326045
0003DF28  // 0.00094524
FF7D52C1  // -0.0319035
FF4B3521  // -0.0441388
FF6F99E5  // -0.0352536
FF760FD1  // -0.0336763
FF0703F7  // -0.0607872
FE90D11F  // -0.0896443
FEF1023B  // -0.06616
004EEA12  // 0.0192662
01C15F1D  // 0.10971
0263B7CD  // 0.149345
025116D5  // 0.144797
022F0AFC  // 0.136485
023C4F1E  // 0.139724
024D0138  // 0.1438
024CD51A  // 0.143758
024AA617  // 0.143225
023F5F8C  // 0.140472
021332D4  // 0.129687
01B95D30  // 0.107755
013BCAA5  // 0.0770976
00CAD0BF  // 0.0495155
00A20D74  // 0.0395636
00BD37E6  // 0.0461959
00D6EC12  // 0.0524712
00C6554B  // 0.0484212
00A7719E  // 0.0408798
009F2865  // 0.0388569
00AE094F  // 0.0424893
00C0A5F7  // 0.0470333
00C6135B  // 0.0483583
00BC23EB  // 0.0459327
00B5A484  // 0.0443463
00C2B6A2  // 0.0475375
00D63EDA  // 0.052306
00DCF0CA  // 0.0539406
00DC1DD0  // 0.0537394
00DE5A07  // 0.0542851
00E027CA  // 0.0547254
00E4C57A  // 0.0558524
00F754C4  // 0.0603836
010DA0E7  // 0.0658273
01130B7F  // 0.0671496
010C90D4  // 0.0655678
010C4057  // 0.065491
0112165D  // 0.0669159
0117AD74  // 0.0682807
01213440  // 0.0706065
012D20D7  // 0.0735176
012DDC5B  // 0.0736965
01203458  // 0.0703624
0112BB7C  // 0.0670733
0111710F  // 0.0667582
01165CC7  // 0.0679596
0110FAB3  // 0.0666453
00FB5B74  // 0.0613665
00E460D5  // 0.0557564
00DC2290  // 0.0537439
00DC366D  // 0.0537628
00D3F414  // 0.0517464
00C33B46  // 0.0476639
00B4CB15  // 0.044139
00A98889  // 0.04139
009DEFD9  // 0.0385588
0096F6CA  // 0.0368565
00973ED2  // 0.0369251
00954036  // 0.0364382
008A5926  // 0.0337764
007E47E7  // 0.0308303
007AC14B  // 0.0299695
007FD03E  // 0.0312045

FF0524FE  // -0.061244
FF07B3BE  // -0.0606196
FF0B1BFC  // -0.0597878
FF113A83  // -0.0582938
FF14EC9E  // -0.0573915
FF1080BF  // -0.058471
FF030BFA  // -0.0617562
FEF21CA9  // -0.0658906
FEE89D0B  // -0.0682096
FEECC174  // -0.0671983
FEF6B7E3  // -0.064766
FEFADC6B  // -0.0637546
FEFA139F  // -0.0639461
FEFDB5CE  // -0.063059
FF098E12  // -0.0601672
FF19CC12  // -0.0562019
FF269E85  // -0.0530715
FF287657  // -0.0526215
FF224BA5  // -0.0541271
FF20DF32  // -0.0544746
FF26C6A0  // -0.0530332
FF291631  // -0.0524691
FF282290  // -0.0527014
FF3494B3  // -0.0496629
FF52C8C5  // -0.042289
FF6F5A9A  // -0.035314
FF76BEE0  // -0.0335094
FF68169F  // -0.0370878
FF51CF1F  // -0.0425271
FF478BE1  // -0.0450326
FF53C9FC  // -0.0420437
FF6ADFC8  // -0.0364077
FF7635DD  // -0.03364
FF6E94C4  // -0.0355027
FF5DF79B  // -0.0395588
FF4B5989  // -0.0441041
FF3776CA  // -0.048959
FF286BBB  // -0.0526316
FF23E0FE  // -0.0537405
FF22CF3D  // -0.0540016
FF1CCADA  // -0.0554706
FF16171E  // -0.0571069
FF131DFC  // -0.0578327
FF0CDCF1  // -0.0593596
FEFFB5E4  // -0.0625707
FEF41CD6  // -0.0654022
FEEFBD50  // -0.0664698
FEF07ACD  // -0.0662891
FEF55B8A  // -0.0650982
FEF8A46B  // -0.0642963
FEEC7AEB  // -0.0672656
FED2512A  // -0.0736531
FEC37017  // -0.0772857
FECE9184  // -0.0745683
FEE22D7D  // -0.0697808
FEEB90D9  // -0.0674888
FEFB278C  // -0.063683
FF387F21  // -0.0487069
FFB18B5E  // -0.0191542
003A8F52  // 0.0142968
008ED7D9  // 0.0348738
00A2EFAE  // 0.0397794
00C09E31  // 0.0470259
01236505  // 0.0711413
01817E67  // 0.0941147
013DB4A9  // 0.0775649
00285D4A  // 0.00985459
FECC2B59  // -0.075154
FDD35C33  // -0.135898
FD61438D  // -0.163754
FD316DAA  // -0.175433
FD11C7FF  // -0.183159
FCFD84C3  // -0.188106
FCF38989  // -0.190543
FCEFC994  // -0.191458
FCFAB42D  // -0.188793
FD255394  // -0.178387
FD7DA18F  // -0.156828
FDFE423F  // -0.125425
FE7EE9F0  // -0.0940152
FECD5309  // -0.074872
FEE25CBD  // -0.0697358
FEE4F44A  // -0.069103
FEF45A34  // -0.0653437
FF0B5C1C  // -0.0597266
FF17C204  // -0.0566997
FF13AE75  // -0.057695
FF0774B6  // -0.0606797
FF00A440  // -0.0623434
FF03CF3B  // -0.0615699
FF05BAB7  // -0.0611012
FEFC01EC  // -0.0634747
FEECFC34  // -0.0671423
FEE2E6A8  // -0.0696042
FEDD058F  // -0.0710396
FED86E88  // -0.0721602
FED58005  // -0.072876
FECE681F  // -0.0746077
FEBC9C7B  // -0.0789523
FEA7F8BC  // -0.0839913
FE9CF9CB  // -0.0866758
FE9A30E6  // -0.0873557
FE974C85  // -0.0880618
FE92B07B  // -0.0891872
FE8C5355  // -0.0907408
FE8188E6  // -0.0933753
FE75BBAD  // -0.0962566
FE7266EF  // -0.0970698
FE7A248A  // -0.09518
FE8497C7  // -0.0926287
FE892DF7  // -0.0915089
FE89DECA  // -0.0913403
FE91202F  // -0.0895689
FEA3FC52  // -0.0849644
FEB9E331  // -0.0796173
FEC84DA2  // -0.0760978
FED1472E  // -0.0739067
FEDD6F00  // -0.0709391
FEEE0496  // -0.0668902
FEFEF564  // -0.0627543
FF0F7DA8  // -0.0587181
FF1F3369  // -0.0548826
FF2A0D17  // -0.0522336
FF2F5463  // -0.0509449
FF354478  // -0.0494952
FF401382  // -0.0468564
FF4BE3D0  // -0.0439722
FF529645  // -0.0423372
FF52262D  // -0.0424441

01C4CC52  // 0.110546
01BC509C  // 0.108475
01B81621  // 0.107443
01AFFA97  // 0.105464
01A5E786  // 0.103004
01A57876  // 0.102898
01B60EF4  // 0.106948
01D37894  // 0.114129
01EDC0C7  // 0.120545
01F2ECD9  // 0.121808
01E3474F  // 0.117988
01D3B36F  // 0.114185
01D16B39  // 0.113628
01D166F0  // 0.113624
01C42024  // 0.110382
01A94F0F  // 0.103835
018D07C3  // 0.0969312
017ED293  // 0.0934625
01849BA7  // 0.094875
018EBAE7  // 0.0973462
018ABFDD  // 0.0963744
01809EC2  // 0.0939014
017FD35C  // 0.0937074
017929C0  // 0.0920808
0152B34C  // 0.0826905
01186DD0  // 0.0684641
00F41FD3  // 0.0596007
00FC8714  // 0.0616523
01233372  // 0.071094
01455BAC  // 0.0794331
0144454F  // 0.0791677
011FC1D1  // 0.0702532
00FB2FF0  // 0.061325
00F77B96  // 0.0604206
0111220D  // 0.0666829
01334025  // 0.0750123
015629C9  // 0.0835359
01767E87  // 0.0914293
01887310  // 0.0958129
018B1917  // 0.0964595
018F689A  // 0.0975119
019BEC07  // 0.100567
01A5864D  // 0.102911
01AC34E7  // 0.104543
01BD17F9  // 0.108665
01D56AF8  // 0.114604
01E4DF21  // 0.118377
01E729B1  // 0.118936
01E11676  // 0.117453
01D7E7E0  // 0.115211
01DD7065  // 0.116562
0201CA01  // 0.125437
022CF3C8  // 0.135975
023230B4  // 0.137253
02109DA0  // 0.129057
01F1FD68  // 0.12158
01E054F2  // 0.117269
01A3A8A0  // 0.102456
00FEF4B5  // 0.0622451
0008BA50  // 0.00213081
FF331D34  // -0.050021
FED9A0B9  // -0.0718682
FEC385E9  // -0.0772649
FE5B8C90  // -0.102649
FD97B451  // -0.150463
FD5F3B7A  // -0.16425
FE9A08BB  // -0.087394
00FB9031  // 0.0614168
033C8596  // 0.202276
047E4132  // 0.280824
04F1708A  // 0.308945
05256FD7  // 0.32164
05516276  // 0.332369
056C8EF0  // 0.339004
05777D87  // 0.341672
057202AF  // 0.340335
05449D52  // 0.329252
04CFB2E4  // 0.300708
0407BFA6  // 0.251892
03152247  // 0.19266
0251F8D5  // 0.145013
01FCFB8D  // 0.124263
01F5F958  // 0.122552
01EEAB8E  // 0.120769
01C9F7A2  // 0.111808
01A52406  // 0.102818
019D433F  // 0.100894
01AF96C9  // 0.105368
01C46DE5  // 0.110456
01C7DE3D  // 0.111296
01BFE52A  // 0.109349
01C4D9A2  // 0.110559
01DD513E  // 0.116533
01F6785C  // 0.122673
020457F6  // 0.12606
020C8833  // 0.12806
0212D495  // 0.129597
021A7EE2  // 0.131469
02300DA7  // 0.136732
0254FBC8  // 0.145748
02740664  // 0.153326
027F4185  // 0.156068
0281B856  // 0.15667
0287C9A7  // 0.158151
0291CB11  // 0.160594
02A10421  // 0.164311
02B65DA5  // 0.169523
02C5D996  // 0.173303
02C1A043  // 0.172272
02AE813E  // 0.167604
029EF40C  // 0.163807
029B5522  // 0.162923
0296ECF9  // 0.161847
027FF919  // 0.156243
0258962B  // 0.146628
0235A5B6  // 0.138097
0221E507  // 0.133275
02116DAC  // 0.129255
01F7E190  // 0.123018
01D8A54D  // 0.115392
01BA5B94  // 0.107997
019D7B4D  // 0.100948
01852AD9  // 0.0950116
0177273A  // 0.0915901
016EEB84  // 0.0895801
0160CAA2  // 0.0861307
014B51BB  // 0.0808885
01394CB7  // 0.0764892
0133BEAE  // 0.075133

FEE26FE3  // -0.0697175
FEEF3C89  // -0.0665927
FEF4940D  // -0.0652885
FEF2EA04  // -0.0656948
FEF8EEA2  // -0.0642255
FF06EE19  // -0.0608081
FF0FA588  // -0.05868
FF08A8BF  // -0.0603859
FEF002E4  // -0.0664035
FED282D4  // -0.0736057
FEC925A2  // -0.0758918
FEDA1E43  // -0.0717485
FEEB0B27  // -0.0676163
FEE7ECF2  // -0.0683775
FEDE68C2  // -0.0707009
FEE251FE  // -0.069746
FEF62AAB  // -0.0649007
