007FF8A8  // 0.031243
0087F192  // 0.0331894
008CCDAE  // 0.0343758
0087101E  // 0.0329744
007B08FB  // 0.0300379
0078DB2E  // 0.0295059
00832E22  // 0.0320264
008A6863  // 0.033791
00872BDD  // 0.0330008
00819347  // 0.0316346
007D1170  // 0.0305342
0076E279  // 0.0290246
0075858F  // 0.0286918
007F19D0  // 0.0310305
00870EC8  // 0.0329731
007FAA69  // 0.0311684
00722B77  // 0.0278735
006D6EF7  // 0.0267172
006EC511  // 0.0270434
006EDFB3  // 0.0270688
006D33FE  // 0.0266609
0064B1A3  // 0.0245835
005276DE  // 0.0201329
0044CC4F  // 0.0167964
00454F24  // 0.0169212
0044E1C3  // 0.0168169
00379E3C  // 0.0135786
0029BE14  // 0.010191
00281EEA  // 0.00979511
0032B6B6  // 0.0123813
00465801  // 0.0171738
0054AED8  // 0.0206746
00457585  // 0.0169578
001EDEDC  // 0.00753675
000D4915  // 0.00324352
00273EA3  // 0.00958122
004F5371  // 0.0193667
00655E83  // 0.0247483
006C4F46  // 0.0264428
0070AD33  // 0.0275089
0071CB5D  // 0.0277818
0070E242  // 0.0275595
00768A2A  // 0.0289404
0080F521  // 0.0314838
0083FBBE  // 0.0322225
007CC94A  // 0.0304654
0074C633  // 0.0285093
00732DAB  // 0.0281197
00768076  // 0.0289311
0078DF40  // 0.0295098
0076C690  // 0.028998
0072C854  // 0.0280231
006FEE4C  // 0.0273269
006DCA6E  // 0.0268044
0072B8CF  // 0.0280083
0087EDFD  // 0.0331859
0098E30C  // 0.0373259
00717377  // 0.027698
FFFC1439  // -0.000957277
FF7574A2  // -0.0338243
FF43294C  // -0.0461032
FF7CEE1C  // -0.0319995
FFA760FC  // -0.021636
FF38BE5A  // -0.0486466
FE88B3B2  // -0.0916255
FEAB4B18  // -0.0831803
FFF8B675  // -0.00177912
016CDF91  // 0.0890804
0204AF1E  // 0.126144
01F1CD76  // 0.121534
01E4C4DC  // 0.118352
01FD294B  // 0.124307
0202F703  // 0.125724
01F94349  // 0.123355
01FB2B33  // 0.12382
01F4D81C  // 0.122276
01BD8D91  // 0.108778
01488A52  // 0.08021
00BD9924  // 0.0462886
00670AE1  // 0.0251569
0062555C  // 0.0240072
007A0581  // 0.0297904
00777FC4  // 0.0291746
0067D052  // 0.0253452
006A8AB3  // 0.0260112
007AAD4D  // 0.0299504
00862CC8  // 0.0327576
0089030A  // 0.0334502
00843AA3  // 0.0322825
007D8C67  // 0.0306515
00834643  // 0.0320494
00991E97  // 0.0373827
00ADB383  // 0.0424075
00B11A0F  // 0.0432377
00A91314  // 0.041278
00A72BC0  // 0.0408132
00B33B20  // 0.0437576
00C53A71  // 0.0481514
00D2AE97  // 0.051436
00DC1A77  // 0.0537362
00E7A08D  // 0.0565496
00F57FAA  // 0.0599362
0104480E  // 0.0635453
0116FC79  // 0.0681119
0129EFC0  // 0.0727384
012E13DA  // 0.0737494
011D744A  // 0.069691
01060996  // 0.063974
00F41BE8  // 0.0595969
00E2D4C0  // 0.0553787
00CC6657  // 0.0499023
00B6AA5E  // 0.0445961
00A68BBB  // 0.0406606
00985540  // 0.0371907
008B94B4  // 0.0340774
0086DD29  // 0.0329258
00898667  // 0.0335754
008744BF  // 0.0330245
00799014  // 0.0296784
006B9826  // 0.0262681
006B3703  // 0.0261755
00745548  // 0.0284016
0076F52F  // 0.0290424
006DB9E4  // 0.0267886
00614EDA  // 0.0237568
00593DC3  // 0.0217874
0057915D  // 0.0213789
005E3712  // 0.0230017
0069A0EF  // 0.0257882

FF526ED6  // -0.0423748
FF4CEE09  // -0.0437183
FF488E19  // -0.0447864
FF4BE7CA  // -0.0439684
FF5415F6  // -0.0419712
FF56BE42  // -0.0413225
FF5193E4  // -0.0425836
FF4CA26A  // -0.0437904
FF4CAF45  // -0.0437782
FF4FA1C5  // -0.0430586
FF54B14B  // -0.0418231
FF5B3B7F  // -0.0402265
FF5D1A17  // -0.03977
FF572698  // -0.041223
FF51F996  // -0.0424866
FF560A1B  // -0.0414943
FF5F0FFE  // -0.0392914
FF654984  // -0.0377717
FF684308  // -0.0370454
FF69F508  // -0.0366316
FF6C7BEF  // -0.0360146
FF759768  // -0.0337912
FF863E48  // -0.0297258
FF94889D  // -0.0262369
FF9AF073  // -0.024673
FFA191F9  // -0.0230541
FFAE6658  // -0.0199219
FFBB839F  // -0.0167202
FFC139C4  // -0.0153258
FFBBA39F  // -0.0166897
FFAB7A1D  // -0.0206355
FF9E64B4  // -0.0238297
FFA7A206  // -0.021574
FFC35BCE  // -0.014805
FFD43EF7  // -0.0106821
FFC83E6F  // -0.0136123
FFABA67D  // -0.0205932
FF91937A  // -0.026959
FF7F2DDC  // -0.0314504
FF731FC2  // -0.0343935
FF6D60C5  // -0.0357964
FF6A1E3A  // -0.0365923
FF634688  // -0.0382628
FF5A19CC  // -0.0405027
FF55B598  // -0.0415749
FF588929  // -0.0408848
FF5DFB09  // -0.0395555
FF60DED9  // -0.03885
FF604D12  // -0.038989
FF5F54AB  // -0.0392259
FF60A9EE  // -0.0389004
FF639455  // -0.0381886
FF66EC09  // -0.0373726
FF699A26  // -0.0367182
FF649EA2  // -0.0379347
FF527CE3  // -0.0423614
FF461661  // -0.0453888
FF68DEE7  // -0.0368968
FFCEDF1E  // -0.0119943
004F3A69  // 0.0193428
009BD2B5  // 0.0380427
0099598F  // 0.0374389
009838E0  // 0.0371636
00F765FA  // 0.0604
017CEA7D  // 0.0929971
016C2BAB  // 0.0889088
007717FA  // 0.0290756
FF2EEEE5  // -0.0510417
FE46BBDE  // -0.107731
FDD7110F  // -0.134993
FD9B561B  // -0.149576
FD73BC25  // -0.159244
FD62A657  // -0.163416
FD5D20F7  // -0.164763
FD586060  // -0.165924
FD625386  // -0.163495
FD977A54  // -0.150518
FE0633E0  // -0.123486
FE9351EB  // -0.0890332
FF04BC60  // -0.0613438
FF3B0D88  // -0.0480828
FF4D2157  // -0.0436694
FF5B74F1  // -0.0401717
FF68327F  // -0.0370612
FF692B9C  // -0.0368236
FF604BF7  // -0.0389901
FF55CECA  // -0.0415508
FF4F81B6  // -0.0430892
FF504644  // -0.0429017
FF536A18  // -0.0421351
FF4DCDD9  // -0.0435049
FF3C1750  // -0.0478293
FF28BFE5  // -0.0525514
FF1F2F8F  // -0.0548863
FF1EA240  // -0.055021
FF1CE27B  // -0.0554481
FF12CAA0  // -0.0579122
FF02C84C  // -0.0618207
FEF2BE10  // -0.0657367
FEE3C865  // -0.069389
FED3E223  // -0.0732707
FEC2C54F  // -0.0774486
FEAFBEC5  // -0.0820935
FE98EBDF  // -0.0876657
FE82D372  // -0.0930601
FE79000B  // -0.0954589
FE80A6CA  // -0.0935909
FE92A546  // -0.0891979
FEA75288  // -0.0841498
FEBECF0C  // -0.0784158
FED9DFE2  // -0.071808
FEF4B14E  // -0.0652606
FF0C9245  // -0.0594308
FF225E93  // -0.054109
FF349E54  // -0.0496537
FF3F1EC7  // -0.0470898
FF4321AC  // -0.0461105
FF491012  // -0.0446624
FF55BDBD  // -0.0415671
FF62D7FB  // -0.0383682
FF67721F  // -0.0372447
FF64CE11  // -0.0378894
FF6438B6  // -0.0380319
FF6AA402  // -0.0364647
FF7524CB  // -0.0339005
FF7EF1A7  // -0.0315078
FF83D802  // -0.0303116
FF80A353  // -0.0310942
FF785EC2  // -0.0331128

01331540  // 0.0749714
0139EECC  // 0.0766438
014496FA  // 0.0792455
01469BA6  // 0.0797383
013AD7BF  // 0.0768659
012E969C  // 0.0738741
0130DD91  // 0.0744301
013C503E  // 0.077225
0141D016  // 0.0785676
013E4BEA  // 0.0777091
01367F91  // 0.0758053
012BA170  // 0.073152
0122D515  // 0.071004
012670EE  // 0.071885
0132DF31  // 0.0749199
01358497  // 0.0755659
012822E2  // 0.0722989
011853D7  // 0.0684393
01101961  // 0.0664305
010CD0A1  // 0.0656287
0109E0E1  // 0.0649117
01007892  // 0.062615
00E8D1E3  // 0.0568408
00CA83B9  // 0.049442
00B72F19  // 0.0447227
00ADDF06  // 0.042449
009DCD40  // 0.0385258
0084EA11  // 0.0324498
007236F9  // 0.0278845
0071E150  // 0.0278028
0086F618  // 0.0329495
00A53B1C  // 0.0403396
00AC1878  // 0.0420155
0087D0FC  // 0.0331583
00580295  // 0.0214868
0050DB1C  // 0.0197402
007A87F4  // 0.0299148
00B15987  // 0.0432983
00DA2571  // 0.0532584
00F4051D  // 0.0595752
0102EDD0  // 0.0632151
01099832  // 0.0648424
01114645  // 0.0667174
01202F78  // 0.0703578
012E013F  // 0.0737317
012F833B  // 0.0740998
01266A9A  // 0.071879
011D85F5  // 0.0697078
011B8B7D  // 0.0692248
011DFD6E  // 0.0698218
011E48B1  // 0.0698935
011A2207  // 0.0688801
01141C16  // 0.0674096
010E42C5  // 0.0659816
010EE5C3  // 0.0661371
01238CBA  // 0.0711791
01448185  // 0.0792251
0138B817  // 0.0763474
00BDB85A  // 0.0463184
FFE0095E  // -0.00780357
FF15D1D5  // -0.0571729
FED42419  // -0.0732078
FEF102B0  // -0.0661595
FEAFDEB3  // -0.082063
FDCC6B63  // -0.137593
FD388B41  // -0.173695
FE213EBD  // -0.116884
0056C5FF  // 0.0211849
027A7088  // 0.154892
03A9FB2E  // 0.228999
0426BEE6  // 0.259459
0471488C  // 0.277657
04A2E4B5  // 0.289769
04B42F33  // 0.29399
04BA2D2A  // 0.295453
04B83FA3  // 0.294983
0484E2E2  // 0.282443
03F12C46  // 0.24638
0304356A  // 0.188528
0211A59E  // 0.129308
01784DF6  // 0.0918712
01427718  // 0.0787269
01305E59  // 0.0743087
01195F06  // 0.0686941
010AB2B2  // 0.0651118
0112CFFC  // 0.0670929
01270858  // 0.0720294
0137ADAB  // 0.0760934
013C8F54  // 0.0772851
0137267C  // 0.0759644
0136DEC2  // 0.075896
014BF25E  // 0.0810417
01707635  // 0.0899565
018CE5DD  // 0.0968989
0194C2B9  // 0.0988185
01939E25  // 0.0985395
019CBD24  // 0.100766
01B57034  // 0.106796
01D3F4F8  // 0.114247
01EFEE87  // 0.121077
020AE93E  // 0.127664
0228461E  // 0.134832
02487B41  // 0.142696
026DCF75  // 0.151809
029759D6  // 0.161951
02B623DE  // 0.169468
02B7EFB5  // 0.169906
029DDA82  // 0.163538
02789F9B  // 0.154449
0250DCF0  // 0.144742
0223B791  // 0.13372
01F29A18  // 0.121729
01C4C153  // 0.110536
019C5502  // 0.100667
01788110  // 0.09192
015E68A4  // 0.085549
015283F3  // 0.0826454
014C03A1  // 0.0810581
013C2D8E  // 0.0771919
012320ED  // 0.0710763
011161F8  // 0.0667438
0110BC65  // 0.0665859
01165892  // 0.0679556
011210F0  // 0.0669107
01019E04  // 0.0628948
00EDE39D  // 0.0580784
00DFDEE7  // 0.0546559
00DE545E  // 0.0542797
00EA2901  // 0.057168

FF4763A0  // -0.045071
FF4DC433  // -0.0435141
FF48793E  // -0.0448062
FF3A7C95  // -0.048221
FF334890  // -0.0499796
FF3FCB62  // -0.0469252
FF50D11F  // -0.0427693
FF4F7409  // -0.0431022
FF419F95  // -0.0464787
FF3B37D9  // -0.0480424
FF3D198D  // -0.0475831
FF406774  // -0.0467763
FF4A1A40  // -0.0444086
FF57B8F2  // -0.0410834
FF563476  // -0.0414539
FF445F60  // -0.0458075
FF3C612C  // -0.0477589
FF48CE26  // -0.0447253
FF572E28  // -0.0412157
FF5C6FA7  // -0.0399326
FF5D5962  // -0.0397097
FF59F631  // -0.0405367
FF57A0F2  // -0.0411063
FF67360F  // -0.037302
FF83475D  // -0.0304495
FF903746  // -0.027291
FF8D6FC9  // -0.0279696
FF950956  // -0.0261141
FFABF91A  // -0.0205144
FFC19D96  // -0.0152306
FFCAD44F  // -0.0129811
FFBC9C6B  // -0.0164524
FF956AD6  // -0.0260212
FF7C649C  // -0.0321306
FF9BF266  // -0.024427
FFD89FBB  // -0.00961329
FFEDFCD8  // -0.00439754
FFCD4D0A  // -0.0123777
FFA1182E  // -0.0231703
FF843784  // -0.0302205
FF70F0B5  // -0.0349267
FF657F00  // -0.0377207
FF655EDD  // -0.0377513
FF64BB0E  // -0.0379075
FF57750E  // -0.0411481
FF4726D2  // -0.045129
FF43CDD1  // -0.0459463
FF4CF062  // -0.0437161
FF565D9F  // -0.0414146
FF57D392  // -0.041058
FF5370AB  // -0.0421289
FF515BC0  // -0.0426371
FF541A6E  // -0.041967
FF5838DE  // -0.0409614
FF611050  // -0.0388028
FF6D7233  // -0.0357798
FF608C4F  // -0.0389287
FF247586  // -0.0535989
FEEB2B72  // -0.0675855
FF197C00  // -0.0562782
FFD21593  // -0.0112099
00A1499A  // 0.0393768
00D0BD97  // 0.0509621
0057E566  // 0.021459
003D5357  // 0.0149721
014BA79E  // 0.0809704
029265E6  // 0.160742
0259CC76  // 0.146924
008701AF  // 0.0329606
FEB0146E  // -0.0820118
FDDB320F  // -0.133985
FD9CE3AB  // -0.149197
FD627680  // -0.163461
FD363758  // -0.174264
FD2FF075  // -0.175796
FD2632DA  // -0.178174
FD028D80  // -0.186877
FCECBAF9  // -0.192205
FD28E64D  // -0.177515
FDD3EE98  // -0.135759
FEA40B91  // -0.0849499
FF22726D  // -0.0540901
FF3A9FC2  // -0.0481875
FF3CCD54  // -0.0476557
FF561F9D  // -0.0414738
FF6ABEB8  // -0.0364392
FF659C26  // -0.0376929
FF53C754  // -0.0420462
FF433E82  // -0.046083
FF3D7C11  // -0.0474891
FF48BBEB  // -0.0447427
FF55DE07  // -0.0415363
FF4B55D8  // -0.0441076
FF2A4036  // -0.0521849
FF0EEDFC  // -0.0588551
FF0C03AE  // -0.0595668
FF1683E6  // -0.0570031
FF174F56  // -0.0568091
FF070873  // -0.060783
FEF1F57E  // -0.065928
FEE21DD5  // -0.0697958
FED3B6BA  // -0.0733121
FEC33B28  // -0.0773362
FEB30D86  // -0.0812859
FE9D72DD  // -0.0865604
FE7A27D1  // -0.0951769
FE56B0A0  // -0.103835
FE4CA389  // -0.106289
FE5D4C38  // -0.102222
FE739FC7  // -0.0967715
FE87B0D3  // -0.0918724
FEA26933  // -0.0853489
FEC39445  // -0.0772512
FEE132DD  // -0.0700199
FEFB2EAD  // -0.0636762
FF16F534  // -0.0568951
FF2D4AE8  // -0.0514422
FF329B11  // -0.0501451
FF2E5A6B  // -0.0511833
FF36054F  // -0.0493113
FF4E0667  // -0.0434509
FF612824  // -0.0387801
FF5F0DB6  // -0.0392936
FF532897  // -0.0421976
FF519D48  // -0.0425746
FF5D576B  // -0.0397116
FF6DF268  // -0.0356575
FF7D611E  // -0.0318898
FF835AA1  // -0.0304311

FD522451  // -0.167446
FD3D1952  // -0.172583
FD2CD76B  // -0.176552
FD3B0516  // -0.173091
FD5A1446  // -0.165508
FD625F06  // -0.163484
FD4E7611  // -0.168344
FD3D3E99  // -0.172548
FD3DC2BF  // -0.172422
FD481EE2  // -0.169892
FD5C0072  // -0.165039
FD75FE40  // -0.158693
FD7C2189  // -0.157195
FD645D8E  // -0.162997
FD523A42  // -0.167425
FD637B19  // -0.163213
FD8511CD  // -0.155012
FD9C0C89  // -0.149402
FDA89FFB  // -0.146332
FDAFE84B  // -0.144554
FDB9D99B  // -0.142126
FDDEBD63  // -0.13312
FE203ECC  // -0.117128
FE56250F  // -0.103969
FE6EE549  // -0.0979259
FE8BA2A6  // -0.0909093
FEBF07D1  // -0.0783617
FEF0C3DE  // -0.0662195
FF065F19  // -0.0609445
FEF0BFD9  // -0.0662233
FEB18368  // -0.0816618
FE806FC2  // -0.0936434
FEA7D06C  // -0.0840297
FF12966F  // -0.057962
FF4EDB6A  // -0.0432478
FF1E7D39  // -0.0550564
FEB30AF4  // -0.0812884
FE4FD694  // -0.105508
FE06419A  // -0.123473
FDD5718E  // -0.13539
FDBEDC1A  // -0.140903
FDB122B6  // -0.144254
FD94EC57  // -0.151142
FD7175C1  // -0.1598
FD619F28  // -0.163667
FD6C8573  // -0.161006
FD808C24  // -0.156116
FD8B2F4A  // -0.153519
FD89465A  // -0.153986
FD8644D5  // -0.15472
FD8BDE64  // -0.153352
FD96D79B  // -0.150673
FDA3C551  // -0.147517
FDAE9165  // -0.144881
FD99DB72  // -0.149937
FD516113  // -0.167632
FD23F793  // -0.178719
FDB32FFE  // -0.143753
FF4511D5  // -0.0456373
01345B75  // 0.0752825
02555ED9  // 0.145842
024C8287  // 0.143679
025C4020  // 0.147522
03E33293  // 0.242968
05DF0E00  // 0.366957
057A6A1D  // 0.342386
01B6E816  // 0.107155
FCD52CEA  // -0.197955
F95DA0DE  // -0.414642
F795A0C0  // -0.52597
F6930490  // -0.589107
F5F48928  // -0.627799
F5B4A6CB  // -0.643396
F59AF19C  // -0.649672
F5854523  // -0.654963
F5AF6A5B  // -0.644674
F6847E35  // -0.592653
F8386198  // -0.486235
FA5D2FA8  // -0.352249
FC12427C  // -0.245542
FCE7DD88  // -0.193392
FD394038  // -0.173523
FD788C71  // -0.158069
FDA880A6  // -0.146362
FDA9E30A  // -0.146024
FD88DE41  // -0.154085
FD617E2E  // -0.163698
FD48F0B7  // -0.169692
