008C5256  // 0.0342582
008A3A12  // 0.0337468
00ACFC66  // 0.0422329
00BFEC25  // 0.0468561
00A7B517  // 0.0409442
00945800  // 0.0362167
00A853CB  // 0.0410955
00C3AF44  // 0.0477746
00C81E8A  // 0.0488572
00C07451  // 0.0469859
00B8262E  // 0.0449583
00AE384F  // 0.0425342
00AAA056  // 0.0416568
00B30912  // 0.0437098
00BA87DC  // 0.0455397
00B4748A  // 0.0440565
00A5A94D  // 0.0404447
009B6BFC  // 0.0379448
009C9108  // 0.0382243
00A28FC2  // 0.0396879
00A0CC14  // 0.0392571
009433DB  // 0.0361823
008247B3  // 0.0318067
006EBD50  // 0.027036
00619DA7  // 0.023832
0065EBE3  // 0.0248832
0072D561  // 0.0280355
0073391F  // 0.0281306
006AB233  // 0.0260489
006C32D8  // 0.0264157
0071DE1C  // 0.0277997
006A61C4  // 0.0259721
005D4B1F  // 0.0227767
005C50A1  // 0.0225378
006A7078  // 0.0259862
008612D1  // 0.0327328
00A9C4AA  // 0.0414473
00C1AC06  // 0.0472832
00C37377  // 0.0477175
00C0B9CB  // 0.0470522
00C75FBF  // 0.0486753
00CEA2A5  // 0.0504481
00D1EBA6  // 0.0512501
00D7C96A  // 0.0526823
00DC148C  // 0.0537305
00D6E191  // 0.0524612
00CF9312  // 0.0506774
00CF3319  // 0.0505858
00D339CA  // 0.0515688
00DB72B1  // 0.0535762
00EA4ED5  // 0.0572041
00F4443F  // 0.0596354
00ECEB24  // 0.0578414
00DFD571  // 0.0546469
00DFEB39  // 0.0546677
00ECF0A5  // 0.0578467
0101DB78  // 0.0629534
011C82A8  // 0.0694605
011D39C2  // 0.0696352
00D6C797  // 0.0524364
00646237  // 0.0245077
00255EDD  // 0.00912367
002ABC4F  // 0.0104335
FFFCE1AF  // -0.000761334
FF495430  // -0.0445974
FE8A20D1  // -0.0912773
FE96CDB9  // -0.0881827
FFA010E7  // -0.0234214
00F3A644  // 0.0594847
01CE546B  // 0.112873
021BF4E8  // 0.131825
024285C3  // 0.141241
0279B2EF  // 0.154712
02A5D09C  // 0.165482
02B0CBF2  // 0.168163
02AB3E6C  // 0.166808
02963348  // 0.16167
025351A6  // 0.145342
01DD6281  // 0.116549
01664673  // 0.0874695
0125096C  // 0.0715422
0119DC31  // 0.0688135
011ABC96  // 0.0690275
01103BB1  // 0.0664632
01069FB7  // 0.0641172
01077CD9  // 0.064328
0108EFFC  // 0.064682
01053397  // 0.0637699
010146B2  // 0.0628116
00FF22A7  // 0.0622889
010212FE  // 0.0630064
0110C8E9  // 0.0665979
0122B895  // 0.0709768
0126F8E2  // 0.0720147
01236DE0  // 0.0711497
01296D39  // 0.0726139
01334E11  // 0.0750256
0135AADF  // 0.0756024
013DC55E  // 0.0775808
015506EB  // 0.0832586
0164D6D7  // 0.0871189
015CD276  // 0.0851616
0151BBE9  // 0.0824546
0158B247  // 0.0841544
01683C1E  // 0.087948
0170BD0C  // 0.090024
0170D54B  // 0.0900472
016A1288  // 0.0883966
01602624  // 0.0859739
015F53AF  // 0.0857732
0169CE45  // 0.0883315
016C931F  // 0.0890075
015B90C3  // 0.0848549
01446D05  // 0.0792055
01368C82  // 0.0758176
