FC8BB6E2  // -0.21589
FC92D2C1  // -0.214154
FC80483F  // -0.218681
FC91ACE3  // -0.214435
FC8D7A12  // -0.21546
FC477748  // -0.232552
FC283144  // -0.240187
FC65B070  // -0.225174
FC8D7294  // -0.215467
FC5C902C  // -0.227402
FC2B600C  // -0.23941
FC41E081  // -0.233917
FC74B333  // -0.221509
FC7AE4C0  // -0.219997
FC4E72B8  // -0.230848
FC38378C  // -0.236275
FC69F4A5  // -0.224132
FC9E1F53  // -0.211396
FC81BA50  // -0.218328
FC4526AB  // -0.233117
FC3CC06C  // -0.235168
FC504063  // -0.230407
FC401A22  // -0.23435
FC10D254  // -0.245893
FBEC66EF  // -0.254785
FBE57512  // -0.25648
FBE5AB2C  // -0.256429
FBD15B3C  // -0.261388
FBCE846A  // -0.262081
FC0EB515  // -0.246409
FC4586A8  // -0.233026
FC0AF139  // -0.247329
FBA86194  // -0.271391
FB9ECB88  // -0.273732
FBD0653E  // -0.261622
FC001C87  // -0.249973
FC50A837  // -0.230308
FC9EC310  // -0.21124
FC8121AB  // -0.218474
FC34790C  // -0.237189
FC4665AB  // -0.232813
FC8D4141  // -0.215514
FCA248AA  // -0.21038
FCACE15C  // -0.207793
FCC4C9D8  // -0.201956
FC9D423F  // -0.211607
FC5A5204  // -0.227949
FC7919D9  // -0.220434
FCCEAB74  // -0.199544
FCDA6E3C  // -0.196672
FCB574CE  // -0.205699
FCA8EA30  // -0.208761
FC994237  // -0.212583
FC82998B  // -0.218115
FC9830DA  // -0.212844
FCC2FD4B  // -0.202395
FCDB61CD  // -0.19644
FCDF7802  // -0.195442
FC67B2E8  // -0.224683
FB2FD10C  // -0.300826
FA445842  // -0.358314
FA9E46DB  // -0.336358
FAEED0BD  // -0.316695
F9851684  // -0.405008
F7C9709E  // -0.51332
F8B05B43  // -0.456944
FC312189  // -0.238005
FF47A9AB  // -0.0450042
0024FA1D  // 0.00902759
FFCB136C  // -0.0129209
FFAFB6A6  // -0.0196012
FFF25B77  // -0.00333074
0019B48D  // 0.0062757
000D0179  // 0.00317523
FFE6C4E2  // -0.00615989
FFA514E4  // -0.0221969
FF448077  // -0.0457759
FEBB87A0  // -0.0792164
FDF48614  // -0.127802
FD21B369  // -0.179272
FCBE768E  // -0.2035
FCE9547E  // -0.193035
FD28C40A  // -0.177547
FD0F4448  // -0.183773
FCB5081C  // -0.205803
FC7F3A22  // -0.218939
FCB66446  // -0.205471
FD35EF6C  // -0.174332
FD6EBF55  // -0.160462
FD0A4F2D  // -0.184983
FC77B9A2  // -0.22077
FC66597C  // -0.225012
FCDDF6DF  // -0.195809
FD50C6E0  // -0.167779
FD632128  // -0.163298
FD37CC85  // -0.173877
FD1D27BA  // -0.180382
FD3E1599  // -0.172343
FD8A44EF  // -0.153743
FDBF3047  // -0.140823
FDA6CA4C  // -0.14678
FD5F9D26  // -0.164157
FD3C5943  // -0.172766
FD5EB026  // -0.164383
FDA575A3  // -0.147105
FDE0672D  // -0.132714
FDDFB640  // -0.132883
FD9115F7  // -0.152079
FD3AB7EB  // -0.173164
FD3D1B99  // -0.172581
FD8AD53A  // -0.153605
FDC5CA8F  // -0.139211
FDC0B149  // -0.140456
FD85D653  // -0.154825
FD3555C3  // -0.174479
FD0AB0A3  // -0.18489
FD0AD826  // -0.184852
FCE4302C  // -0.19429
FCA67CB1  // -0.209354
FCD3CC8E  // -0.198291
FD36ADDE  // -0.174151
FCF7218D  // -0.189665
FC3A585D  // -0.235756
FC06A82E  // -0.248375
FC73E6CB  // -0.221704
FCB55761  // -0.205727
FC9FA614  // -0.211023
FC94856C  // -0.21374
FC96086C  // -0.213371

04B31574  // 0.293722
04AE53B9  // 0.29256
04ADF855  // 0.292473
04A09E76  // 0.289214
04AE3F98  // 0.292541
04E19C39  // 0.305081
04F95F65  // 0.310882
04DCC7BB  // 0.303901
04C98980  // 0.299203
04E3095E  // 0.305429
05001C20  // 0.312527
04F895E9  // 0.31069
04DBC086  // 0.30365
04D45981  // 0.301843
04EC4720  // 0.307685
04F7BEAD  // 0.310485
04D7EB1A  // 0.302714
04B60350  // 0.294437
04C1B1F3  // 0.297289
04E3F4BB  // 0.305653
04F26888  // 0.309182
04F501B9  // 0.309816
0508C100  // 0.314637
052FD625  // 0.324179
0555C464  // 0.333439
056B4365  // 0.338687
057B012C  // 0.34253
05912C49  // 0.347943
05900DA3  // 0.347669
055FD294  // 0.335894
05399AC9  // 0.326564
055B2D49  // 0.33476
059AA472  // 0.350254
05B2766A  // 0.35607
05A3F991  // 0.352533
0578AF5B  // 0.341964
0525183E  // 0.321556
04DA394A  // 0.303277
04D8D5AE  // 0.302938
04F78243  // 0.310427
04EAE06B  // 0.307343
04C38940  // 0.297738
04A7954C  // 0.290914
04887CAF  // 0.283322
0472F09E  // 0.278062
048FF982  // 0.28515
04B8C9A8  // 0.295114
04A748FE  // 0.290841
0475AF0C  // 0.278731
0462E7BD  // 0.274147
0468D0C9  // 0.27559
04723C56  // 0.27789
048832A5  // 0.283251
049A4C4E  // 0.28767
048DC1C0  // 0.284609
04711411  // 0.277607
04530476  // 0.270268
044CF189  // 0.268785
04C2FAB0  // 0.297602
05D1AE28  // 0.363691
06B28BD6  // 0.41859
06D1DDC7  // 0.426237
0707AC4E  // 0.439373
084677C4  // 0.517204
09991298  // 0.599871
0917B5F0  // 0.568289
068B8FF6  // 0.409073
03A7D5D1  // 0.228475
01D87395  // 0.115345
0110250A  // 0.0664416
00A5D980  // 0.0404906
00505183  // 0.019609
0019C652  // 0.00629265
0009250D  // 0.0022326
