FC89001E  // -0.216553
FC9B7D40  // -0.212039
FC77D4DD  // -0.220744
FC2C4DF8  // -0.239183
FC154F60  // -0.244797
FC320CC3  // -0.237781
FC4092D2  // -0.234235
FC53082C  // -0.229729
FC7A22FE  // -0.220181
FC565317  // -0.228925
FBD026B9  // -0.261682
FB930ECF  // -0.276597
FC0384AB  // -0.249141
FC80D85F  // -0.218544
FC6E189C  // -0.223121
FC255EB4  // -0.240876
FC31D1D0  // -0.237837
FC6246A7  // -0.226007
FC4886EE  // -0.232293
FC019385  // -0.249615
FBEC6533  // -0.254786
FC0537BF  // -0.248726
FBFECB52  // -0.250294
FBC90965  // -0.263419
FBA20BBE  // -0.272938
FBAA6F19  // -0.27089
FBB63366  // -0.268017
FBA159EA  // -0.273108
FB935704  // -0.276528
FBC2BEF7  // -0.264955
FC1661F3  // -0.244535
FC2560D5  // -0.240874
FBB0161E  // -0.26951
FB21D017  // -0.304245
FB3CB9CF  // -0.297674
FC047DB2  // -0.248904
FC94FE8D  // -0.213624
FC690009  // -0.224365
FBFFB4A6  // -0.250072
FBED345E  // -0.254589
FC2CEDBB  // -0.239031
FC873870  // -0.216987
FCCA1EFF  // -0.200654
FCBAAE55  // -0.204424
FC6CB7BF  // -0.223458
FC411B5B  // -0.234105
FC41FD74  // -0.233889
FC25A168  // -0.240813
FBF5A2C8  // -0.25253
FBFC2336  // -0.250943
FC3155D1  // -0.237955
FC4DD2C0  // -0.231
FC405A36  // -0.234289
FC3DB95D  // -0.234931
FC6FD344  // -0.222699
FCAFC0D1  // -0.207092
FCA86B18  // -0.208882
FC34B7D5  // -0.237129
FB5F7A32  // -0.28919
FA50C09A  // -0.355285
F9998F2C  // -0.40001
F9C13604  // -0.390329
FA0D1C16  // -0.371799
F939AFE0  // -0.423416
F802F32A  // -0.49928
F8CFFC8E  // -0.449222
FC0B88E3  // -0.247184
FF30EE23  // -0.0505541
00463AAD  // 0.0171458
FFF64FAC  // -0.00236543
FFA6E1A7  // -0.0217575
FFAA4BEF  // -0.0209237
FFD0319D  // -0.0116714
00060B8A  // 0.00147585
00132CCB  // 0.00468139
FFB3FF13  // -0.0185556
FEEE0A4C  // -0.0668847
FDECF489  // -0.12965
FCFCD39E  // -0.188275
FC92BDE8  // -0.214174
FCB451B8  // -0.205977
FCC4CB40  // -0.201955
FC8955AB  // -0.216471
FC890E89  // -0.216539
FCE0DF2C  // -0.1951
FCEBE180  // -0.192412
FC8A7140  // -0.216201
FC683DFA  // -0.22455
FCB676C8  // -0.205453
FCEDB2BC  // -0.191968
FCDC433B  // -0.196225
FCD05D97  // -0.199129
FCE2A0F8  // -0.194671
FCF055BF  // -0.191324
FCFD41F8  // -0.18817
FD17538C  // -0.181805
FD2BC879  // -0.176811
FD3002D0  // -0.175779
FD354C85  // -0.174488
FD4CC359  // -0.168759
FD6F8515  // -0.160273
FD7C0401  // -0.157223
FD6561F3  // -0.162748
FD5E9BFE  // -0.164402
FD8C23A5  // -0.153286
FDADC73C  // -0.145074
FD8441B4  // -0.155211
FD4C8B50  // -0.168812
FD578568  // -0.166133
FD79C656  // -0.15777
FD61EEDE  // -0.163591
FD25EE95  // -0.178239
FD097A43  // -0.185186
FD0ADE6F  // -0.184846
FD0017B2  // -0.187477
FCDD7E43  // -0.195925
FCAAE2DC  // -0.20828
FC773761  // -0.220894
FC66B40E  // -0.224926
FC84DA61  // -0.217565
FC97EE76  // -0.212907
FC6F8225  // -0.222776
FC38C0B6  // -0.236144
FC353091  // -0.237014
FC52EF23  // -0.229752
FC5B99D2  // -0.227637
FC5071A9  // -0.23036
FC50EE9A  // -0.230241
