EB96775C  // -1.27577
EB6F539E  // -1.28532
EB59882C  // -1.29064
EB26F2FB  // -1.30299
EAF12B67  // -1.31612
EAFD081B  // -1.31322
EB69E538  // -1.28665
EC140A0B  // -1.24511
EC9953F8  // -1.21257
EC9BC8F7  // -1.21197
EC36582A  // -1.23673
EBEA015C  // -1.25537
EBEAFEA5  // -1.25513
EBE5E01A  // -1.25638
EB8C2523  // -1.27828
EAEE6BC4  // -1.31679
EA57C16C  // -1.35358
EA1D447B  // -1.36785
EA4F4718  // -1.35565
EA81EF50  // -1.34328
EA5AF264  // -1.3528
EA2512A4  // -1.36595
EA2B99F4  // -1.36436
E9F567C5  // -1.37759
E8FD7406  // -1.43812
E7B760E4  // -1.51773
E715CF93  // -1.55718
E771D6D0  // -1.53471
E8591815  // -1.47825
E9017A33  // -1.43714
E8D08D6F  // -1.44908
E7ECC740  // -1.50469
E734FCDB  // -1.54956
E747F72C  // -1.54493
E7EA60CF  // -1.50528
E8A77EA7  // -1.45911
E96788F3  // -1.41222
EA133050  // -1.37032
EA62ED5A  // -1.35085
EA6656CA  // -1.35001
EA868AF5  // -1.34215
EAD13516  // -1.32392
EAFEB54C  // -1.31282
EB24B0CF  // -1.30354
EB8F5A3A  // -1.2775
EC16BA61  // -1.24445
EC5D6A07  // -1.22719
EC5E346A  // -1.227
EC362075  // -1.23679
EC043C3A  // -1.24897
EC3AACB6  // -1.23568
ED215258  // -1.17936
EE035E48  // -1.12418
EDED7CEE  // -1.12952
ED1A26DC  // -1.18112
EC84E94F  // -1.21755
EC2733E5  // -1.24043
EA91BBD4  // -1.33942
E6956EA4  // -1.58852
E11B171E  // -1.93089
DCDABF80  // -2.19659
DB77CE7F  // -2.28325
DB0D5BC4  // -2.30924
D8501F7D  // -2.48044
D3F0768A  // -2.75379
D3BA6572  // -2.76699
DC19052C  // -2.24389
E9EDF5E7  // -1.3794
F5A6DBF0  // -0.646763
FB6DD7DA  // -0.285683
FD4FED69  // -0.167986
FE5A8454  // -0.102901
FF4575CA  // -0.045542
FFC59B24  // -0.0142563
FFF442E7  // -0.00286588
FFC180C3  // -0.0152581
FE94008A  // -0.0888667
FBC06F41  // -0.265519
F727AEF8  // -0.552812
F1E5AF43  // -0.881425
EE0B2292  // -1.12228
ECAE442E  // -1.20745
