EAF1B6FF  // -1.31599
EB24BA58  // -1.30353
EB638AD6  // -1.2882
EB61127E  // -1.2888
EB0E10E0  // -1.30907
EACD1381  // -1.32493
EAED14B6  // -1.31712
EB348C83  // -1.29967
EB49F7A5  // -1.29444
EB2D04FD  // -1.30151
EAFB9896  // -1.31358
EAB8208B  // -1.33005
EA8A541A  // -1.34123
EAB024C1  // -1.332
EAFD58ED  // -1.31315
EAFB054F  // -1.31372
EA9CEE4A  // -1.33669
EA437EC4  // -1.35852
EA1BE722  // -1.36819
EA0B8626  // -1.37219
E9F8A27D  // -1.3768
E9B5E7CA  // -1.39309
E9190227  // -1.43139
E8654A2C  // -1.47527
E803DA6F  // -1.49906
E7D1A4D9  // -1.51132
E76510F2  // -1.53783
E6CBFD4F  // -1.5752
E66AB79B  // -1.59895
E67FC338  // -1.59381
E71303F2  // -1.55786
E7C6851A  // -1.51403
E7C6E24A  // -1.51394
E6C264AF  // -1.57754
E5B132CB  // -1.64424
E5C30C8E  // -1.63988
E6E5F1C9  // -1.56886
E8283B9C  // -1.49018
E9061A76  // -1.43601
E991E392  // -1.40188
E9DF3C8F  // -1.383
EA00260B  // -1.37496
EA3375A8  // -1.36244
EA9369CE  // -1.33901
EADE7B70  // -1.32068
EAD78094  // -1.32239
EA99B80E  // -1.33747
EA69BF10  // -1.34918
EA665235  // -1.35002
EA7705A2  // -1.34594
EA741126  // -1.34666
EA571B69  // -1.35373
EA328F0B  // -1.36266
EA10EC4D  // -1.37087
EA208D56  // -1.36705
EAB54B40  // -1.33074
EB790F37  // -1.28294
EAE2D9F5  // -1.31962
E77F4E62  // -1.53142
E20FAC00  // -1.87117
DDB36835  // -2.1437
DCDAFBA8  // -2.19654
DDB04014  // -2.14447
DB786374  // -2.28311
D5A73698  // -2.64668
D325272D  // -2.80343
DA6FA60F  // -2.34774
E883E95C  // -1.4678
F4873663  // -0.716989
FA6CC7D8  // -0.348442
FCCFBE9A  // -0.199281
FE75F70B  // -0.0961999
FF7B4A32  // -0.0323999
FFC21653  // -0.0151154
FFE3A166  // -0.00692616
FFC70144  // -0.0139148
FE49D31A  // -0.106976
FA68FE5C  // -0.349367
F49F14F0  // -0.711162
EF27F3BE  // -1.05275
EC15F851  // -1.24464
EB30BC08  // -1.3006
EACEE4CC  // -1.32449
EA3D9584  // -1.35996
E9FA1759  // -1.37644
EA433397  // -1.35859
EAC0BBD2  // -1.32795
EB1A72A8  // -1.30604
EB28EDD5  // -1.30251
EB0136E1  // -1.3122
EB0DA454  // -1.30917
EBA52225  // -1.27218
EC867A36  // -1.21717
ED1C9F2A  // -1.18051
ED350E17  // -1.17455
ED2D00B5  // -1.17651
ED748054  // -1.15906
EE16031F  // -1.11963
EECC1B87  // -1.07517
EF6DF7F6  // -1.03565
F00ED68D  // -0.996377
F0C03175  // -0.953078
F1828D46  // -0.905627
F266CE38  // -0.849901
F35ED590  // -0.789347
F4010A00  // -0.749746
F3E78BD0  // -0.75597
F3341ACE  // -0.799779
F2522980  // -0.854941
F163DB05  // -0.913121
F050D387  // -0.980267
EF2BC8CC  // -1.05181
EE21FF2F  // -1.1167
ED3787FA  // -1.17394
EC688C20  // -1.22448
EBDB7B8D  // -1.25892
EBA3EA35  // -1.27248
EB7CBDA8  // -1.28205
EB1045FE  // -1.30853
EA7650AB  // -1.34611
EA1C9246  // -1.36802
EA2AF0EB  // -1.36452
EA4B5B65  // -1.3566
EA22A2DF  // -1.36654
E9B6478C  // -1.393
E9420A14  // -1.42138
E8F84C5B  // -1.43938
E8FEDE2C  // -1.43778
E9516933  // -1.41762

022EBF14  // 0.136413
02299DDE  // 0.13516
02231011  // 0.13356
0222CAE5  // 0.133494
022B1FFF  // 0.135529
023268D7  // 0.137307
022F932A  // 0.136615
0227DC44  // 0.134732
02254290  // 0.134097
02285D0C  // 0.134854
022D7C3A  // 0.136105
02343B04  // 0.137752
02393C63  // 0.138974
0235E774  // 0.13816
022DB91E  // 0.136163
022D3B1B  // 0.136043
0236EAB9  // 0.138407
0240A398  // 0.140781
0244CD71  // 0.141797
02466E26  // 0.142195
0248819E  // 0.142702
024F1684  // 0.144309
025ED0C8  // 0.148148
0271CC2F  // 0.152783
027C933A  // 0.155414
02818075  // 0.156617
028C274A  // 0.159217
029C298C  // 0.163126
02A6A699  // 0.165686
02A4C76D  // 0.165229
0296130A  // 0.161639
02836FF3  // 0.157089
0281FD5E  // 0.156736
029BF2F0  // 0.163073
02B95CAD  // 0.170254
02B93BFD  // 0.170223
029B3CD1  // 0.1629
02790539  // 0.154546
0261C524  // 0.14887
0253571D  // 0.145347
024B0A84  // 0.143321
0247851D  // 0.142461
02429861  // 0.141259
0238D54C  // 0.138875
0230AA59  // 0.136881
02310468  // 0.136967
0237778A  // 0.138542
023CAEAA  // 0.139815
023D3319  // 0.139941
023B6730  // 0.139503
023B842B  // 0.13953
023E82E2  // 0.140262
02425BEA  // 0.141201
0245AD39  // 0.142011
024447B1  // 0.14167
0235E3D3  // 0.138157
0221D82A  // 0.133263
022F36CB  // 0.136527
0285D105  // 0.15767
031522A2  // 0.19266
038C5E15  // 0.221769
03A7B960  // 0.228448
0390BF0E  // 0.222838
03C3D024  // 0.235306
045ABFFC  // 0.272156
04A6E7C5  // 0.290748
03F19755  // 0.246482
027B8416  // 0.155155
0133698E  // 0.0750518
0092B039  // 0.0358126
00556BBB  // 0.0208547
002A439F  // 0.0103184
000D8938  // 0.00330469
000611D7  // 0.00148186
00038607  // 0.00086024
00063B98  // 0.00152168
002BFC45  // 0.0107386
00906362  // 0.035251
0128E158  // 0.0724805
01BC17EB  // 0.108421
0210B09E  // 0.129075
0228D09F  // 0.134965
02319137  // 0.137101
02409483  // 0.140767
02488E69  // 0.142714
02413DC9  // 0.140928
0233FD45  // 0.137693
022A8615  // 0.135382
0228AC9D  // 0.13493
022C9CA4  // 0.135892
022BE6AF  // 0.135718
021CE280  // 0.132052
02056038  // 0.126312
01F517DD  // 0.122337
01F23106  // 0.121629
01F35738  // 0.121909
01EC75C7  // 0.12023
01DBD8CC  // 0.116174
01C8B80E  // 0.111504
01B7DAAD  // 0.107386
01A7577F  // 0.103355
0194F88A  // 0.0988698
