FC4F8A6C  // -0.230581
FC4C4A88  // -0.231374
FC44A0CB  // -0.233245
FC3AB5A9  // -0.235667
FC3E8BFE  // -0.23473
FC55E71B  // -0.229028
FC69D46E  // -0.224163
FC5D8310  // -0.22717
FC397F83  // -0.235962
FC28AB32  // -0.240071
FC3D0FB5  // -0.235092
FC573397  // -0.228711
FC59E6C3  // -0.228051
FC4DA77B  // -0.231041
FC41714F  // -0.234023
FC37AEEC  // -0.236405
FC37B315  // -0.236401
FC43A845  // -0.233482
FC45ECDF  // -0.232928
FC2EA923  // -0.238608
FC0DE2C4  // -0.24661
FBF94D1F  // -0.251635
FBF5165D  // -0.252664
FBF958C2  // -0.251624
FBF25DF2  // -0.253328
FBCCF07B  // -0.262466
FB9A52E0  // -0.274823
FB8BE3D3  // -0.278347
FBB854EB  // -0.267497
FBFAC68F  // -0.251275
FC13C20C  // -0.245176
FBE5AD45  // -0.256427
FB997851  // -0.275032
FB811AD6  // -0.28098
FBC22586  // -0.265101
FC27B554  // -0.240306
FC5E5D8F  // -0.226962
FC526313  // -0.229886
FC39B4F1  // -0.235911
FC45904E  // -0.233017
FC6AD016  // -0.223923
FC844D0D  // -0.2177
FC87F36C  // -0.216809
FC7DBD50  // -0.219302
FC6717F7  // -0.224831
FC50B226  // -0.230299
FC55FABC  // -0.229009
FC76AB5A  // -0.221028
FC90A33A  // -0.214688
FC919E2E  // -0.214449
FC84A1AC  // -0.217619
FC722616  // -0.222132
FC60AFB1  // -0.226395
FC648A64  // -0.225454
FC833DD5  // -0.217959
FC9CE6F7  // -0.211694
FC8BA26D  // -0.21591
FC33F6FC  // -0.237313
FB76EEA2  // -0.283464
FA6DAB6A  // -0.348225
F9B46304  // -0.39346
F9D466C7  // -0.385644
FA32C530  // -0.362605
F990110A  // -0.402328
F82E225B  // -0.488737
F838C8DB  // -0.486137
FAE7E786  // -0.318383
FE6F35FC  // -0.0978489
003E9161  // 0.0152754
002D940D  // 0.0111275
FFD9B71E  // -0.00934685
FFFE8BF2  // -0.000354819
001E3479  // 0.00737426
FFF800D1  // -0.00195235
FFD2D58F  // -0.0110268
FFB62E58  // -0.0180222
FF4E4779  // -0.0433889
FE72CAC2  // -0.0969746
FD66C8AA  // -0.162406
FCA333C9  // -0.210156
FC69995B  // -0.224219
FC87AEC2  // -0.216874
FCA09B01  // -0.21079
FC98C321  // -0.212705
FC8D97AB  // -0.215432
FC8D89DA  // -0.215445
FC8ECE8C  // -0.215135
FC901E91  // -0.214815
FC99AE08  // -0.212481
FCAA2F8D  // -0.208451
FCB7D116  // -0.205123
FCBE8630  // -0.203485
FCC2506A  // -0.20256
FCC6E942  // -0.201438
FCD046B9  // -0.199151
FCE630AF  // -0.193801
FD064C73  // -0.185962
FD1A1A45  // -0.181127
FD14293F  // -0.182578
FD0E547E  // -0.184001
FD2983E1  // -0.177364
FD579690  // -0.166116
FD6D112D  // -0.160872
FD604ED1  // -0.163987
FD4CD8AB  // -0.168739
FD449C4C  // -0.170749
FD47C113  // -0.169982
FD566DA5  // -0.166399
FD65513E  // -0.162764
FD5BD60B  // -0.165079
FD36DA74  // -0.174108
FD0FC73F  // -0.183648
FCFA1C4E  // -0.188938
FCF3330B  // -0.190625
FCE99DF4  // -0.192965
FCC9AD3F  // -0.200763
FC990E04  // -0.212633
FC79CA8F  // -0.220266
FC766037  // -0.2211
FC6FCC82  // -0.222705
FC587C14  // -0.228397
FC48DD66  // -0.232211
FC47837C  // -0.232541
FC3E0BDE  // -0.234852
FC2E266C  // -0.238733
FC317A04  // -0.237921
FC43FFCA  // -0.233399
FC47964E  // -0.232523
FC38A98E  // -0.236166

04F296FD  // 0.309226
04F6EA49  // 0.310282
04FF7150  // 0.312364
0508803B  // 0.314575
050666EE  // 0.314063
04F52E03  // 0.309858
04E4DA2B  // 0.305872
04EA6F3A  // 0.307235
0502881F  // 0.313118
05120F31  // 0.316909
050A890B  // 0.315072
04FA8D94  // 0.31117
04F3B834  // 0.309502
04F7652D  // 0.310399
05011075  // 0.31276
050BA720  // 0.315345
050E35E5  // 0.315969
05083EF5  // 0.314513
0508E408  // 0.314671
051B0E3E  // 0.319105
05378AD2  // 0.32606
0550C61E  // 0.33222
055EDC22  // 0.335659
05642B63  // 0.336955
0570CA83  // 0.340037
0594289B  // 0.348672
05C28410  // 0.359989
05D86683  // 0.365332
05C07D8E  // 0.359495
058E656F  // 0.347265
057131D2  // 0.340135
058845F8  // 0.34577
05BF0A50  // 0.359141
05DA594A  // 0.365808
05B49B4B  // 0.356593
056608F8  // 0.337411
05270E6E  // 0.322035
0511EFD7  // 0.316879
050FEF8C  // 0.316391
05017F1C  // 0.312865
04E44F4B  // 0.30574
04C941B5  // 0.299135
04BAA926  // 0.295571
04BBCA27  // 0.295847
04CCDE0D  // 0.300016
04E042B8  // 0.304751
04E07A1A  // 0.304804
04CB8FEF  // 0.299698
04B4F8E4  // 0.294183
04AB0CA4  // 0.29176
04AEC72B  // 0.29267
04BDB708  // 0.296317
04CE4758  // 0.300361
04CE6CAA  // 0.300397
04B9A4B4  // 0.295323
04A4F898  // 0.290276
04AFF820  // 0.292961
04FF25C6  // 0.312292
05B67B44  // 0.357051
06BDEA18  // 0.421366
079642F2  // 0.474185
07D61018  // 0.489761
07E37645  // 0.493033
088E2184  // 0.5347
09A06332  // 0.601657
099EAAFE  // 0.601237
079910CC  // 0.47487
