FC70DD2C  // -0.222445
FC7CFAEB  // -0.219487
FC78AF8A  // -0.220536
FC6A1D7A  // -0.224093
FC5AB83C  // -0.227852
FC5449FD  // -0.229422
FC5D9A81  // -0.227148
FC6D8E2C  // -0.223253
FC6FAA2F  // -0.222738
FC5DF545  // -0.227061
FC489A87  // -0.232275
FC3F921D  // -0.23448
FC4522C8  // -0.233121
FC5484D9  // -0.229365
FC60CB6D  // -0.226368
FC56E1A5  // -0.228789
FC39A357  // -0.235928
FC28D869  // -0.240028
FC3308EE  // -0.23754
FC3D9E1F  // -0.234957
FC2F83E1  // -0.2384
FC0EBD75  // -0.246401
FBEA596C  // -0.255286
FBD00BA1  // -0.261708
FBD081F0  // -0.261595
FBE347B6  // -0.257012
FBDF5595  // -0.257975
FBB8CD33  // -0.267382
FB9F36F4  // -0.273629
FBB996B3  // -0.26719
FBF168E6  // -0.253562
FC19D44A  // -0.243694
FC1D275B  // -0.242882
FBFCD50A  // -0.250773
FBD5622D  // -0.260404
FBDA9ED9  // -0.259126
FC1FAAD9  // -0.242269
FC74132C  // -0.221661
FC9FC868  // -0.210991
FCA39954  // -0.210059
FC9DDB86  // -0.211461
FC9AA55B  // -0.212245
FC9FB0DF  // -0.211013
FCB86CAC  // -0.204974
FCD7518F  // -0.197432
FCD8D0BE  // -0.197067
FCBBA29C  // -0.204191
FCA7F208  // -0.208998
FCB0E600  // -0.206812
FCC02495  // -0.20309
FCC3A673  // -0.202234
FCBC6D23  // -0.203997
FCA6B59E  // -0.209299
FC88662B  // -0.216699
FC85170F  // -0.217507
FCB1F3D6  // -0.206555
FCE8230A  // -0.193326
FCD43FA0  // -0.198182
FC21D227  // -0.241743
FADA39AD  // -0.321722
F9C7400F  // -0.388855
F9C0F671  // -0.39039
FA32766F  // -0.36268
F992E1E7  // -0.40164
F81C1577  // -0.493144
F844B3AF  // -0.483227
FB3E90A4  // -0.297225
FEDD3BAE  // -0.070988
007F2006  // 0.0310364
00402663  // 0.0156616
FFD2D9AE  // -0.0110229
FFE2711C  // -0.00721635
000652C7  // 0.00154379
0008380C  // 0.00200658
0003215E  // 0.000764243
FFDBF23F  // -0.00880218
FF499A59  // -0.0445305
FE43672E  // -0.108544
FD37A079  // -0.173919
FCB41D29  // -0.206027
FCC75D4D  // -0.201327
FCF7F618  // -0.189463
FCEC11FA  // -0.192366
FCBF36C5  // -0.203317
FCABF090  // -0.208023
FCBE638A  // -0.203518
FCDD3A3C  // -0.195989
FCE66316  // -0.193753
FCD1AAF1  // -0.198812
FCC12E88  // -0.202836
FCD1ABE5  // -0.198811
FCF15CC0  // -0.191074
FD04C6D5  // -0.186334
FD0C09CF  // -0.184561
FD0F6F6E  // -0.183732
FD11BC66  // -0.18317
FD1C0330  // -0.180661
FD359112  // -0.174422
FD53A439  // -0.16708
FD63E16C  // -0.163115
FD60FE35  // -0.16382
FD588732  // -0.165887
FD5EC90E  // -0.164359
FD79897D  // -0.157828
FD989F4F  // -0.150239
FDA5C40E  // -0.14703
FD9864D2  // -0.150294
FD7F9AA7  // -0.156347
FD774754  // -0.158379
FD84146C  // -0.155254
FD8768D8  // -0.154441
FD6CE1C0  // -0.160918
FD461627  // -0.170389
FD22B51F  // -0.179026
FCFB6BDD  // -0.188618
FCD5C08A  // -0.197814
FCC43D35  // -0.20209
FCBB729B  // -0.204236
FCA04614  // -0.210871
FC7B7EB2  // -0.21985
FC6AE7C5  // -0.2239
FC6DBB8A  // -0.22321
FC6A2CBE  // -0.224078
FC561A2D  // -0.228979
FC3DB0CD  // -0.234939
FC2EEF91  // -0.238541
FC2E1185  // -0.238753
FC353B10  // -0.237004
FC384F43  // -0.236253

04C9EC9B  // 0.299298
04C1FED5  // 0.297362
04C2791F  // 0.297479
04CC6877  // 0.299904
04DA94D1  // 0.303365
04E36039  // 0.305512
04DFC951  // 0.304635
04D57433  // 0.302113
04D2D023  // 0.301468
04DE33DC  // 0.304249
04EFCA07  // 0.308542
04FC492A  // 0.311593
04FD62F1  // 0.311862
04F37EA8  // 0.309447
04E9B611  // 0.307058
04EFD533  // 0.308553
0504E947  // 0.313699
0514CDEE  // 0.317579
05152737  // 0.317664
05136A0F  // 0.31724
051F73BF  // 0.320179
053B7EBB  // 0.327025
0560E33D  // 0.336154
05814E1C  // 0.344069
058CB665  // 0.346854
0589020F  // 0.345949
0591BFF1  // 0.348083
05AF1D7B  // 0.355253
05C4A725  // 0.360511
05B797A3  // 0.357322
058ED55C  // 0.347371
0565880E  // 0.337288
05541952  // 0.333032
05636FF1  // 0.336777
057F3AFE  // 0.343562
057D976C  // 0.343162
054A8710  // 0.330695
05004E0E  // 0.312574
04C578CB  // 0.298211
04A5B36E  // 0.290454
049858D0  // 0.287194
0493A454  // 0.286045
048AF394  // 0.283924
04737340  // 0.278186
0457BB4C  // 0.271419
044FCF9C  // 0.269485
045E1ADE  // 0.272975
046C03EC  // 0.276371
046BBE27  // 0.276304
046492CE  // 0.274554
04600FD7  // 0.273453
04642E8D  // 0.274458
04778BF7  // 0.279186
04926B75  // 0.285747
0498D399  // 0.287311
047A2D54  // 0.279828
04504B8E  // 0.269603
0460DC8D  // 0.273648
04FDEB15  // 0.311992
062878AF  // 0.384881
07461D73  // 0.454618
07B55789  // 0.481773
07D0E487  // 0.488499
088A1A46  // 0.533716
09A8F3D1  // 0.603748
098BE61D  // 0.596655
074EF543  // 0.456777
0425CFD5  // 0.259231
01D781CD  // 0.115114
00D55925  // 0.052087
0079194B  // 0.0295651
00418F4D  // 0.0160058
001CFF86  // 0.00707962
0009EE9C  // 0.00242482
00049792  // 0.00112111
002CFE04  // 0.0109844
00B9D9DD  // 0.0453738
01B591DC  // 0.106829
02D1167B  // 0.176047
039AD8E6  // 0.225305
03EDF06F  // 0.245591
0405019E  // 0.251222
041F282D  // 0.257607
044377BE  // 0.266472
045AC416  // 0.27216
0457DF2C  // 0.271453
044554FD  // 0.266927
043BFBE8  // 0.264645
04454FC1  // 0.266922
044E26B5  // 0.26908
0443FFCC  // 0.266601
042CD974  // 0.26095
0416CA54  // 0.255564
0406AD11  // 0.25163
03FC882B  // 0.249153
03F53AE5  // 0.247371
03E7D746  // 0.244102
03CEA177  // 0.237947
03B024E8  // 0.230504
039983AA  // 0.224979
03916A88  // 0.223002
0390A289  // 0.222811
03882F38  // 0.220748
0370E555  // 0.215062
0353510D  // 0.207841
03404E66  // 0.2032
03424087  // 0.203675
0351342A  // 0.207325
03598923  // 0.209359
03561F99  // 0.208526
03587BD8  // 0.209102
