FC52B1C0  // -0.229811
FC6DBC07  // -0.223209
FC79EC94  // -0.220233
FC73AF4A  // -0.221757
FC6E5F07  // -0.223054
FC694152  // -0.224303
FC611126  // -0.226302
FC6794BF  // -0.224712
FC7E4F7D  // -0.219162
FC8607B1  // -0.217278
FC740D10  // -0.221667
FC6650A0  // -0.225021
FC6DFE12  // -0.223146
FC7B087F  // -0.219963
FC840B57  // -0.217763
FC8AE5C8  // -0.216089
FC7F3FCA  // -0.218933
FC573884  // -0.228706
FC347289  // -0.237195
FC35BFE3  // -0.236878
FC40D598  // -0.234171
FC306A3A  // -0.23818
FC0DDFE6  // -0.246613
FBEFC0A3  // -0.253967
FBD5F6A7  // -0.260263
FBC8DF57  // -0.263459
FBDD6B06  // -0.258443
FC0545D0  // -0.248713
FC163EB3  // -0.244569
FC05710F  // -0.248671
FBE9A024  // -0.255463
FBD23C14  // -0.261173
FBC8018D  // -0.26367
FBDB4642  // -0.258966
FC0A24C2  // -0.247524
FC36A84D  // -0.236656
FC53CAB1  // -0.229543
FC74B352  // -0.221509
FC980EB9  // -0.212877
FC9AE819  // -0.212181
FC7B36E8  // -0.219918
FC68EE3C  // -0.224382
FC79D431  // -0.220257
FC8E2C99  // -0.215289
FC921009  // -0.21434
FC93449B  // -0.214046
FC916818  // -0.2145
FC80AD10  // -0.218585
FC75AE6D  // -0.221269
FC8AB7B3  // -0.216133
FCA90F39  // -0.208726
FCA6C9B7  // -0.20928
FC867963  // -0.217169
FC6E6C96  // -0.223041
FC7761AE  // -0.220854
FC9A6B85  // -0.2123
FCABC05D  // -0.208069
FC57D106  // -0.22856
FB6627D6  // -0.28756
FA366D0B  // -0.361712
F9ACB854  // -0.395332
FA14CE97  // -0.36992
FA56C48B  // -0.353816
F94F9977  // -0.418067
F7F8740E  // -0.501842
F8AE9618  // -0.457376
FBDA5BC7  // -0.25919
FF0C57CF  // -0.0594866
003A5AC1  // 0.0142467
00090337  // 0.00220033
FFF44DB6  // -0.00285558
001F07CA  // 0.00757579
00102D16  // 0.00394925
FFF11017  // -0.00364676
FFF4EF5C  // -0.00270142
FFAE0466  // -0.0200153
FEC25D9C  // -0.0775474
FD91079F  // -0.152092
FCC0394A  // -0.20307
FC923006  // -0.21431
FCC3D06B  // -0.202194
FCE2273F  // -0.194787
FCC342A6  // -0.202329
FCA0A6B6  // -0.210779
FCADA44A  // -0.207607
FCD0D813  // -0.199013
FCDF2DC7  // -0.195513
FCD3B0F2  // -0.198318
FCBD3E05  // -0.203798
FCB2C719  // -0.206353
FCCD3F50  // -0.199891
FCFEB2DE  // -0.187818
FD170C4D  // -0.181873
FD0D469A  // -0.184259
FD089824  // -0.185402
FD190130  // -0.181395
FD2B8EC2  // -0.176866
FD3DA8E6  // -0.172446
FD593E3B  // -0.165712
FD7011E3  // -0.160139
FD706871  // -0.160057
FD66DB15  // -0.162389
FD6A3D5B  // -0.161563
FD7D98AD  // -0.156837
FD9275B8  // -0.151743
FD956C1A  // -0.15102
FD7DB92E  // -0.156806
FD5B3797  // -0.16523
FD454902  // -0.170585
FD3E539E  // -0.172284
FD39D003  // -0.173386
FD2CD831  // -0.176552
FD0BFDC6  // -0.184572
FCD84321  // -0.197202
FCAFCFBD  // -0.207077
FCA96FF5  // -0.208633
FCACB361  // -0.207837
FC993699  // -0.212594
FC7BA8D7  // -0.21981
FC72E3BB  // -0.221951
FC7DF1D3  // -0.219252
FC85ACBB  // -0.217365
FC7FF27D  // -0.218763
FC73536A  // -0.221844
FC65D804  // -0.225136
FC5869F3  // -0.228415
FC5215A0  // -0.22996
FC5E5480  // -0.22697
FC75ED18  // -0.221209

04E519C7  // 0.305933
04D65A8D  // 0.302332
04CB67FA  // 0.29966
04C9108D  // 0.299088
04CA51BC  // 0.299394
04D02145  // 0.300813
04D6CF6A  // 0.302444
04D1742D  // 0.301136
04C1785A  // 0.297234
04BA5872  // 0.295495
04C293EF  // 0.297504
04CAC73E  // 0.299506
04C8BDF5  // 0.299009
04C0DEE5  // 0.297088
04B68629  // 0.294562
04AE711F  // 0.292588
04B82F39  // 0.294967
04D89EBB  // 0.302886
04F8A8E1  // 0.310708
05049AD3  // 0.313624
0509402B  // 0.314758
051ADA4E  // 0.319056
0538BAAA  // 0.32635
055ADFAB  // 0.334686
057D051B  // 0.343022
059157EA  // 0.347984
0588A366  // 0.345859
056D552A  // 0.339193
055B27F7  // 0.334755
055EB451  // 0.335621
05719871  // 0.340233
05899AF9  // 0.346095
05986F89  // 0.349716
058D55F1  // 0.347006
05685FDB  // 0.337982
053BFC24  // 0.327145
05117EE7  // 0.316771
04E34502  // 0.305486
04B9404E  // 0.295227
04AA75EE  // 0.291616
04B6B936  // 0.29461
04C11586  // 0.29714
04BA1333  // 0.295428
04ADB5CC  // 0.29241
04A53EC0  // 0.290343
049EED66  // 0.288801
04A03B5E  // 0.289119
04ACF568  // 0.292226
04B453DD  // 0.294025
04A66EBA  // 0.290633
049147F0  // 0.285469
048EDE5E  // 0.28488
04A1E4B9  // 0.289525
04B56C99  // 0.294293
04B4744F  // 0.294056
049D4877  // 0.288399
04939D1B  // 0.286038
04E24987  // 0.305246
05BD66DE  // 0.358741
06DF5A48  // 0.429529
079B86FD  // 0.475471
07AF3D25  // 0.480283
07CDEE40  // 0.487776
08B3B8BC  // 0.543877
09B7D40B  // 0.60738
093E1D06  // 0.577664
06D425F1  // 0.426794
03E17158  // 0.24254
01E102D2  // 0.117434
00EB8A68  // 0.057505
006745CE  // 0.0252131
001C0695  // 0.00684221
000BC6BA  // 0.00287507
000BCC06  // 0.00288012
0010207C  // 0.00393723
0062991E  // 0.0240718
013AF3A8  // 0.0768925
0263BE06  // 0.149351
0367C826  // 0.212837
03F88B43  // 0.24818
04243200  // 0.258837
04329EEC  // 0.262359
044F7B2A  // 0.269405
0469D7A6  // 0.27584
0468D0E2  // 0.27559
0455AEA2  // 0.270918
044772E4  // 0.267444
04494A5D  // 0.267893
045808C4  // 0.271493
04606E6B  // 0.273543
044D384E  // 0.268853
04268DF6  // 0.259413
040ABC00  // 0.252621
0402668D  // 0.250586
03FBCBD5  // 0.248974
03ED7F3F  // 0.245483
03DB9C67  // 0.241116
03C43522  // 0.235402
03A56F1A  // 0.227889
038B2C9C  // 0.221478
038061C3  // 0.218843
037EC37C  // 0.218448
03787FE9  // 0.216919
03680156  // 0.212892
03547A79  // 0.208125
034D6FFD  // 0.206406
035C3A01  // 0.210016
03785B8E  // 0.216884
0392258B  // 0.22318
03A3AC84  // 0.227459
03B0D561  // 0.230672
03C2DE59  // 0.235075
03E5E7B7  // 0.243629
04195D06  // 0.256192
04477A0D  // 0.26745
045FFA06  // 0.273432
046F2BA8  // 0.277141
04870DB1  // 0.282972
04A2868D  // 0.289679
04B199C0  // 0.29336
04B29678  // 0.293601
04B0D356  // 0.29317
04B4C6F0  // 0.294135
04BED799  // 0.296592
04CD085B  // 0.300057
04DCBE6D  // 0.303893
04E5D616  // 0.306112
04DF4126  // 0.304505
04CE4F77  // 0.300369

F73D7DD2  // -0.547487
F74C8472  // -0.543819
F768F310  // -0.536878
F775E2D4  // -0.533719
F774F5FA  // -0.533945
F76DF422  // -0.535656
F7617324  // -0.538709
F75DE94B  // -0.539572
F7728F11  // -0.534532
F78C13B9  // -0.528302
F78BA476  // -0.528408
F778628B  // -0.533109
F77071B3  // -0.535048
F77B0132  // -0.53247
F78D0078  // -0.528076
F79F1922  // -0.523658
F7A05250  // -0.523359
F779895B  // -0.532828
F739128B  // -0.548566
F70DD852  // -0.55912
F703824C  // -0.561643
F6F4CFEE  // -0.565231
F6C97131  // -0.57582
F68D197B  // -0.590552
F64E2969  // -0.605918
F61AB930  // -0.618476
F60F01DC  // -0.621336
F6343DDF  // -0.612246
F6647ACB  // -0.600469
F6738BC5  // -0.596791
F65BE7A1  // -0.602562
F6315332  // -0.612958
F60AEB8C  // -0.622334
F6055A29  // -0.623693
F6330BB3  // -0.612538
F681F22B  // -0.593275
F6D247B9  // -0.573662
F72071BF  // -0.554579
F7713067  // -0.534866
F7A7E7F8  // -0.521507
F7A76857  // -0.521629
F78AAAC5  // -0.528646
F78463B3  // -0.530178
F799BA22  // -0.524969
F7AF4BF1  // -0.519703
F7BC283D  // -0.516563
F7C1219C  // -0.515349
F7B4320A  // -0.518507
F79DD92B  // -0.523963
F7A122F6  // -0.52316
F7C55FD7  // -0.514313
F7E0A550  // -0.507655
F7D0AB45  // -0.511555
F7A76536  // -0.521632
F791FD77  // -0.526858
F7A9C276  // -0.521055
F7D20E4A  // -0.511217
F7A36AE0  // -0.522603
F69A8670  // -0.587274
F4B58C95  // -0.705676
F2DF8579  // -0.820429
F22477B8  // -0.866097
F22EE181  // -0.863554
F16A4DBF  // -0.911547
EF7B1865  // -1.03245
EEA5C407  // -1.08453
F148CC58  // -0.919727
F690B09E  // -0.589675
FB5C8FC9  // -0.289902
FDEFAC18  // -0.128986
FF01B4FD  // -0.0620833
FF9F1C72  // -0.0236545
FFECD8EA  // -0.00467595
FFF0924E  // -0.00376672
FFE961F2  // -0.00552183
FFA9FCC1  // -0.0209992
FEA3709D  // -0.0850977
FCC0BB7D  // -0.202946
FAADA2F4  // -0.332608
F9371D33  // -0.424044
F89EA935  // -0.461264
F884EA2F  // -0.46755
F86A6096  // -0.474029
F833B860  // -0.487373
F8176077  // -0.494293
F82D9A6B  // -0.488866
F85291EA  // -0.479841
F85FE691  // -0.476587
F84E3472  // -0.480907
F833C0E8  // -0.487365
F839F78C  // -0.485848
F872546B  // -0.472087
F8B5D253  // -0.45561
F8D7015A  // -0.447508
F8DEC713  // -0.445611
F8EEC739  // -0.441705
F90CE3C3  // -0.434353
F93232C8  // -0.425245
F9630118  // -0.413329
F998DF85  // -0.400177
F9BBB8E7  // -0.391669
F9C40E5D  // -0.389635
F9C71AC0  // -0.388891
F9DA9FB2  // -0.384125
F9FDA30B  // -0.375577
FA191BEF  // -0.36887
FA12C2A6  // -0.37042
F9E86412  // -0.380764
F9B38FE2  // -0.393662
F98BC45D  // -0.403377
F9723ED7  // -0.409608
F9592D49  // -0.415728
F92BBA44  // -0.426824
F8DC4DD5  // -0.446215
F87F0AD9  // -0.468984
F83D48E1  // -0.485038
F81E7AB6  // -0.492559
F80058A0  // -0.499915
F7D0C525  // -0.511531
F7A6EC6E  // -0.521747
F7993415  // -0.525097
F79DD115  // -0.523971
F79E282D  // -0.523887
F7912275  // -0.527067
F77A4385  // -0.53265
F75E69FD  // -0.53945
F74661F1  // -0.545317
F7431B5C  // -0.546116
F75AE925  // -0.540305

0531F77C  // 0.324699
05524E85  // 0.332594
05439831  // 0.329003
0525411D  // 0.321595
051B29F8  // 0.319132
051ABB3F  // 0.319026
051C82FA  // 0.319461
052DF42C  // 0.323719
053D6C0E  // 0.327496
05298138  // 0.322633
050717AF  // 0.314232
050628E4  // 0.314004
051FC4CF  // 0.320256
052B3004  // 0.323044
05240C1B  // 0.321301
0517BAAA  // 0.318293
04FF275C  // 0.312293
04E7509D  // 0.306473
04FCF63C  // 0.311758
053BB297  // 0.327075
05613753  // 0.336234
05574E39  // 0.333815
055075BE  // 0.332144
056991F3  // 0.338274
058FF6EE  // 0.347648
05BF5AB2  // 0.359217
05F85FF9  // 0.373138
06131107  // 0.379655
05F1DC38  // 0.371548
05BBAE72  // 0.358321
05A51001  // 0.352798
05B25649  // 0.356039
05D47524  // 0.36437
06024D41  // 0.375562
061E7C28  // 0.382443
0607DBC9  // 0.376919
05D03564  // 0.363332
05A18405  // 0.351933
05742357  // 0.340854
052CAB94  // 0.323406
04EE828D  // 0.30823
04F1237E  // 0.308872
051A4152  // 0.31891
05255224  // 0.321612
050F7492  // 0.316273
04FF13C1  // 0.312275
04F3F9E9  // 0.309565
04E59BB0  // 0.306057
04EF125B  // 0.308367
05130F69  // 0.317153
051C497A  // 0.319406
04F29B60  // 0.30923
04C95162  // 0.29915
04D2D7E1  // 0.301475
05020F50  // 0.313003
052604B1  // 0.321782
051043BD  // 0.316471
04AE170B  // 0.292502
0448D9DE  // 0.267786
049D7019  // 0.288437
0621C91D  // 0.383248
07F75EE8  // 0.497893
08750ECC  // 0.528579
07900BAA  // 0.472667
07A4594C  // 0.477624
0A2A07E1  // 0.635261
0CAF5E69  // 0.792815
0B9A4BC1  // 0.72517
07353226  // 0.450487
0322FFDC  // 0.196045
015E8542  // 0.0855763
00CA34E8  // 0.0493669
003FCF7E  // 0.0155787
FFFAADD5  // -0.00129906
0008D5A8  // 0.00215688
FFD888C4  // -0.0096352
FF7D959C  // -0.0318397
FFCB6488  // -0.0128436
011AEA63  // 0.0690712
02D2EC8C  // 0.176495
04129FC8  // 0.254547
047A28AB  // 0.279824
046680AB  // 0.275025
046EA057  // 0.277008
04AEBC61  // 0.29266
04D5BFD0  // 0.302185
04BF84E4  // 0.296758
04961F0D  // 0.286651
04821E8D  // 0.281767
049236D0  // 0.285697
04BCFF9B  // 0.296142
04CF3CCA  // 0.300595
04A15ECF  // 0.289397
045F6C59  // 0.273297
04497855  // 0.267937
04522403  // 0.270054
044CB309  // 0.268725
043BD6ED  // 0.264609
042CA67F  // 0.260901
040D8575  // 0.253301
03DD2937  // 0.241494
03BDCECD  // 0.23384
03BF1BB5  // 0.234157
03C96E61  // 0.236678
03C16CC2  // 0.234723
03A0CA39  // 0.226755
037B0693  // 0.217536
03722A9B  // 0.215373
0390C12E  // 0.22284
03BB63AA  // 0.233249
03D75F28  // 0.240081
03E1D33C  // 0.242633
03E1B775  // 0.242607
03EC3C8F  // 0.245175
041FD638  // 0.257773
046FEF63  // 0.277328
04A33900  // 0.289849
04A92666  // 0.291296
04B2499B  // 0.293527
04DB6AD1  // 0.303569
0504E481  // 0.313694
050EB5E3  // 0.316091
05037E19  // 0.313353
04FCCD99  // 0.31172
05024521  // 0.313054
050F3350  // 0.316211
0524C5EA  // 0.321478
05417A4E  // 0.328486
054EAD3B  // 0.331708

134B46C5  // 1.20588
13143DFA  // 1.19244
12EDAF48  // 1.18303
12E384B4  // 1.18055
12E63138  // 1.1812
12FDEE8E  // 1.187
1317DEC3  // 1.19333
13000890  // 1.18751
12C24056  // 1.17242
12AAB3F2  // 1.16668
12CAE974  // 1.17454
12E6B0D1  // 1.18132
12DDBFD3  // 1.17914
12C14C0B  // 1.17219
1298E01F  // 1.16232
1278EED3  // 1.15452
12A1FF63  // 1.16455
1321B714  // 1.19573
139A1F63  // 1.22513
13C688B4  // 1.23597
13DDF8E8  // 1.24169
142721FB  // 1.25955
149A43A7  // 1.28766
151EAEF9  // 1.31999
