FFDDC99D  // -0.00835265
FFE9A03A  // -0.00546243
FFE89C76  // -0.00571016
FFF7AFA1  // -0.00202977
000B9206  // 0.00282481
FFF5D18A  // -0.00248571
00008889  // 0.00013021
FFFE6DD8  // -0.000383526
FFF1D19B  // -0.00346221
FFF157D0  // -0.00357836
FFF76E54  // -0.00209205
FFEDFC69  // -0.00439795
FFF5DCEE  // -0.00247485
FC718E64  // -0.222276
F2045567  // -0.873942
FB8435F6  // -0.280222
0302B6DC  // 0.188163
FFF1D958  // -0.00345483
FF875B60  // -0.0294539
FF29C9EF  // -0.0522977
FFDDF77D  // -0.0083089
FFFD6D6D  // -0.000628065
000A2C72  // 0.00248379
0006CE93  // 0.00166185
00009B47  // 0.000148084
FFFF1C94  // -0.000216886
FFE10695  // -0.00756208
FFD9A159  // -0.00936761
FFD0562D  // -0.0116366
FFDD519D  // -0.00846709

00DE783E  // 0.0543139
00B0C668  // 0.043158
009F9992  // 0.0389648
009F5009  // 0.0388947
00A272AD  // 0.0396601
00BD8442  // 0.0462687
00DB03E1  // 0.0534705
00D12078  // 0.0510564
00D13B7D  // 0.0510821
00D4E9D8  // 0.0519808
00C4631A  // 0.0479461
00C0F1B1  // 0.0471055
00C3309A  // 0.0476538
09D22959  // 0.613809
1B3F270D  // 1.70292
FDF34F6D  // -0.128098
E96F130C  // -1.41038
0232402D  // 0.137268
023D8090  // 0.140015
01987A00  // 0.0997257
00EB487B  // 0.0574422
00EA5A8D  // 0.0572153
01035130  // 0.0633098
012329FE  // 0.071085
01516821  // 0.0823747
0152D0BC  // 0.0827186
01537A70  // 0.0828804
012332A0  // 0.0710932
00EA0D7B  // 0.0571418
00C40B6A  // 0.0478624

