FE242CB4  // -0.116168
FE804166  // -0.0936876
FEAD3C91  // -0.0827059
FEDB1701  // -0.0715113
FEE2B953  // -0.0696475
FE9CA8DD  // -0.086753
FE791761  // -0.0954367
FE65600E  // -0.10025
FE53D62A  // -0.104532
FE5C91FA  // -0.1024
FE734CE3  // -0.0968505
FE71484C  // -0.0973432
FE87AB85  // -0.0918774
FEC9B5A8  // -0.0757545
FF7F6A0C  // -0.031393
00ECAF0B  // 0.0577841
005F2858  // 0.0232318
FAAE3FB1  // -0.332459
FA8976AE  // -0.34144
FC2B044D  // -0.239498
FE182831  // -0.119102
FE4B0221  // -0.106687
FE2BD75D  // -0.114297
FDE11F91  // -0.132538
FD912A5F  // -0.152059
FD5F3759  // -0.164254
FD39AC77  // -0.17342
FD85CB05  // -0.154836
FDF6B024  // -0.127273
FE5E2E8D  // -0.102006

FF24DE4D  // -0.0534989
FF4A0925  // -0.0444249
FF5E57F3  // -0.0394669
FF45E370  // -0.0454374
FF3814A2  // -0.0488084
FF0CEE5F  // -0.059343
FEF76839  // -0.0645979
FF062912  // -0.060996
FF0F38DE  // -0.0587837
FF0DE2AA  // -0.05911
FF1E490F  // -0.0551061
FF27FB56  // -0.0527388
FF1BEEB1  // -0.0556806
001C2A86  // 0.00687649
019661C3  // 0.0992143
FED8FCA8  // -0.0720247
FC341D14  // -0.237277
FC94209C  // -0.213836
FE5A8F33  // -0.102891
FF3AF883  // -0.0481028
FF0A672E  // -0.0599602
FEDDA6D4  // -0.0708858
FEB218C0  // -0.0815194
FE824260  // -0.0931984
FE5A53A1  // -0.102948
FE61AE31  // -0.101152
FE937C8F  // -0.0889925
FEE0E3C0  // -0.0700953
FF29C4E7  // -0.0523025
FF3D8301  // -0.0474825

