E1182F1A  // -1.9316
E01856AB  // -1.99406
DF41ACB8  // -2.04647
E0592F36  // -1.97823
E1DAA82B  // -1.88412
E29CA6E2  // -1.83675
E2D93D5E  // -1.82196
E32BC7F5  // -1.80181
E2BA09B1  // -1.82958
E251366B  // -1.85517
E2383880  // -1.86127
E184662A  // -1.90518
E1641B34  // -1.91306
D41245A2  // -2.74554
C18E36FC  // -3.90278
DFDBC693  // -2.00884
0A463FD1  // 0.642151
F72E7BAA  // -0.551152
E2C97F0A  // -1.82581
E2B1F67B  // -1.83155
E35EE3F3  // -1.78933
E4B3F9F6  // -1.70606
E6D95DF5  // -1.57193
E8C8194E  // -1.45115
EA0CEA5F  // -1.37185
EA0D0B30  // -1.37182
E6C3B102  // -1.57722
E322993E  // -1.80405
E1770829  // -1.90844
E0E9BF4D  // -1.94293

0FBBD5CC  // 0.983358
0D4ECDA9  // 0.831739
0D5B35B3  // 0.834768
07CAF3CB  // 0.487049
04E7E205  // 0.306612
06EAC2BA  // 0.432315
06359D7A  // 0.38809
071F057A  // 0.445074
09F60491  // 0.622563
0A112E41  // 0.629195
0929047F  // 0.572514
0B56694C  // 0.708597
09F4CA24  // 0.622263
26A1F1B0  // 2.41454
47C43366  // 4.4854
DAD60945  // -2.32275
9025FF1A  // -6.99072
FDB41038  // -0.143539
349DFD23  // 3.28857
22A145D0  // 2.16437
0AF625E5  // 0.685095
05288A4C  // 0.322398
01A382D0  // 0.10242
0150BC78  // 0.082211
00E4B1C7  // 0.0558336
04DEC0B2  // 0.304383
0EA36933  // 0.914895
12924A74  // 1.16072
105886D0  // 1.02161
0D872E4E  // 0.845503

