FE88  // -0.0917969
FE51  // -0.105225
FDE5  // -0.131592
FD72  // -0.159668
FD3A  // -0.17334
FDA0  // -0.148438
FD76  // -0.158691
FDC9  // -0.138428
FC2C  // -0.239258
FDC7  // -0.138916
F888  // -0.466797
F83F  // -0.484619
F960  // -0.414062
FB50  // -0.292969
FCC2  // -0.202637
FD13  // -0.182861
FCD1  // -0.198975
FC96  // -0.213379
FC2A  // -0.239746
FC15  // -0.244873
FBFC  // -0.250977
FC1F  // -0.242432
FCD9  // -0.197021
FD55  // -0.166748
FDBB  // -0.141846
FDE6  // -0.131348
FE07  // -0.123291
FDE6  // -0.131348
FDB5  // -0.143311
FDDC  // -0.133789

06E9  // 0.431885
02BD  // 0.171143
064E  // 0.394043
0BF5  // 0.747314
08F0  // 0.558594
0B4F  // 0.706787
07D1  // 0.488525
16C3  // 1.42261
06A6  // 0.415527
E490  // -1.71484
044C  // 0.268555
291D  // 2.56958
2967  // 2.58765
120F  // 1.12866
0A74  // 0.65332
0AB0  // 0.667969
06C4  // 0.422852
0B83  // 0.719482
0B67  // 0.712646
0FBD  // 0.983643
10A2  // 1.03955
0F15  // 0.942627
0E5A  // 0.896973
08CA  // 0.549316
06BF  // 0.421631
083C  // 0.514648
06F3  // 0.434326
0684  // 0.407227
0842  // 0.516113
0A87  // 0.657959

