FEBA  // -0.0795898
FEC5  // -0.0769043
FE3C  // -0.110352
FDC5  // -0.139404
FDC0  // -0.140625
FD74  // -0.15918
FD6C  // -0.161133
FDAD  // -0.145264
FC24  // -0.241211
FDBD  // -0.141357
F8AC  // -0.458008
F80F  // -0.496338
F98B  // -0.403564
FB4C  // -0.293945
FCB6  // -0.205566
FD12  // -0.183105
FC77  // -0.220947
FC45  // -0.233154
FC20  // -0.242188
FBA6  // -0.271973
FBC7  // -0.263916
FC26  // -0.240723
FC9A  // -0.212402
FD50  // -0.167969
FD58  // -0.166016
FD9C  // -0.149414
FD8C  // -0.15332
FD88  // -0.154297
FD91  // -0.1521
FD6D  // -0.160889

02E6  // 0.181152
03AD  // 0.229736
03D7  // 0.23999
0676  // 0.403809
097C  // 0.592773
07D2  // 0.48877
08B8  // 0.544922
1495  // 1.28638
080A  // 0.502441
E2E2  // -1.81982
0599  // 0.349854
231A  // 2.19385
2A86  // 2.65771
1046  // 1.01709
089F  // 0.538818
0C34  // 0.762695
062B  // 0.385498
0BEC  // 0.745117
10B2  // 1.04346
0D88  // 0.845703
0F6F  // 0.9646
12F3  // 1.18433
0D03  // 0.813232
0BBC  // 0.733398
05D6  // 0.364746
0831  // 0.511963
0A43  // 0.641357
0729  // 0.44751
0C46  // 0.76709
0965  // 0.587158

