FFF3A3C1  // -0.00301766
00033A6A  // 0.00078813
FFE8BCF9  // -0.00567916
FFE7F96A  // -0.00586566
FFF420E6  // -0.00289831
FFEB8395  // -0.00500147
FFF33C45  // -0.00311635
FFF0202E  // -0.00387556
0012E40C  // 0.00461201
000190C9  // 0.000382219
000073B2  // 0.000110336
FFFB7F9D  // -0.001099
00007C04  // 0.000118271
FCEA89B6  // -0.19274
F60EBBD6  // -0.621403
FDDFCD6F  // -0.132861
017168F6  // 0.090188
000B6D94  // 0.00279005
FFAE16E2  // -0.0199977
FF4237F1  // -0.0463334
FFDC69C2  // -0.0086882
FFF89408  // -0.00181195
00009DDB  // 0.000150543
0000C49C  // 0.000187501
00091BA4  // 0.00222363
FFF9D713  // -0.00150387
FFF3D270  // -0.00297314
FFE1C64B  // -0.00737925
FFD343B1  // -0.0109218
FFDB2FF2  // -0.00898748

00EBC41B  // 0.0575601
00E40777  // 0.0556712
00E39AE8  // 0.0555677
00D8B8B2  // 0.0529105
00B72060  // 0.0447086
00B2460C  // 0.0435238
008AB273  // 0.0338616
00B43A1C  // 0.0440007
00A8259D  // 0.0410515
00D5FFA4  // 0.0522458
00DF74BA  // 0.0545547
0105E321  // 0.0639373
00F63164  // 0.0601057
076A7715  // 0.463492
12DC36CB  // 1.17876
FE343ACB  // -0.112249
F15D2098  // -0.914764
0273A421  // 0.153233
0212B0D6  // 0.129563
01B6FD67  // 0.107175
00F6D607  // 0.0602627
00E7C62E  // 0.0565855
00F6A4A2  // 0.0602156
011EAD96  // 0.0699898
0133D0F9  // 0.0751505
0150E868  // 0.0822529
015424FF  // 0.0830431
013916A3  // 0.0764376
011292CC  // 0.0670345
00E322B1  // 0.055453

