FFFA7AC9  // -0.00134775
FFF8DD4A  // -0.00174209
FFF227FB  // -0.00337984
FFF941D3  // -0.00164621
FFEEF9D4  // -0.00415628
FFE4E694  // -0.00661604
FFF05F61  // -0.00381529
00066BEB  // 0.00156776
0002E13F  // 0.000703093
000E87B3  // 0.00354738
000035F3  // 5.145e-05
FFF42599  // -0.00289383
FFF948AF  // -0.00163967
FD0175E9  // -0.187143
F6DEA8E0  // -0.57064
FCC7C420  // -0.201229
02096C30  // 0.1273
000BB916  // 0.00286206
FFAFD23E  // -0.0195749
FF40620A  // -0.0467815
FFE5F3C6  // -0.00635932
0005C0FC  // 0.00140475
000B0E7F  // 0.00269937
0003FE01  // 0.000974659
00137FF1  // 0.00476069
000AA8EF  // 0.00260251
FFDB0C6C  // -0.00902136
FFC8AFC2  // -0.0135043
FFDB0C6A  // -0.00902136
FFE8D93E  // -0.0056522

00A2373C  // 0.0396035
00997EA4  // 0.0374743
009AAFD8  // 0.0377654
00906980  // 0.0352569
00773C4D  // 0.0291102
0061B5A4  // 0.0238549
0056CF9C  // 0.0211941
004D0F16  // 0.0188132
005F2032  // 0.0232241
00829EF4  // 0.0318899
008DC402  // 0.0346108
00918829  // 0.0355302
009985DC  // 0.0374812
06C325E4  // 0.422644
1242479C  // 1.14118
FE8214EE  // -0.0932418
F09011B7  // -0.964827
01CF42B2  // 0.113101
01AE527A  // 0.105059
014FF39D  // 0.0820194
00A206A4  // 0.0395571
00A9B202  // 0.0414295
00BA8504  // 0.045537
00EB7AE3  // 0.0574902
011C1299  // 0.0693537
0130B4EA  // 0.0743913
012A6F2A  // 0.0728599
00EE52F0  // 0.0581846
00AF1CB6  // 0.042752
00953F47  // 0.0364373

