FFF61500  // -0.00242138
FFFBDDFE  // -0.00100899
FFF91B8E  // -0.00168271
FFF2A20A  // -0.00326344
FFF2D941  // -0.00321078
FFECC148  // -0.00469849
FFEB34F1  // -0.00507646
00086668  // 0.00205079
001A172B  // 0.00636975
0003E8BC  // 0.000954375
FFFC9E02  // -0.000825875
FFFBC662  // -0.00103151
FFF59907  // -0.00253961
FCAD3092  // -0.207717
F5876C11  // -0.654438
FC5B7E51  // -0.227663
029011F9  // 0.160173
FFFD4404  // -0.000667557
FFA04BBF  // -0.0233653
FF41BFD5  // -0.0464479
FFDF9CF2  // -0.00790697
FFFA2F1E  // -0.00141991
00033FDF  // 0.000793334
0006CACA  // 0.00165824
00001832  // 2.30744e-05
FFFBECE3  // -0.00099479
FFEF81D2  // -0.00402658
FFDDCB72  // -0.0083509
FFDCF011  // -0.00856012
FFE061D6  // -0.0077192

00929A0E  // 0.0357914
0095BB36  // 0.0365555
008D0265  // 0.0344261
00899544  // 0.0335896
0078B75A  // 0.0294717
005E29C3  // 0.022989
004C5442  // 0.018635
006D529E  // 0.0266901
006C96C9  // 0.026511
0098490E  // 0.037179
00AD8E06  // 0.0423718
00A473BC  // 0.0401494
00B6098F  // 0.0444427
0857D97C  // 0.521448
14883B71  // 1.28326
FDA2D2C8  // -0.147748
EEFA148C  // -1.06395
01DC2A3E  // 0.116251
01F6D6E7  // 0.122764
0187C1C2  // 0.0956438
00C943FC  // 0.0491371
00C4DCAD  // 0.048062
00DCBB01  // 0.0538893
00F406FA  // 0.059577
01130703  // 0.0671454
012A98B4  // 0.0728995
011A1656  // 0.068869
0107164E  // 0.0642303
00D4AD1D  // 0.0519229
00A82100  // 0.0410471

