E8DE876F  // -1.44567
EC64389A  // -1.22553
ECFC9081  // -1.18834
EA795C10  // -1.34537
EA57556F  // -1.35368
E834CECA  // -1.48711
E934F24F  // -1.42457
E974F343  // -1.40895
EBEF1552  // -1.25413
ECD71FA0  // -1.19748
ED039886  // -1.18662
ED6308A6  // -1.16332
E9FE93BA  // -1.37535
EBC6A1E8  // -1.26401
DFD43D2D  // -2.01068
D8B7A1A0  // -2.45517
FED881F8  // -0.0721417
0C8B192B  // 0.78396
F611DD65  // -0.620638
E6807117  // -1.59364
ECEC38E9  // -1.19233
ECEDE0B5  // -1.19192
EC8D45EA  // -1.21551
F00C237F  // -0.997036
F1ED6A09  // -0.879538
F18FF0B3  // -0.902358
F054BB65  // -0.979313
EECD11A0  // -1.07493
EC91C9ED  // -1.21441
EA168107  // -1.36951

419D1141  // 4.10085
38972CA5  // 3.53691
3A3BD40F  // 3.63961
3DBCC706  // 3.85859
4527496D  // 4.32209
4C4FF513  // 4.76952
3CD8A002  // 3.80289
46D5910C  // 4.42714
2FF05FEC  // 2.99619
2F298D6B  // 2.94764
3A35041A  // 3.63794
380AE69E  // 3.50266
411D4FCF  // 4.06966
466D3C04  // 4.40167
7FFFFFFF  // 8
7FFFFFFF  // 8
EB49C18A  // -1.29449
C8E228BC  // -3.44479
3DC9CA2A  // 3.86177
6A567023  // 6.6461
3DDBC6C7  // 3.86616
35BADB4D  // 3.35812
35CE39FF  // 3.36285
2831FAF0  // 2.5122
277C8C47  // 2.46791
273FCB26  // 2.45307
2B9084CB  // 2.72278
3362F9EA  // 3.21166
43922C61  // 4.22319
442925BE  // 4.26005

