DF6B9CC4  // -2.03623
E0364333  // -1.98675
E08BDF38  // -1.96585
E03DAFB0  // -1.98494
DD5C655F  // -2.16494
DB566E1D  // -2.2914
DBC9BF15  // -2.26325
DC4F0D82  // -2.2307
E1028371  // -1.93689
E1E41AE5  // -1.88181
E273559D  // -1.84684
E322977B  // -1.80405
E2BA719C  // -1.82948
D7FD31A8  // -2.50069
C38E6992  // -3.77773
E13FD508  // -1.92192
07FB1320  // 0.498798
FAFCD765  // -0.313271
E7C43F7B  // -1.51459
E2BE748B  // -1.8285
E3D24FC5  // -1.76115
E497EB42  // -1.71291
E785B96E  // -1.52985
E9441DD6  // -1.42087
E9FD6077  // -1.37564
EA85E110  // -1.34231
E9789420  // -1.40806
E6DAC38C  // -1.57159
E39C0D64  // -1.7744
E13E4965  // -1.92229

0C15AB03  // 0.75529
09328C2E  // 0.574841
084A4E64  // 0.518141
09F4B9A3  // 0.622247
0FEC303D  // 0.995163
118EBA16  // 1.09735
0DF59E2C  // 0.872465
07517AEC  // 0.457393
00AC653D  // 0.0420887
02F8569C  // 0.185629
03CB214D  // 0.237092
083FCE34  // 0.515578
079BE0B8  // 0.475556
1F7364AD  // 1.96567
47B18326  // 4.48084
E183B3A4  // -1.90535
9313A076  // -6.80771
F5C533A9  // -0.639355
2CE575C5  // 2.80602
2B55437E  // 2.70832
0BC068D4  // 0.734475
05900DB4  // 0.347669
05024BBE  // 0.313061
FE4AD1E7  // -0.106733
0114F2BE  // 0.0676143
06DCF49F  // 0.428944
07722DC8  // 0.465376
0CA62A56  // 0.790568
1286C1A5  // 1.1579
0F7816C3  // 0.966819

