EADEBBC0  // -1.32062
EA57CD26  // -1.35356
E6960525  // -1.58837
EE3609A2  // -1.11181
E93E2ACE  // -1.42232
E7403C6D  // -1.54682
E7664875  // -1.53753
E8C140F3  // -1.45282
E7201023  // -1.55467
ECAFBC6E  // -1.2071
EEBA64D8  // -1.07949
E8547CFB  // -1.47937
EB2D5EB0  // -1.30142
E8DA8A64  // -1.44665
D4722C43  // -2.72213
DA1A51CC  // -2.36857
FEEC1997  // -0.0673584
0DBEEE93  // 0.859114
F82DF6F8  // -0.488778
E01C9A35  // -1.99302
EB215369  // -1.30436
ED076A6E  // -1.18569
F08C8A5C  // -0.965688
F09E3113  // -0.961379
F205E23D  // -0.873564
F2A0B3FD  // -0.835766
F1998DA1  // -0.900011
EEC006B9  // -1.07812
EBF22CD8  // -1.25338
E9FA4337  // -1.3764

41A39FE6  // 4.10245
423B6D6F  // 4.13951
47F98E1A  // 4.49843
33B1DAD4  // 3.23092
48C09911  // 4.54702
4E002ED2  // 4.87504
4A1001AE  // 4.62891
4C2CDD96  // 4.76095
40E92408  // 4.05692
323E80BF  // 3.14026
33901234  // 3.22267
497CCA49  // 4.59297
37115919  // 3.44174
5406A58C  // 5.25162
7FFFFFFF  // 8
7FFFFFFF  // 8
E7AF6CD6  // -1.51967
CD468BFF  // -3.17028
434D1E3B  // 4.20633
74B85468  // 7.295
3E250E84  // 3.88405
34D97E75  // 3.3031
2925B7AA  // 2.57171
27148450  // 2.44251
238826C4  // 2.22074
254548E0  // 2.32942
2D86B040  // 2.84538
3A864923  // 3.65778
4410E60F  // 4.25413
43E6AFD5  // 4.24382

