ECAA7E76  // -1.20838
EE36F9A5  // -1.11158
EC9DD4C8  // -1.21147
EB0B1676  // -1.30979
EBB689BB  // -1.26794
E9AF272B  // -1.39474
E86DFC6A  // -1.47315
EA53E270  // -1.35452
EC24ACEA  // -1.24105
EE49406F  // -1.10712
EE23EA68  // -1.11623
EF55C676  // -1.04156
EE8DDC44  // -1.09037
E71DFDE1  // -1.55518
D1BA07CF  // -2.89208
D963F932  // -2.41309
FE39AE0B  // -0.110918
10D8A5A4  // 1.05289
F9BF57B7  // -0.390785
E1668E34  // -1.91246
EC17D615  // -1.24418
ECCDD903  // -1.19974
EE41C469  // -1.10894
F0B0104C  // -0.957016
F1A3D0A8  // -0.897506
F24B26F6  // -0.856652
F2C96977  // -0.825827
EF8DCBF9  // -1.02788
EBF16373  // -1.25357
EA9A7403  // -1.33729

37CE86DA  // 3.48792
3037B056  // 3.0136
3BA1FB81  // 3.72705
410B1738  // 4.06521
3CBC0F79  // 3.79591
495406AD  // 4.58301
42BFF119  // 4.17186
409226F2  // 4.03568
310BCB00  // 3.06538
30631A93  // 3.0242
2FEC11E9  // 2.99513
2EFF88A2  // 2.93739
309045DB  // 3.03522
677C9F18  // 6.46793
7FFFFFFF  // 8
7FFFFFFF  // 8
E9CD1D7A  // -1.38742
BF740C12  // -4.03417
3713FE56  // 3.44238
7BB4DC5A  // 7.73166
3FB50482  // 3.98169
34E36F3E  // 3.30553
2F78CF07  // 2.96699
281996B2  // 2.50625
22D2B83D  // 2.17645
24A4C215  // 2.29022
2737AC12  // 2.45109
364A8898  // 3.3932
426EFAC3  // 4.15209
46495070  // 4.3929

