E1F2E5C3  // -1.8782
E19CE6DE  // -1.89919
E1468EC2  // -1.92027
E003C29F  // -1.99908
DDB1865B  // -2.14416
DB92E41D  // -2.27664
DBC88B83  // -2.26354
DB476DCA  // -2.29506
E0AE1481  // -1.9575
E1B0BD15  // -1.89435
E1808387  // -1.90612
E0E3AC0B  // -1.94442
E09B5008  // -1.96208
D1E81FCF  // -2.88083
C3590759  // -3.79076
DEAD3FE1  // -2.0827
08B787DD  // 0.544807
FA59BFBC  // -0.353089
E2247F99  // -1.86609
DF83427A  // -2.03045
E1DC6862  // -1.88369
E38EFC8A  // -1.77759
E643F0A3  // -1.60841
E8C3D8F3  // -1.45219
ED964BA4  // -1.15081
ECF4DFF7  // -1.19022
E568E16E  // -1.66189
E21E4636  // -1.86761
E0F261B1  // -1.94082
DFE74704  // -2.00604

09033E69  // 0.563292
099ADC5B  // 0.600308
0B4C1A82  // 0.70608
0C11CBDF  // 0.754345
0FE462E1  // 0.993258
11FF6523  // 1.12485
0E720B41  // 0.902843
097857D7  // 0.591881
017E0CD9  // 0.093274
00A94DF2  // 0.0413341
077AC5C4  // 0.467474
0AC16807  // 0.672218
0A8E2943  // 0.659707
270F561C  // 2.44124
43B782DA  // 4.2323
DC4432E6  // -2.23335
9291684B  // -6.8395
F4D60FBA  // -0.697739
363F5427  // 3.39046
2D681B7A  // 2.83792
0A3D7D67  // 0.640012
02B12BD6  // 0.168255
011BB40C  // 0.0692635
FF00F00D  // -0.0622711
F7FF98F2  // -0.500098
0221EC16  // 0.133282
1682C1F8  // 1.40692
16D875E7  // 1.42785
0FFA8471  // 0.998661
0EAEEBDC  // 0.917705

