DF67079F  // -2.03735
DF19E997  // -2.05617
DF5FFA09  // -2.03907
DE0323FC  // -2.12423
DBC8E760  // -2.26345
DA0EAABD  // -2.37142
DAF02A41  // -2.31637
DC021CB8  // -2.24948
E0F067FF  // -1.94131
E0EB301B  // -1.94258
E08285C0  // -1.96813
E159E7CB  // -1.91555
DFFF62B8  // -2.00015
D0ABE33D  // -2.95804
C21C9B87  // -3.86802
DE419058  // -2.10899
09C867F1  // 0.611427
F9C6606B  // -0.389068
E3B47750  // -1.76844
E08F9DBA  // -1.96494
E2038A42  // -1.87414
E34709B3  // -1.79516
E4E72897  // -1.69356
E70D1B46  // -1.5593
E89AC00F  // -1.46222
E86DE974  // -1.47317
E6AEABD0  // -1.58236
E2D26A8A  // -1.82363
DFD73F5A  // -2.00995
DED6C04C  // -2.07257

0AF10F6C  // 0.683853
09A879EA  // 0.603632
09855760  // 0.595054
0D8F176D  // 0.847434
108E40D4  // 1.03473
102BACB3  // 1.01066
0DF94616  // 0.873358
05C4A066  // 0.360505
FEB81C0C  // -0.0800514
05A6AB9D  // 0.353191
07C9A0F0  // 0.486726
082D8C27  // 0.51112
0C973A6F  // 0.786921
2ACBFC9F  // 2.6748
43AD9197  // 4.22988
D9C361F6  // -2.3898
9148CC2C  // -6.91973
F46C4146  // -0.723571
34744495  // 3.27839
2B822223  // 2.71927
0B465431  // 0.70467
067A5BB4  // 0.404873
0311A5A0  // 0.191808
019A778F  // 0.100212
0222FFC1  // 0.133545
044BA867  // 0.268471
0B1F16AD  // 0.69509
1300943D  // 1.18764
136AD0DF  // 1.21358
0F9BC6B7  // 0.975531

