E0C80D8D  // -1.95116
E1187B3F  // -1.93152
E0CB2A5E  // -1.9504
DECD6989  // -2.07485
DC597D9D  // -2.22815
DC0F280D  // -2.2463
DC4154AD  // -2.23405
DDC15D31  // -2.14029
E1BFF9A7  // -1.89063
E16C4F84  // -1.91106
E1AE7F7A  // -1.8949
E19B253E  // -1.89962
E0566A6A  // -1.9789
D137D1C5  // -2.92387
C21636E1  // -3.86958
E11C5BFE  // -1.93058
093DD5B2  // 0.577596
F6956DC9  // -0.588518
E193CC53  // -1.90142
E3252789  // -1.80343
E3B6C359  // -1.76788
E4AC669C  // -1.70791
E71AFBD6  // -1.55591
E8EC4630  // -1.44232
EA379047  // -1.36143
E937CCB2  // -1.42388
E5F55F46  // -1.62759
E25DDC7C  // -1.85208
E13C7D2E  // -1.92273
E0BD1F39  // -1.95383

07F16C3F  // 0.496441
08C2B959  // 0.54754
0A40E170  // 0.64084
0D5048B9  // 0.832101
11FF7F2F  // 1.12488
0E3CD8A1  // 0.889855
0A8FB8CF  // 0.660088
079D3562  // 0.475881
000EC8D0  // 0.00360948
049D87EE  // 0.28846
0879E1C3  // 0.529756
09DE1A81  // 0.616724
0BAB6405  // 0.729343
29E24A75  // 2.61775
4471E58D  // 4.27781
D7E1DA5D  // -2.50736
9094722F  // -6.96376
00FEA887  // 0.0621724
35EAF17D  // 3.36986
1FC0359D  // 1.98443
0A76EF3C  // 0.654037
04DEC8E9  // 0.304391
01CCA93C  // 0.112466
01336DA9  // 0.0750558
00BD9AE0  // 0.0462903
0782CDA2  // 0.469434
0FA6E37E  // 0.978244
12864F17  // 1.15779
0FDE977D  // 0.991844
0CD88315  // 0.802859

