E13E9957  // -1.92222
E0F6BD69  // -1.93976
E122C1A2  // -1.92901
DF9C83F8  // -2.02429
DDC26531  // -2.14004
DC2624FD  // -2.24069
DCC23866  // -2.20258
DD15AEDB  // -2.18221
E219D93A  // -1.86869
E24FF787  // -1.85548
E25CE628  // -1.85232
E29FB9D2  // -1.836
E2935D5D  // -1.83902
D3985134  // -2.77531
C1D96A50  // -3.88442
DF856AA1  // -2.02993
079F451D  // 0.476384
F8645348  // -0.475507
E2C7A17D  // -1.82626
E2F7CAE0  // -1.8145
E3745021  // -1.7841
E47C4444  // -1.71966
E6585760  // -1.60343
E8A4DB01  // -1.45975
EA78AD9B  // -1.34554
EA85D4C6  // -1.34233
E7A2B96B  // -1.52277
E35BDE5D  // -1.79007
E0AFED09  // -1.95705
E026CE0E  // -1.99053

0B0868E1  // 0.689553
09F3F951  // 0.622064
09AD2838  // 0.604775
0D5FA71E  // 0.835853
0E91940E  // 0.910542
0FBADF2D  // 0.983123
0DB72E58  // 0.857222
06A4E5D9  // 0.415258
00056313  // 0.00131519
03B748D7  // 0.232247
06B38F8D  // 0.418838
0857382C  // 0.521294
0956515D  // 0.583574
28AE7672  // 2.54259
48E0FA79  // 4.55493
DCCEE714  // -2.19949
935C0306  // -6.79004
FADE127F  // -0.320783
32D010C9  // 3.1758
229294D0  // 2.16079
0AFA7603  // 0.686148
064AD1A3  // 0.393266
02523B35  // 0.145076
002AC2F8  // 0.0104398
00C9E322  // 0.0492889
02CF7624  // 0.17565
0D0E801B  // 0.81604
14826423  // 1.28183
126E0FA9  // 1.15187
0E8CC67D  // 0.909369

