00033A6A  // 0.00078813
00000000  // 0
00000000  // 0
00000000  // 0
0012E40C  // 0.00461201
000073B2  // 0.000110336
00007C04  // 0.000118271
00000000  // 0
017168F6  // 0.090188
00000000  // 0
00000000  // 0
0000C49C  // 0.000187501
00091BA4  // 0.00222363
00000000  // 0
00000000  // 0
00EBC41B  // 0.0575601
00E39AE8  // 0.0555677
00B72060  // 0.0447086
00B43A1C  // 0.0440007
00D5FFA4  // 0.0522458
0105E321  // 0.0639373
076A7715  // 0.463492
12DC36CB  // 1.17876
0273A421  // 0.153233
0212B0D6  // 0.129563
00F6D607  // 0.0602627
011EAD96  // 0.0699898
0150E868  // 0.0822529
015424FF  // 0.0830431
011292CC  // 0.0670345
