FEC881FD  // -0.0760479
FED9984F  // -0.0718762
FF1FCF7E  // -0.0547338
FF86FD0D  // -0.0295438
FF6A88D8  // -0.0364906
FEEC083D  // -0.067375
FF09A351  // -0.060147
FF6D03F4  // -0.0358849
FC15580B  // -0.244789
FCDF344E  // -0.195507
FED8F142  // -0.0720355
FEB0A06C  // -0.0818783
FE1D61EB  // -0.117827
FDE6DE9E  // -0.131135
FEC6388B  // -0.0766062
FF500008  // -0.0429687
FF5D87CC  // -0.0396654
FFB67CF8  // -0.0179472
FFB01529  // -0.0195111
FF72DE46  // -0.034456
FF5D4CE0  // -0.0397216
FF481EAE  // -0.0448926
FEC0AD5A  // -0.0779597
FD4250D8  // -0.17131
FF8626D1  // -0.0297481
FF550CB8  // -0.0417359
FF0A5811  // -0.0599746
FE7D1419  // -0.0944633
FF35FA45  // -0.0493219
FF6836CE  // -0.0370571
