FEDEDF09  // -0.0705881
FEE3BD2F  // -0.0693997
FF37C813  // -0.0488815
FF6F36DB  // -0.0353481
FF58CB93  // -0.0408215
FEBE763D  // -0.0785005
FEC2348C  // -0.0775866
FF7E5A49  // -0.0316522
FB85BB64  // -0.279851
FC63A867  // -0.225669
FE84FDBA  // -0.0925315
FE6FD803  // -0.0976944
FDFE7652  // -0.125375
FDC6CE69  // -0.138963
FE8AA4C3  // -0.0911515
FF51EE3E  // -0.0424974
FF69D00C  // -0.0366668
FFC0DD56  // -0.0154139
FFAC142F  // -0.0204886
FF539AF3  // -0.0420886
FF36DD3B  // -0.0491054
FF2FB91F  // -0.0508488
FEF62BCB  // -0.0648996
FCF2A060  // -0.190765
FF402819  // -0.0468368
FF31EC08  // -0.050312
FEECAC1D  // -0.0672187
FE9CE4FB  // -0.0866957
FEF84E6D  // -0.0643783
FF5E3198  // -0.0395035
