00150AA1  // 0.00513709
000F7F83  // 0.00378371
000D7965  // 0.0032896
00129AE6  // 0.00454225
00144450  // 0.00494796
001A7535  // 0.00645943
00262837  // 0.0093157
00B801EC  // 0.0449237
00324A8F  // 0.0122781
00455556  // 0.0169271
0024C360  // 0.00897539
0026E058  // 0.00949129
002C948C  // 0.0108839
00235382  // 0.00862456
00130C84  // 0.00465061
00184518  // 0.00592527
0015C10F  // 0.00531107
00110943  // 0.00415922
000C7FA8  // 0.00305143
00135E84  // 0.00472881
001F6F1A  // 0.00767431
001E5F70  // 0.00741524
FFDA388A  // -0.00922342
003E3EF8  // 0.0151968
005D27A6  // 0.0227429
002AA0F6  // 0.0104074
00287315  // 0.00987538
002FAF3D  // 0.0116417
002E6A9B  // 0.0113321
0022F9BE  // 0.00853895
