FED7833E  // -0.0723846
FECF30E3  // -0.0744163
FF232539  // -0.0539196
FF60EAEA  // -0.0388385
FF42D36A  // -0.0461851
FEB733DA  // -0.0802728
FEC36AB8  // -0.0772908
FF86753F  // -0.0296733
FB7F2555  // -0.281459
FCCEDBDA  // -0.199497
FE68B551  // -0.0994365
FE53289E  // -0.104698
FDDCDF94  // -0.133576
FDEBFFBD  // -0.129883
FE980F11  // -0.0878763
FF48D069  // -0.0447231
FF612CA2  // -0.0387758
FF9BB34E  // -0.0244872
FFA7CA01  // -0.0215359
FF3A6F25  // -0.0482338
FF3ABE27  // -0.0481585
FF2FF119  // -0.0507955
FECADAC9  // -0.0754749
FD233C0C  // -0.178898
FF4FE60F  // -0.0429935
FF122221  // -0.0580729
FED99468  // -0.07188
FE9F828F  // -0.0860571
FF10B0DE  // -0.0584251
FF4B280E  // -0.0441513
