FEC536B7  // -0.0768521
FEB7222F  // -0.0802897
FF12B769  // -0.0579306
FF370760  // -0.0490652
FEF925AC  // -0.0641731
FE70E174  // -0.0974412
FE5BF3F5  // -0.102551
FFF296B8  // -0.00327423
FBD9A725  // -0.259362
FCC37398  // -0.202282
FE0A12A6  // -0.122541
FDF7CA42  // -0.127004
FD895964  // -0.153967
FD772A55  // -0.158407
FE23C520  // -0.116267
FF309E29  // -0.0506304
FF58ACFC  // -0.0408507
FF8C760C  // -0.0282077
FF8FA63A  // -0.0274294
FF13F3CA  // -0.0576288
FF0A90A4  // -0.0599207
FF8113F9  // -0.0309868
FEE23D5E  // -0.0697657
FD45EFC1  // -0.170426
FF08A29C  // -0.0603918
FEE423BE  // -0.0693019
FEA53ADD  // -0.0846607
FE731094  // -0.096908
FEBA7EB3  // -0.079469
FF106C3A  // -0.0584905
