FE12377E  // -0.120553
FE262185  // -0.115691
FE334723  // -0.112481
FE3A198C  // -0.110815
FE3D6FF5  // -0.110001
FE411834  // -0.109108
FE4822BC  // -0.107389
FE53C022  // -0.104553
FE633083  // -0.100784
FE74931B  // -0.0965394
FE85FBE9  // -0.0922891
FE9619FD  // -0.0883541
FEA42D09  // -0.084918
FEAF8E4C  // -0.0821397
FEB76DF3  // -0.0802174
FEBB1BAF  // -0.0793193
FEBAC817  // -0.079399
FEB80F84  // -0.0800633
FEB5BED0  // -0.0806286
FEB6BBA6  // -0.0803875
FEBC901C  // -0.0789641
FEC697DC  // -0.0765153
FED26733  // -0.0736321
FEDD2C3F  // -0.0710027
FEE53DF6  // -0.0690327
FEEAD008  // -0.0676727
FEEF6572  // -0.0665536
FEF4747A  // -0.0653186
FEFA4A5B  // -0.0638939
FEFFE3E3  // -0.0625268
FF03DB72  // -0.0615583
FF05A744  // -0.0611198
FF06325D  // -0.0609871
FF075BC3  // -0.0607035
FF0AB399  // -0.0598873
FF105416  // -0.0585136
FF169346  // -0.0569885
FF1AB627  // -0.0559786
FF1A21AA  // -0.0561202
FF135726  // -0.0577782
FF06588C  // -0.0609507
FEF495E8  // -0.0652867
FEE0AA42  // -0.0701501
FECE17E6  // -0.0746842
FEC0CCF5  // -0.0779295
FEBC1F8D  // -0.0790715
FEC15273  // -0.0778022
FECE4A13  // -0.0746364
FEDD6DB7  // -0.0709403
FEE74071  // -0.0685421
FEE564F8  // -0.0689955
FED5A01F  // -0.0728453
FEBB4D40  // -0.079272
FE9E38C9  // -0.0863716
FE876513  // -0.0919446
FE7D3110  // -0.0944356
FE80D887  // -0.0935435
FE8E6792  // -0.0902333
FE9EE7F4  // -0.0862046
FEAB85E3  // -0.0831243
FEB0105C  // -0.0820156
FEABDDFE  // -0.0830402
FEA11811  // -0.0856704
FE9344D5  // -0.0890457
FE85E5C3  // -0.0923102
FE7BB8A6  // -0.0947946
FE767980  // -0.0960755
FE76D728  // -0.0959862
FE7C55BA  // -0.0946448
FE85372C  // -0.0924767
FE8EC066  // -0.0901485
FE95EFF8  // -0.0883942
FE9890BB  // -0.0877526
FE961AFD  // -0.0883532
FE8FE692  // -0.089868
FE888838  // -0.091667
FE82B217  // -0.0930919
FE802421  // -0.0937155
FE813CC4  // -0.0934479
FE854C4A  // -0.0924565
FE8B4182  // -0.091002
FE92429F  // -0.0892919
FE99CADA  // -0.087453
FEA14BF2  // -0.0856209
FEA7C3DB  // -0.0840417
FEABB936  // -0.0830753
FEABC220  // -0.0830668
FEA76199  // -0.0841354
FE9FA9B6  // -0.0860198
FE971CB7  // -0.0881074
FE90CA97  // -0.0896505
FE8F0614  // -0.0900821
FE9266D8  // -0.0892574
FE99A159  // -0.0874926
FEA245B5  // -0.0853827
FEA9EE55  // -0.0835129
FEAF3314  // -0.0822267
FEB1E7C9  // -0.0815661
FEB29896  // -0.0813975
FEB1D573  // -0.0815835
FEAFD95E  // -0.0820681
FEACCF2E  // -0.0828102
FEA974AD  // -0.083629
FEA77D8B  // -0.0841088
FEA92473  // -0.0837055
FEAFF915  // -0.0820378
FEBB95BA  // -0.0792029
FEC9251E  // -0.0758923
FED443D9  // -0.0731775
FED8FDF1  // -0.0720234
FED5BC2F  // -0.0728186
FECBF540  // -0.0752056
FEBF2226  // -0.0783366
FEB2A801  // -0.0813827
FEA85132  // -0.0839069
FEA0C764  // -0.0857473
FE9E145F  // -0.0864064
FEA67D81  // -0.084353
FEC5122E  // -0.076887
FF06011C  // -0.0610341
FF6F7BF7  // -0.0352822
FFFAB20A  // -0.00129505
0091AECA  // 0.0355671
011565E8  // 0.0677241
016AD186  // 0.0885787
018965A3  // 0.0960442
0182C6C5  // 0.0944278
017DE058  // 0.0932315
01A57637  // 0.102896
021165B4  // 0.129247
02B5BEEB  // 0.169372
036135B6  // 0.211233
03CD61DD  // 0.237642
03BA516F  // 0.232988
03090A77  // 0.189707
01C8BB6B  // 0.111507
0030F3B4  // 0.0119512
FE8C4026  // -0.0907591
FD1D9992  // -0.180273
FC0C73AD  // -0.24696
FB5EB0E2  // -0.289382
FB004FF6  // -0.312424
FAD292A8  // -0.323591
FABA4A97  // -0.329519
FAA778D3  // -0.334113
FA95411D  // -0.338561
FA8512B7  // -0.342511
FA79659E  // -0.345362
FA72FD9C  // -0.346926
FA714154  // -0.34735
FA7436B0  // -0.346628
FA7E3714  // -0.344186
FA943BA5  // -0.33881
FABCA4A7  // -0.328945
FAFD1846  // -0.313209
FB583668  // -0.290964
FBCBCF4C  // -0.262742
FC502684  // -0.230432
FCD8C9E9  // -0.197073
FD57224D  // -0.166227
FDBE4359  // -0.141049
FE06B3B7  // -0.123364
FE309A9C  // -0.113134
FE43322D  // -0.108595
FE499C3D  // -0.107029
FE4E6B75  // -0.105855
FE57FCA3  // -0.103519
FE6714B4  // -0.0998338
FE782D30  // -0.09566
FE865DB8  // -0.0921958
FE8E3901  // -0.0902777
FE8F3D05  // -0.0900297
FE8B7BD3  // -0.0909464
FE861267  // -0.0922676
FE81906E  // -0.0933681
FE7F250F  // -0.0939588
FE7EB13F  // -0.0940692
FE7F65F0  // -0.0938969
FE8055C8  // -0.0936682
FE809EDD  // -0.0935985
FE7F57D6  // -0.0939104
FE7B893F  // -0.0948398
FE747098  // -0.0965723
FE69FD16  // -0.0991239
FE5D3138  // -0.102248
FE4FFE1F  // -0.105471
FE449739  // -0.108254
FE3C8120  // -0.110228
FE37CFB9  // -0.111374
FE351E79  // -0.112031
FE322E50  // -0.112749
FE2CEED7  // -0.11403
FE245AE9  // -0.116124
FE18C410  // -0.118954
FE0B6F26  // -0.122208
FDFDD616  // -0.125528
FDF0FF73  // -0.128663
FDE5471A  // -0.131524
FDDAA692  // -0.134118
FDD133A5  // -0.136425
FDC96BEF  // -0.138325
FDC411D0  // -0.139631
FDC1A445  // -0.140224
FDC1BBC8  // -0.140202
FDC2C321  // -0.139951
FDC24706  // -0.140069
FDBDD114  // -0.141158
FDB3F446  // -0.143566
FDA518A1  // -0.147193
FD938F48  // -0.151475
FD82E94A  // -0.155539
FD76C7DB  // -0.158501
FD719659  // -0.159769
FD73C158  // -0.159239
FD7BB24F  // -0.157301
FD868A0A  // -0.154654
FD914CEA  // -0.152026
FD99F28E  // -0.149915
FD9FEC44  // -0.148456
FDA3F39B  // -0.147473
FDA766B9  // -0.146631
FDAB8862  // -0.145622
FDB12140  // -0.144255
FDB89C51  // -0.142429
FDC26A71  // -0.140035
FDCF3DF8  // -0.136904
FDDFD4EF  // -0.132854
FDF45F1D  // -0.127839
FE0BD8E4  // -0.122108
FE23ED9B  // -0.116228
FE39972C  // -0.11094
FE4A5419  // -0.106853
FE5549C1  // -0.104178
FE5BC02B  // -0.1026
FE6098A5  // -0.101417
FE67121B  // -0.0998362
FE71637B  // -0.0973172
FE7FED64  // -0.0937677
FE914160  // -0.0895373
FEA2DEA7  // -0.0852369
FEB22D53  // -0.0814997
FEBD5144  // -0.0787799
FEC3935C  // -0.077252
FEC56534  // -0.0768078
FEC42F4A  // -0.0771033
FEC1EEB0  // -0.0776532
FEC0B764  // -0.0779501
FEC225D7  // -0.0776006
FEC6E267  // -0.0764442
FECE6C25  // -0.0746039
FED742D8  // -0.072446
FEDF6A0C  // -0.0704555
FEE50829  // -0.069084
FEE6E26C  // -0.0686317
FEE4977D  // -0.0691915
FEDE9DBA  // -0.0706504
FED62FC2  // -0.0727084
FECD2106  // -0.0749197
FEC590BB  // -0.0767663
FEC16D34  // -0.0777767
FEC1CE26  // -0.0776843

