0633FD85  // 0.387693
06560837  // 0.396004
066C817D  // 0.401491
06782AD8  // 0.404338
067DDF65  // 0.405731
06841FD6  // 0.407257
06902921  // 0.410195
06A403EF  // 0.415043
06BE683A  // 0.421486
06DC202F  // 0.428742
06F9E2C2  // 0.436007
07156FFB  // 0.442734
072D7F1F  // 0.448608
0740F320  // 0.453357
074E68BB  // 0.456643
0754B28E  // 0.458178
075423A8  // 0.458042
074F7CEA  // 0.456906
074B87BC  // 0.45594
074D37F0  // 0.456352
07572F30  // 0.458785
07685491  // 0.462971
077C84BD  // 0.4679
078EEDB4  // 0.472395
079CB8E4  // 0.475762
07A63EA6  // 0.478087
07AE1483  // 0.48
07B6BA46  // 0.482111
07C0B3F2  // 0.484547
07CA4676  // 0.486884
07D10E7B  // 0.488539
07D42083  // 0.489289
07D50E4A  // 0.489516
07D70AAB  // 0.49
07DCC1A8  // 0.491396
07E66010  // 0.493744
07F10DC1  // 0.496351
07F81FD4  // 0.498077
07F72200  // 0.497835
07EB8623  // 0.495001
07D54F8F  // 0.489578
07B6F36B  // 0.482166
0794E5F3  // 0.473852
077526BA  // 0.466101
075E6DA8  // 0.460554
07566EC7  // 0.458602
075F51D9  // 0.460771
07757C80  // 0.466183
078F5D9E  // 0.472501
07A0285B  // 0.476601
079CFB92  // 0.475826
078206E1  // 0.469245
07550749  // 0.458259
07235187  // 0.446123
06FC4C24  // 0.436596
06EADB1B  // 0.432338
06F11A36  // 0.433863
070847B3  // 0.439522
07247CF7  // 0.446408
073A0E4C  // 0.451674
0741D175  // 0.453569
073AA4E8  // 0.451817
07283A70  // 0.447321
07109861  // 0.441552
06F9BCE6  // 0.435971
06E857A7  // 0.431724
06DF5FA4  // 0.429535
06DFFFBD  // 0.429687
06E9642A  // 0.43198
06F89273  // 0.435687
0708DF8B  // 0.439666
07152827  // 0.442665
0719A630  // 0.443762
071571B1  // 0.442735
070AD669  // 0.440146
06FE3DD5  // 0.437071
06F443BB  // 0.434635
06EFE5D5  // 0.433569
06F1C590  // 0.434026
06F8B68C  // 0.435721
0702E5CC  // 0.438207
070EDEFD  // 0.441131
071BBF27  // 0.444274
0728931F  // 0.447406
0733A1C6  // 0.450105
073A6608  // 0.451757
073A7545  // 0.451772
0732F9CF  // 0.449945
0725C82E  // 0.446724
07172A41  // 0.443156
070C5C31  // 0.440518
070956A8  // 0.43978
070F1CE9  // 0.44119
071B7835  // 0.444206
072A3E12  // 0.447813
0737559C  // 0.451009
07405731  // 0.453208
0744F753  // 0.454337
0746258D  // 0.454626
0744D7FA  // 0.454308
07417373  // 0.453479
073C4132  // 0.452211
073685A6  // 0.450811
07332995  // 0.449991
0735FC82  // 0.45068
0741A9AA  // 0.453531
0755832E  // 0.458377
076CB143  // 0.464036
077FB388  // 0.468677
0787C819  // 0.47065
078236DA  // 0.469291
07718046  // 0.46521
075B940F  // 0.459858
07463FE8  // 0.454651
07349362  // 0.450336
0727B087  // 0.44719
07231348  // 0.446063
073173E7  // 0.449573
0765BA70  // 0.462336
07D4BA17  // 0.489435
08890974  // 0.533456
09770213  // 0.591555
0A791C0F  // 0.654568
0B5A445E  // 0.709538
0BEC496C  // 0.745187
0C208EFF  // 0.757949
0C153DBF  // 0.755186
0C0CDD67  // 0.753141
0C50887F  // 0.769661
0D090A75  // 0.814707
0E21FB78  // 0.883296
0F471656  // 0.954855
10000000  // 1
0FDF6945  // 0.992044
0EB05E7B  // 0.918059
0C8CD33E  // 0.784381
09D3C16B  // 0.614198
07049916  // 0.438623
0491D608  // 0.285605
02BEE8F2  // 0.171609
0195E0F0  // 0.0990915
00F48BA6  // 0.0597035
00A65B78  // 0.0406146
007CD991  // 0.0304809
005CADF5  // 0.0226268
003D89B1  // 0.0150239
0021E093  // 0.00827081
000DEAEF  // 0.00339788
0002F777  // 0.000724282
00000000  // 0
00050EA6  // 0.00123467
00162772  // 0.00540871
003BCABB  // 0.0145976
0080DEC0  // 0.0314624
00EF0B9E  // 0.0583607
018ACDE5  // 0.0963878
025068BA  // 0.144631
0332A2B8  // 0.199862
041C3560  // 0.256887
04F42FB1  // 0.309616
05A47A4F  // 0.352656
06204E84  // 0.382887
0667EF57  // 0.400375
0687B776  // 0.408134
0692AE72  // 0.410811
069AE71F  // 0.412818
06AB41CF  // 0.416811
06C50F25  // 0.42311
06E2486A  // 0.430245
06FA89F5  // 0.436167
0707F819  // 0.439446
0709B493  // 0.439869
0703497C  // 0.438303
06FA0935  // 0.436044
06F25494  // 0.434163
06EE31CF  // 0.433153
06ED6BD6  // 0.432964
06EEA0B7  // 0.433259
06F03AB6  // 0.43365
06F0B7A3  // 0.433769
06EE889C  // 0.433236
06E8069F  // 0.431647
06DBE531  // 0.428685
06CA079C  // 0.424324
06B427C2  // 0.418983
069D9772  // 0.413475
068A19CE  // 0.408716
067C4721  // 0.405341
0674416C  // 0.403383
066FA733  // 0.402259
066AA170  // 0.401033
0661A8E0  // 0.398843
0652FF18  // 0.395263
063F2F7E  // 0.390426
0628655F  // 0.384862
061126C1  // 0.379187
05FB347F  // 0.373829
05E72BA0  // 0.368938
05D50115  // 0.364503
05C4DA1C  // 0.36056
05B78D6D  // 0.357313
05AE674F  // 0.355079
05AA40D3  // 0.354066
05AA6904  // 0.354104
05AC2B31  // 0.354533
05AB570B  // 0.354331
05A3B6F9  // 0.352469
0592DB02  // 0.348353
057974F6  // 0.342153
055B7AC2  // 0.334834
053F0533  // 0.327886
052A48B2  // 0.322823
05216800  // 0.320656
05251CB9  // 0.321561
0532AFED  // 0.324875
054538D4  // 0.3294
05579E15  // 0.333891
05666622  // 0.3375
05709D10  // 0.339994
0577800F  // 0.341675
057D65AF  // 0.343115
058475AC  // 0.344839
058E070D  // 0.347175
