FEC3  // -0.0773926
FE95  // -0.088623
FE68  // -0.0996094
FE50  // -0.105469
FE5E  // -0.102051
FE90  // -0.0898438
FECC  // -0.0751953
FEF8  // -0.0644531
FEFF  // -0.0627441
FEE0  // -0.0703125
FEAF  // -0.0822754
FE85  // -0.0925293
FE69  // -0.0993652
FE6F  // -0.0979004
FE8B  // -0.0910645
FEA9  // -0.0837402
FEC6  // -0.0766602
FECD  // -0.0749512
FEC2  // -0.0776367
FEB1  // -0.0817871
FEA5  // -0.0847168
FE9E  // -0.0864258
FE9E  // -0.0864258
FE9E  // -0.0864258
FE9C  // -0.0869141
FE98  // -0.0878906
FE97  // -0.0881348
FEA1  // -0.0856934
FEBB  // -0.0793457
FED8  // -0.0722656
FEF1  // -0.0661621
FEF3  // -0.0656738
FEE4  // -0.0693359
FED0  // -0.0742188
FEB4  // -0.0810547
FEA6  // -0.0844727
FEA8  // -0.0839844
FEB1  // -0.0817871
FEBE  // -0.0786133
FEC7  // -0.076416
FEC4  // -0.0771484
FEC8  // -0.0761719
FED3  // -0.0734863
FEE2  // -0.0698242
FEF9  // -0.064209
FF07  // -0.060791
FF02  // -0.0620117
FEFC  // -0.0634766
FEFA  // -0.0639648
FF02  // -0.0620117
FF24  // -0.0537109
FF4D  // -0.0437012
FF74  // -0.0341797
FF90  // -0.0273438
FF86  // -0.0297852
FF65  // -0.0378418
FF3E  // -0.0473633
FF21  // -0.0544434
FF0F  // -0.0588379
FF12  // -0.0581055
FF1C  // -0.0556641
FF15  // -0.057373
FF0C  // -0.0595703
FEFD  // -0.0632324
FEFF  // -0.0627441
FF15  // -0.057373
FF43  // -0.0461426
FF79  // -0.032959
FF9F  // -0.0236816
FFA0  // -0.0234375
FF7B  // -0.0324707
FF3A  // -0.0483398
FEF7  // -0.0646973
FECA  // -0.0756836
FEC5  // -0.0769043
FED5  // -0.072998
FEF1  // -0.0661621
FF08  // -0.0605469
FF03  // -0.0617676
FEE4  // -0.0693359
FEBE  // -0.0786133
FE97  // -0.0881348
FE75  // -0.0964355
FE59  // -0.103271
FE45  // -0.108154
FE3D  // -0.110107
FE3E  // -0.109863
FE59  // -0.103271
FE74  // -0.0966797
FE9B  // -0.0871582
FEBA  // -0.0795898
FEBE  // -0.0786133
FEBB  // -0.0793457
FEA7  // -0.0842285
FE8D  // -0.0905762
FE79  // -0.095459
FE79  // -0.095459
FE82  // -0.0932617
FE8D  // -0.0905762
FE89  // -0.0915527
FE87  // -0.092041
FE84  // -0.0927734
FE8D  // -0.0905762
FEAB  // -0.083252
FECA  // -0.0756836
FEEB  // -0.067627
FEF2  // -0.065918
FEDA  // -0.0717773
FEAE  // -0.0825195
FE81  // -0.0935059
FE6E  // -0.0981445
FE7D  // -0.0944824
FEA5  // -0.0847168
FEDD  // -0.0710449
FEF7  // -0.0646973
FEF8  // -0.0644531
FED4  // -0.0732422
FEA1  // -0.0856934
FE89  // -0.0915527
FE9E  // -0.0864258
FEEE  // -0.0668945
FF6D  // -0.0358887
FFED  // -0.00463867
0054  // 0.0205078
0081  // 0.0314941
0081  // 0.0314941
006C  // 0.0263672
007D  // 0.0305176
00D6  // 0.0522461
0175  // 0.0910645
0235  // 0.137939
02CF  // 0.175537
0306  // 0.188965
02AD  // 0.167236
01B8  // 0.107422
0069  // 0.0256348
FF0F  // -0.0588379
FDEC  // -0.129883
FD24  // -0.178711
FCB4  // -0.206055
FC6B  // -0.223877
FC27  // -0.240479
FBD3  // -0.260986
FB7C  // -0.282227
FB27  // -0.302979
FAF7  // -0.314697
FAEC  // -0.317383
FAF8  // -0.314453
FB0A  // -0.310059
FB18  // -0.306641
FB1E  // -0.305176
FB25  // -0.303467
FB33  // -0.300049
FB53  // -0.292236
FB7D  // -0.281982
FBA8  // -0.271484
FBD2  // -0.26123
FC01  // -0.249756
FC3B  // -0.235596
FC81  // -0.218506
FCE3  // -0.19458
FD51  // -0.167725
FDBC  // -0.141602
FE0A  // -0.122559
FE36  // -0.111816
