FF30  // -0.0507812
FF3C  // -0.0478516
FF4C  // -0.0439453
FF4C  // -0.0439453
FF5C  // -0.0400391
FF68  // -0.0371094
FF68  // -0.0371094
FF70  // -0.0351562
FF70  // -0.0351562
FF78  // -0.0332031
FF74  // -0.0341797
FF68  // -0.0371094
FF50  // -0.0429688
FF40  // -0.046875
FF24  // -0.0537109
FF1C  // -0.0556641
FF34  // -0.0498047
FF6C  // -0.0361328
FF90  // -0.0273438
FFB0  // -0.0195312
FF9C  // -0.0244141
FF84  // -0.0302734
FF68  // -0.0371094
FF6C  // -0.0361328
FF78  // -0.0332031
FF54  // -0.0419922
FF18  // -0.0566406
FEDC  // -0.0712891
FEC4  // -0.0771484
FED0  // -0.0742188
FEE4  // -0.0693359
FEF4  // -0.0654297
FF0C  // -0.0595703
FF04  // -0.0615234
FEE8  // -0.0683594
FEDC  // -0.0712891
FED4  // -0.0732422
FEC4  // -0.0771484
FEBC  // -0.0791016
FEA4  // -0.0849609
FE9C  // -0.0869141
FE98  // -0.0878906
FE94  // -0.0888672
FE90  // -0.0898438
FEA4  // -0.0849609
FEBC  // -0.0791016
FED4  // -0.0732422
FEDC  // -0.0712891
FEC4  // -0.0771484
FEA8  // -0.0839844
FE90  // -0.0898438
FE70  // -0.0976562
FE74  // -0.0966797
FE88  // -0.0917969
FE9C  // -0.0869141
FE9C  // -0.0869141
FE8C  // -0.0908203
FE88  // -0.0917969
FE9C  // -0.0869141
FEBC  // -0.0791016
FEB8  // -0.0800781
FEC4  // -0.0771484
FEAC  // -0.0830078
FE90  // -0.0898438
FE80  // -0.09375
FE7C  // -0.0947266
FE84  // -0.0927734
FE74  // -0.0966797
FE6C  // -0.0986328
FE7C  // -0.0947266
FECC  // -0.0751953
FF44  // -0.0458984
FFC0  // -0.015625
003C  // 0.0146484
0090  // 0.0351562
00A4  // 0.0400391
008C  // 0.0341797
0068  // 0.0253906
0080  // 0.03125
00F0  // 0.0585938
01A4  // 0.102539
026C  // 0.151367
02F8  // 0.185547
0304  // 0.188477
0278  // 0.154297
0158  // 0.0839844
FFFC  // -0.000976562
FE9C  // -0.0869141
FD7C  // -0.157227
FCA4  // -0.209961
FC20  // -0.242188
FBD4  // -0.260742
FBB8  // -0.267578
FBA0  // -0.273438
FB94  // -0.276367
FB74  // -0.28418
FB44  // -0.295898
FB24  // -0.303711
FB08  // -0.310547
FB10  // -0.308594
FB24  // -0.303711
FB20  // -0.304688
FB24  // -0.303711
FB34  // -0.299805
FB58  // -0.291016
FB80  // -0.28125
FBB4  // -0.268555
FBF0  // -0.253906
FC2C  // -0.239258
FC78  // -0.220703
FCE0  // -0.195312
FD48  // -0.169922
FDA4  // -0.147461
FDF4  // -0.12793
FE28  // -0.115234
FE30  // -0.113281
FE2C  // -0.114258
FE20  // -0.117188
FE10  // -0.121094
