FE60F022  // -0.101333
FE67137C  // -0.0998349
FE6E6377  // -0.0980497
FE7450E6  // -0.0966025
FE7790E5  // -0.0958091
FE78A146  // -0.0955493
FE793F04  // -0.0953989
FE7B377B  // -0.0949178
FE7F5DDE  // -0.0939046
FE851E8A  // -0.0925002
FE8AD27B  // -0.0911079
FE8E84A4  // -0.0902055
FE8EA844  // -0.0901716
FE8A6F0D  // -0.0912027
FE81CE72  // -0.093309
FE756393  // -0.0963406
FE667B86  // -0.0999799
FE5728DB  // -0.103721
FE4A2729  // -0.106896
FE423ADB  // -0.108831
FE4132D5  // -0.109082
FE46EC4A  // -0.107685
FE5114BE  // -0.105205
FE5BEA98  // -0.102559
FE63D094  // -0.100631
FE66E245  // -0.0998819
FE65B15D  // -0.100173
FE62CA89  // -0.100881
FE615740  // -0.101235
FE63B110  // -0.100661
FE6AA549  // -0.0989635
FE7597F5  // -0.0962906
FE832851  // -0.0929791
FE91B267  // -0.0894295
FE9F6CF7  // -0.0860777
FEAA56CB  // -0.0834133
FEB078CC  // -0.081916
FEB0A794  // -0.0818714
FEAB7A32  // -0.0831354
FEA3A0C1  // -0.0850518
FE9D1073  // -0.0866542
FE9B2EEA  // -0.0871135
FE9EF4D0  // -0.0861923
FEA6402D  // -0.0844115
FEACFE77  // -0.0827651
FEAFAA5C  // -0.0821129
FEADA94F  // -0.0826022
FEAA1F03  // -0.0834665
FEAA8E13  // -0.0833606
FEB3FC54  // -0.0810582
FEC83AE5  // -0.0761157
FEE4BA6A  // -0.0691582
FF038767  // -0.0616384
FF1DB5CE  // -0.0552465
FF2DE735  // -0.0512932
FF31C033  // -0.0503538
FF29F325  // -0.0522584
FF195EA4  // -0.0563062
FF040A65  // -0.0615135
FEEE7EF7  // -0.0667734
FEDD59A6  // -0.0709594
FED4B9A0  // -0.0730652
FED738D9  // -0.0724556
FEE4CAD8  // -0.0691425
FEFA2ABF  // -0.0639241
FF11871F  // -0.0582207
FF245DF4  // -0.0536213
FF2DE15D  // -0.0512987
FF2C98E6  // -0.051612
FF227C44  // -0.0540807
FF137BFC  // -0.0577431
FF035288  // -0.0616889
FEF3E644  // -0.0654542
FEE51035  // -0.0690763
FED5C3B3  // -0.0728114
FEC5AB34  // -0.076741
FEB6173B  // -0.0805443
FEA98B13  // -0.0836076
FEA2398A  // -0.0853943
FEA06F37  // -0.0858314
FEA20E1A  // -0.0854358
FEA38F59  // -0.0850684
FEA1F4B9  // -0.08546
FE9C7684  // -0.086801
FE94D1FB  // -0.0886669
FE8DFB66  // -0.0903364
FE8A0D2C  // -0.091296
FE88CBE7  // -0.0916024
FE87BE58  // -0.0918595
FE83C84E  // -0.0928266
FE7B3D4A  // -0.0949123
FE6F00A8  // -0.0978998
FE62025A  // -0.101072
FE577FDB  // -0.103638
FE5143C3  // -0.10516
FE4F0FDB  // -0.105698
FE4F6F30  // -0.105607
FE512CBA  // -0.105182
FE54245D  // -0.104458
FE58BA22  // -0.103338
FE5E69D9  // -0.10195
FE62AE5C  // -0.100908
FE616973  // -0.101218
FE56FF0F  // -0.103761
FE42EB75  // -0.108662
FE292AC8  // -0.114949
FE11400E  // -0.120789
FE031A5D  // -0.124242
FE03657C  // -0.124171
FE114A19  // -0.120779
FE26D6DB  // -0.115518
FE3BE036  // -0.110382
FE49F152  // -0.106948
FE4F7E5E  // -0.105592
FE510B22  // -0.105214
FE57FF15  // -0.103517
FE6FB31D  // -0.0977296
FEA1B9BC  // -0.0855162
FEF25309  // -0.0658388
FF5E1696  // -0.0395292
FFD97CCE  // -0.00940246
0052F50C  // 0.0202532
00B78102  // 0.0448008
00F8F0A7  // 0.0607764
0113BF2F  // 0.067321
011208A6  // 0.0669028
01098CC6  // 0.0648315
01145450  // 0.0674632
0145E7DF  // 0.0795668
01A112E8  // 0.101825
0212BFA2  // 0.129577
027523D2  // 0.153599
029B29A6  // 0.162882
02606E38  // 0.148543
01B79262  // 0.107317
00B0C4A2  // 0.0431563
FF756352  // -0.0338408
FE3A3878  // -0.110786
FD2E08A2  // -0.176261
FC6BB65E  // -0.223703
FBF55FBA  // -0.252594
FBB96CD5  // -0.26723
FB9DFBF3  // -0.27393
FB8CA4AE  // -0.278163
FB795ECE  // -0.282869
FB62A86D  // -0.288414
FB4CD054  // -0.293747
FB3C3C88  // -0.297794
FB321488  // -0.300273
FB2C7501  // -0.301646
FB28DA08  // -0.302526
