FEECEFB9  // -0.0671542
FEF1527A  // -0.0660835
FEF26268  // -0.0658241
FEF09772  // -0.0662618
FEEC81EB  // -0.0672589
FEE6DE24  // -0.0686358
FEE0EAED  // -0.0700885
FEDC7F04  // -0.0711679
FEDB87D8  // -0.0714037
FEDF0D89  // -0.0705437
FEE664B2  // -0.0687516
FEEF1FE3  // -0.06662
FEF5FFE8  // -0.0649415
FEF86FDF  // -0.0643464
FEF5C537  // -0.0649975
FEEF7EB2  // -0.0665296
FEE86C7D  // -0.0682559
FEE33FA1  // -0.0695194
FEE15011  // -0.069992
FEE25562  // -0.0697428
FEE50822  // -0.069084
FEE83E09  // -0.0683002
FEEBA8A1  // -0.0674661
FEEFC333  // -0.0664642
FEF50291  // -0.0651831
FEFAF22B  // -0.0637339
FEFFECE3  // -0.0625182
FF01CC08  // -0.0620613
FEFF32AD  // -0.0626958
FEF8A7F7  // -0.0642929
FEF0B579  // -0.0662332
FEEADB48  // -0.067662
FEE9DDA2  // -0.0679039
FEEE6956  // -0.0667941
FEF6D9D6  // -0.0647337
FF00449F  // -0.0624346
FF08099E  // -0.0605377
FF0CFE6D  // -0.0593277
FF0F8CF1  // -0.0587035
FF10E1C3  // -0.0583784
FF11E51A  // -0.0581311
FF12D8BE  // -0.0578988
FF13C5C0  // -0.0576727
FF15442B  // -0.057308
FF18D1FA  // -0.0564404
FF202F13  // -0.0546426
FF2C1F7D  // -0.0517278
FF3B6E7F  // -0.0479903
FF4B1A7C  // -0.0441642
FF57B36C  // -0.0410887
FF5F4447  // -0.0392415
FF626CF4  // -0.0384703
FF640EC3  // -0.0380719
FF67A07A  // -0.0372005
FF6F4275  // -0.035337
FF7ABB50  // -0.0325362
FF87D9D1  // -0.0293333
FF93CB26  // -0.0264176
FF9C6210  // -0.0243205
FFA08A9E  // -0.0233053
FF9FDB47  // -0.0234725
FF9A080E  // -0.0248947
FF8EF367  // -0.0275999
FF7F8C58  // -0.0313603
FF6ECA25  // -0.0354518
FF61B66D  // -0.0386444
FF5DF39C  // -0.0395626
FF672B27  // -0.0373124
FF7CBF0B  // -0.0320444
FF992B9B  // -0.0251049
FFB3BE1F  // -0.0186175
FFC3ED5A  // -0.0146662
FFC4B511  // -0.0144758
FFB64BCC  // -0.0179941
FF9D6C32  // -0.0240667
FF80CE18  // -0.0310535
FF663833  // -0.0375441
FF50A6A8  // -0.0428098
FF403960  // -0.0468203
FF337E22  // -0.0499285
FF291474  // -0.0524707
FF20957F  // -0.0545449
FF1A640E  // -0.0560569
FF16CD8D  // -0.0569329
FF15315F  // -0.057326
FF13EE92  // -0.0576338
FF111939  // -0.0583256
FF0B89E8  // -0.0596829
FF038EE8  // -0.0616313
FEFADEB1  // -0.0637525
FEF3C5F0  // -0.0654851
FEF01AA1  // -0.0663809
FEF080DA  // -0.0662834
FEF44930  // -0.0653599
FEF9E228  // -0.0639933
FEFF89BF  // -0.0626128
FF03DA1B  // -0.0615596
FF06191B  // -0.0610112
FF063F5B  // -0.0609747
FF04E0AA  // -0.0613092
FF02F5F1  // -0.0617772
FF018FCA  // -0.0621187
FF017504  // -0.0621443
FF02D5C2  // -0.0618079
FF054A76  // -0.0612083
FF0823F8  // -0.0605126
FF0AE99D  // -0.0598358
FF0D9D87  // -0.0591759
FF107265  // -0.0584847
FF130E5E  // -0.0578476
FF13E685  // -0.0576415
