FEF64744  // -0.0648734
FEF71D29  // -0.0646695
FEF8882B  // -0.0643233
FEFA0198  // -0.0639633
FEFB56FC  // -0.0636377
FEFCD823  // -0.0632704
FEFF200B  // -0.0627136
FF0297D2  // -0.0618669
FF06FE01  // -0.0607929
FF0B4117  // -0.0597524
FF0DC20E  // -0.0591411
FF0CF5BF  // -0.059336
FF081C70  // -0.0605198
FEFFD356  // -0.0625426
FEF62BD6  // -0.0648996
FEEE2EC3  // -0.0668499
FEEAD90D  // -0.0676641
FEEDE2FB  // -0.0669222
FEF6E055  // -0.0647275
FF032A5E  // -0.0617272
FF0EC7D0  // -0.0588915
FF15FABB  // -0.0571339
FF16C6E2  // -0.0569392
FF11AE18  // -0.0581836
FF094077  // -0.0602413
FF00CD4E  // -0.0623042
FEFAE733  // -0.0637444
FEF88AD5  // -0.0643207
FEF940C3  // -0.0641472
FEFBED75  // -0.0634942
FEFFA8DC  // -0.0625831
FF040990  // -0.0615143
FF08D2A8  // -0.060346
FF0D6A82  // -0.0592246
FF10B934  // -0.0584171
FF119A41  // -0.0582025
FF0FB4AF  // -0.0586656
FF0C033A  // -0.0595672
FF08AD83  // -0.0603814
FF081E7B  // -0.0605178
FF0BEF13  // -0.0595865
FF1437BA  // -0.057564
FF1FB049  // -0.0547635
FF2C625A  // -0.051664
FF38701D  // -0.0487212
FF428FE5  // -0.0462495
FF4A0F3D  // -0.0444191
FF4EB507  // -0.0432844
FF50CB2E  // -0.042775
FF51578F  // -0.0426411
FF5248E1  // -0.042411
FF56223F  // -0.0414712
FF5F24CB  // -0.0392716
FF6E2B92  // -0.035603
FF81DCE2  // -0.0307952
FF96B1C0  // -0.0257094
FFA7E5AE  // -0.0215095
FFB0FB49  // -0.0192916
FFAF34D8  // -0.019725
FFA28066  // -0.0228268
FF8D9C22  // -0.0279273
FF757C09  // -0.0338173
FF6027D5  // -0.0390245
FF534FEA  // -0.0421601
FF52CEBE  // -0.0422833
FF5F6D33  // -0.0392025
FF7652B8  // -0.0336125
FF916BE7  // -0.0269967
FFA8E675  // -0.0212646
FFB563CA  // -0.0182154
FFB238DF  // -0.0189887
FF9EE64C  // -0.0237062
FF7F42B9  // -0.0314305
FF5A3BEF  // -0.0404702
FF37973E  // -0.048928
FF1D8B5C  // -0.055287
FF0EFA6A  // -0.0588432
FF0AE7C0  // -0.0598376
FF0D4738  // -0.0592583
FF10CADA  // -0.0584003
FF10EB99  // -0.0583691
FF0B69CA  // -0.0597136
FF00AF82  // -0.0623326
FEF316D8  // -0.065652
FEE58661  // -0.0689636
FEDA37D0  // -0.0717241
FED223BB  // -0.0736964
FECD52DF  // -0.0748721
FECB9221  // -0.0753001
FECCF9C6  // -0.0749571
FED1CDBC  // -0.0737784
FED9D703  // -0.0718164
FEE3B7A2  // -0.069405
FEECE1D1  // -0.0671675
FEF25970  // -0.0658327
FEF1FF21  // -0.0659188
FEEB94A4  // -0.0674852
FEE0E88F  // -0.0700907
FED4FFDB  // -0.0729982
FECAC650  // -0.0754945
FEC3FA7B  // -0.0771537
FEC0EEF9  // -0.0778971
FEC11172  // -0.0778642
FEC3B627  // -0.0772189
FEC8881A  // -0.0760421
FECF4EE0  // -0.0743877
FED75253  // -0.0724313
FEDEEA0A  // -0.0705776
FEE3BA64  // -0.0694023
FEE3A325  // -0.0694245
FEDDD526  // -0.0708416
FED37643  // -0.0733735
