FF114B8B  // -0.0582776
FF13DD97  // -0.05765
FF12898A  // -0.0579743
FF0E84E7  // -0.0589553
FF09B14C  // -0.0601337
FF05D00A  // -0.0610809
FF03FA70  // -0.0615287
FF048934  // -0.0613926
FF074BC3  // -0.0607188
FF0BCB0B  // -0.0596208
FF116725  // -0.0582512
FF1754F0  // -0.0568038
FF1C924C  // -0.0555245
FF200277  // -0.0546851
FF20C743  // -0.0544975
FF1EA322  // -0.0550202
FF1A4147  // -0.0560901
FF15216C  // -0.0573412
FF112622  // -0.0583132
FF0FE7CC  // -0.0586168
FF1223B0  // -0.0580714
FF177CC0  // -0.0567658
FF1EBE4E  // -0.0549943
FF265B07  // -0.0531358
FF2CF32B  // -0.0515259
FF319FFB  // -0.0503845
FF33EB79  // -0.0498243
FF33A933  // -0.0498875
FF30ED0C  // -0.0505552
FF2C30A4  // -0.0517114
FF26982E  // -0.0530775
FF21EFCB  // -0.0542147
FF203F1E  // -0.0546273
FF22F12D  // -0.0539692
FF2A0632  // -0.0522402
FF33CAEB  // -0.0498553
FF3D6BF5  // -0.0475045
FF44264B  // -0.0458619
FF468788  // -0.0452809
FF45111D  // -0.045638
FF41E006  // -0.0464172
FF3FA514  // -0.0469617
FF407BCA  // -0.0467569
FF454A28  // -0.0455836
FF4DDC99  // -0.0434908
FF596BE9  // -0.0406686
FF6712B7  // -0.0373357
FF75DC0E  // -0.0337257
FF847379  // -0.0301633
FF90F994  // -0.0271057
FF996873  // -0.0250469
FF9C7EFE  // -0.024293
FF9ABA4A  // -0.0247247
FF96A744  // -0.0257194
FF9417C3  // -0.0263445
FF967ADE  // -0.0257617
FF9F2679  // -0.023645
FFAC7BF2  // -0.0203896
FFBA74F3  // -0.0169783
FFC44E16  // -0.014574
FFC675A3  // -0.014048
FFBFCC82  // -0.0156741
FFB1C3EB  // -0.0191003
FF9F7147  // -0.0235736
FF8C5ED7  // -0.0282299
FF7BA80C  // -0.0323104
FF6FAAAE  // -0.0352376
FF6A0817  // -0.0366134
FF6B917B  // -0.0362382
FF73DC44  // -0.0342138
FF80BEDB  // -0.031068
FF8E38FE  // -0.0277777
FF9736B3  // -0.0255826
FF97147E  // -0.0256152
FF8B5D94  // -0.0284752
FF74D3AB  // -0.0339778
FF573E1B  // -0.0412005
FF37FCF4  // -0.048831
FF1C0E8A  // -0.0556502
FF067BA4  // -0.0609172
FEF7DA1F  // -0.0644892
FEEEE8E0  // -0.0666724
FEE9C6D0  // -0.0679256
FEE6F18C  // -0.0686173
FEE5896F  // -0.0689607
FEE4ED12  // -0.0691098
FEE41F66  // -0.069306
FEE19CC4  // -0.0699189
FEDBE2ED  // -0.0713168
FED2652C  // -0.073634
FEC6463F  // -0.0765932
FEBA4739  // -0.0795219
FEB1C208  // -0.0816021
FEAF2A15  // -0.0822353
FEB2D553  // -0.0813395
FEBACB5C  // -0.0793959
FEC3AD48  // -0.0772273
FECA4019  // -0.0756225
FECCC6B8  // -0.0750058
FECB7390  // -0.0753292
FEC7DB1C  // -0.0762071
FEC3DCFE  // -0.0771818
FEC0BD8F  // -0.0779442
FEBEF636  // -0.0783785
FEBEAE97  // -0.0784468
FEC0554A  // -0.0780437
FEC4C18E  // -0.0769638
FECC9D8D  // -0.0750451
FED7799E  // -0.0723938
FEE336AF  // -0.0695279
FEEC5A83  // -0.0672965
FEEF40C0  // -0.0665886
FEE99C53  // -0.0679662
FEDB929E  // -0.0713934
FEC808A8  // -0.0761636
FEB460D0  // -0.0809624
FEA80079  // -0.0839839
FEABCFFA  // -0.0830536
FEC91F55  // -0.0758979
FF074835  // -0.0607222
FF67F698  // -0.0371183
FFE37CCD  // -0.00696106
0067B6A8  // 0.0253207
00DBE078  // 0.0536809
01298246  // 0.072634
0147472F  // 0.0799019
01403434  // 0.0781748
0131F1E7  // 0.0746936
0140C650  // 0.0783141
018555D4  // 0.0950526
01FCD0D8  // 0.124223
02844604  // 0.157293
02E31B74  // 0.180446
02E1301F  // 0.179978
025EC8C7  // 0.148141
0162FB19  // 0.0866652
0019C364  // 0.00628985
FEC2E69F  // -0.0774168
FD9A219C  // -0.14987
FCC399B7  // -0.202246
FC449503  // -0.233256
FC099212  // -0.247663
FBF4871B  // -0.252801
FBEB32A3  // -0.255079
FBDF31C8  // -0.258009
FBCE119D  // -0.26219
FBBC0412  // -0.266598
FBADAECA  // -0.270097
FBA4A32C  // -0.272305
FB9F7085  // -0.273574
FB9C0090  // -0.274414
FB9A3079  // -0.274856
FB9D16EB  // -0.274148
FBAA98F8  // -0.27085
FBC9AC53  // -0.263263
FBFFF398  // -0.250012
FC4F532D  // -0.230634
FCB44033  // -0.205993
FD257458  // -0.178356
FD959DAF  // -0.150973
FDF6E474  // -0.127224
FE3F1510  // -0.109599
FE6AC155  // -0.0989367
FE7DE3F2  // -0.094265
FE81A9CD  // -0.0933439
FE808A80  // -0.0936179
FE8276F6  // -0.0931483
FE8AD6C5  // -0.0911038
FE98B900  // -0.0877142
FEA89F06  // -0.0838327
FEB69918  // -0.0804204
FEBFBC66  // -0.0781895
FEC2AC66  // -0.0774723
FEBF9A0E  // -0.0782222
FEB80E7D  // -0.0800643
FEAEA9AB  // -0.0823577
FEA69140  // -0.0843341
FEA280DF  // -0.0853263
FEA3B1D7  // -0.0850355
FEA93331  // -0.0836914
FEB031C2  // -0.0819838
FEB5338C  // -0.0807614
FEB5A156  // -0.0806567
FEB0D1FA  // -0.081831
FEA80E86  // -0.0839705
FE9DA26C  // -0.086515
FE93A722  // -0.0889519
FE8B3F67  // -0.091004
FE84928A  // -0.0926337
FE7F4BEE  // -0.0939217
FE7B22CA  // -0.0949375
FE77FE14  // -0.095705
FE75B422  // -0.0962638
FE73B608  // -0.0967502
FE71007A  // -0.0974117
FE6C6755  // -0.0985343
FE651EE2  // -0.100312
FE5B2399  // -0.102749
FE4F4E63  // -0.105638
FE4315C9  // -0.108622
FE381E58  // -0.111299
FE2FC31E  // -0.113339
FE2AC139  // -0.114562
FE290049  // -0.11499
FE298B32  // -0.114857
FE2AC3D7  // -0.114559
FE2ACBA6  // -0.114552
FE280FF7  // -0.115219
FE21C401  // -0.116756
FE181FE2  // -0.11911
FE0C4F55  // -0.121995
FE001EE7  // -0.124971
FDF58F5C  // -0.127549
FDEE6873  // -0.129295
FDEBD4DA  // -0.129924
FDEE0199  // -0.129393
FDF3ED1F  // -0.127948
FDFB7F40  // -0.126099
FE021C86  // -0.124485
FE05A0D7  // -0.123626
FE0555C0  // -0.123698
FE025FA9  // -0.12442
FDFF54B7  // -0.125163
FDFF1211  // -0.125227
FE036E43  // -0.124162
FE0C8752  // -0.121941
FE1907BE  // -0.118889
FE273352  // -0.11543
FE35F74F  // -0.111825
FE455A68  // -0.108068
FE55FB83  // -0.104008
FE68163C  // -0.0995882
FE7AC95F  // -0.0950228
FE8C3C0A  // -0.0907631
FE9A94C6  // -0.0872605
FEA52560  // -0.0846812
FEACFC47  // -0.0827672
FEB4746C  // -0.0809437
FEBDF1D2  // -0.0786268
FECA946D  // -0.075542
FED99B63  // -0.0718733
FEE8D2BF  // -0.0681584
FEF5B822  // -0.0650099
FEFEB9DA  // -0.062811
FF03D343  // -0.0615661
FF066B76  // -0.0609327
FF088B80  // -0.0604138
FF0BFD16  // -0.0595731
FF11B468  // -0.0581776
FF19ABED  // -0.0562325
FF23226D  // -0.0539222
FF2CF82C  // -0.0515211
FF3609C2  // -0.0493071
FF3D67C2  // -0.0475085
FF427AFA  // -0.0462694
FF4516B9  // -0.0456326
FF45886E  // -0.0455242
FF448D74  // -0.0457635
FF433550  // -0.0460917
FF42A816  // -0.0462264
FF43D1CC  // -0.0459425

