FEE20D2E  // -0.0698116
FEE04783  // -0.0702443
FEDD2747  // -0.0710075
FEDAA5D3  // -0.0716192
FEDA11F2  // -0.0717602
FEDB7205  // -0.0714245
FEDDAAEF  // -0.0708819
FEDF516D  // -0.070479
FEDF983A  // -0.0704115
FEDED0A4  // -0.0706018
FEDE1DD9  // -0.0707723
FEDE9DB7  // -0.0706504
FEE09329  // -0.0701722
FEE32674  // -0.0695434
FEE4F4DD  // -0.0691024
FEE50E55  // -0.0690781
FEE3CAFC  // -0.0693865
FEE2D375  // -0.0696226
FEE44C19  // -0.0692634
FEE986C3  // -0.0679867
FEF202FD  // -0.0659151
FEFB5EA5  // -0.0636304
FF025077  // -0.061935
FF043010  // -0.0614776
FF003C0E  // -0.0624427
FEF7EF94  // -0.0644688
FEEE4447  // -0.0668294
FEE6514C  // -0.0687701
FEE212B3  // -0.0698064
FEE1E45E  // -0.0698506
FEE4E009  // -0.0691223
FEE9B278  // -0.067945
FEEF6174  // -0.0665575
FEF58115  // -0.0650624
FEFBE8E5  // -0.0634986
FF02366A  // -0.0619598
FF079144  // -0.0606525
FF0ADDE3  // -0.059847
FF0B5331  // -0.0597351
FF090D0E  // -0.0602903
FF054E92  // -0.0612044
FF0241BF  // -0.061949
FF024B3E  // -0.06194
FF07300C  // -0.0607452
FF115A99  // -0.0582632
FF1F80F8  // -0.0548086
FF2EE212  // -0.0510539
FF3C1164  // -0.047835
FF44323F  // -0.0458505
FF46333E  // -0.0453613
FF437AA6  // -0.0460256
FF3F9C43  // -0.0469701
FF3F05D1  // -0.0471136
FF451B80  // -0.0456281
FF5294FA  // -0.0423384
FF64F365  // -0.0378538
FF775991  // -0.0333618
FF847B0C  // -0.0301561
FF88A0C0  // -0.0291436
FF82F1BA  // -0.0305312
FF757873  // -0.0338207
FF641DCF  // -0.0380575
FF5341A0  // -0.0421737
FF46A7F0  // -0.04525
FF40ED31  // -0.0466488
FF435F4C  // -0.0460517
FF4DD858  // -0.0434949
FF5E768C  // -0.0394377
FF717813  // -0.0347976
FF81B1DC  // -0.0308362
FF89DD19  // -0.0288419
FF866645  // -0.0296876
FF76F633  // -0.0334566
FF5EC297  // -0.0393652
FF436737  // -0.0460441
FF2AA525  // -0.0520886
FF1836B0  // -0.0565885
FF0CBDCA  // -0.0593893
FF064421  // -0.0609702
FF01D850  // -0.0620496
FEFD4C63  // -0.0631596
FEF807D9  // -0.0644456
FEF2B381  // -0.0657468
FEEE1911  // -0.0668706
FEEA287A  // -0.0678325
FEE5DA6F  // -0.0688835
FEDFFC24  // -0.0703162
FED84E3E  // -0.072191
FED02AB8  // -0.074178
FECA19F6  // -0.0756588
FEC88C17  // -0.0760383
FECC6614  // -0.075098
FED447D4  // -0.0731737
FEDD00BE  // -0.0710442
FEE2F6C8  // -0.0695889
FEE3C31F  // -0.069394
FEDF2AD6  // -0.0705158
FED70020  // -0.0725096
FECE18DA  // -0.0746833
FEC70415  // -0.0764121
FEC32646  // -0.0773561
FEC29BE6  // -0.077488
FEC4B755  // -0.0769736
FEC8A7BF  // -0.0760119
FECDCC25  // -0.0747565
FED391EF  // -0.0733472
FED91810  // -0.0719985
FEDD008A  // -0.0710444
FEDDBA49  // -0.0708673
FEDA32DF  // -0.0717288
FED28764  // -0.0736014
FEC82DD4  // -0.0761282
FEBD6FD0  // -0.0787508
FEB4722D  // -0.0809458
FEAE87E9  // -0.0823899
FEAC8D67  // -0.082873
FEB04F9D  // -0.0819553
FEBE3132  // -0.0785664
FEDD7702  // -0.0709314
FF16073E  // -0.057122
FF6BB4C4  // -0.0362046
FFD932B2  // -0.00947314
004E0CFD  // 0.0190554
00B26BDC  // 0.0435599
00F0A096  // 0.0587469
0100BFA6  // 0.0626828
00EFF3F9  // 0.0585823
00DDFF97  // 0.0541988
00EFBEE6  // 0.0585317
013BBE06  // 0.0770855
01BA76E4  // 0.108024
02436A40  // 0.141459
029A9F4E  // 0.16275
02898862  // 0.158577
01F7B006  // 0.122971
00F6ED20  // 0.0602847
FFBCBCF1  // -0.0164214
FE8C21EC  // -0.090788
FD9B111C  // -0.149642
FD00486E  // -0.187431
FCB13261  // -0.206739
FC8E9FB6  // -0.21518
FC77BF3A  // -0.220765
FC58F1D9  // -0.228285
FC300083  // -0.238281
FC06315B  // -0.248488
FBE61031  // -0.256332
FBD3D3BC  // -0.260784
FBCC1BCF  // -0.262669
FBC83299  // -0.263624
FBC3D52F  // -0.264689
FBC09EB1  // -0.265474
FBC57840  // -0.26429
FBDB2D28  // -0.25899
FC0876BC  // -0.247934
FC4F5508  // -0.230632
FCAC3AD3  // -0.207952
FD16AB3C  // -0.181966
FD82CAE0  // -0.155568
FDE3D385  // -0.131878
FE2F3834  // -0.113472
FE5FCFAA  // -0.101609
FE77981B  // -0.0958022
FE7EE104  // -0.0940237
FE80B372  // -0.0935789
FE860B08  // -0.0922746
FE924BEF  // -0.0892831
FEA2D8BB  // -0.0852425
FEB1E2FA  // -0.0815706
FEBA996D  // -0.0794435
FEBC1ACC  // -0.079076
FEB98B40  // -0.0797012
FEB785A6  // -0.0801948
FEB8E5B5  // -0.0798591
FEBD1107  // -0.0788412
FEC0CE7D  // -0.0779281
FEC0D32A  // -0.0779236
FEBC2FA9  // -0.0790561
FEB4EA56  // -0.0808312
FEAE83F5  // -0.0823937
FEAB81F0  // -0.083128
FEABCDB7  // -0.0830558
FEACED27  // -0.0827816
FEABE8A7  // -0.0830301
FEA773B1  // -0.0841182
FEA0E21F  // -0.0857219
FE9B4035  // -0.087097
FE992A90  // -0.0876059
FE9ACEDE  // -0.0872051
FE9D7173  // -0.0865617
FE9CBC35  // -0.0867346
FE952BF3  // -0.0885811
FE861E54  // -0.0922562
FE72610E  // -0.0970754
FE5EEC33  // -0.101826
FE50918B  // -0.10533
FE49D956  // -0.10697
FE4A1B59  // -0.106908
FE4E26E3  // -0.10592
FE51EC69  // -0.104999
FE52392F  // -0.104926
FE4DBC29  // -0.106022
FE4502FF  // -0.108151
FE39B305  // -0.110913
FE2D9942  // -0.113868
FE21FCF9  // -0.116702
FE1771AA  // -0.119276
FE0E0ABC  // -0.121572
FE05B6DA  // -0.123605
FDFE8C0B  // -0.125355
FDF8E9ED  // -0.12673
FDF56D00  // -0.127582
FDF4A979  // -0.127768
FDF6D240  // -0.127241
FDFB6707  // -0.126122
FE011B7E  // -0.12473
FE061C53  // -0.123508
FE08B2BD  // -0.122876
FE080615  // -0.123041
FE04A533  // -0.123866
FE00883E  // -0.12487
FDFE76F7  // -0.125375
FE011296  // -0.124738
FE09DB68  // -0.122593
FE189F03  // -0.118989
FE2B7EAF  // -0.114381
FE3F880B  // -0.109489
FE51A838  // -0.105064
FE5FA916  // -0.101645
FE68E920  // -0.099387
FE6E89E2  // -0.098013
FE72FE68  // -0.0969253
FE7916F5  // -0.0954371
FE82E54C  // -0.093043
FE90F422  // -0.0896109
FEA22C54  // -0.0854069
FEB477FD  // -0.0809403
FEC5BDDD  // -0.0767232
FED4AABD  // -0.0730794
FEE0D681  // -0.0701079
FEEA4F42  // -0.0677955
FEF0FC55  // -0.0661656
FEF4761F  // -0.065317
FEF47FE4  // -0.0653077
FEF1D4BF  // -0.0659592
FEEE9A33  // -0.0667475
FEEDDBB8  // -0.0669291
FEF22065  // -0.0658871
FEFBE9ED  // -0.0634976
FF090BEF  // -0.0602914
FF156EB0  // -0.0572675
FF1CFAAE  // -0.055425
FF1D9268  // -0.0552803
FF1808EB  // -0.0566321
FF0F8BE0  // -0.0587045
FF07FA16  // -0.0605525
FF042677  // -0.0614868
FF04F6B6  // -0.0612882
FF09A351  // -0.060147
FF109CA1  // -0.0584444
FF1858B2  // -0.056556

