FF038DEF  // -0.0616322
FF148193  // -0.0574936
FF19EEF9  // -0.0561686
FF0EF288  // -0.0588507
FEF65C40  // -0.0648534
FEDA45C8  // -0.0717108
FEC741B9  // -0.0763533
FEC5AC20  // -0.0767401
FED50320  // -0.0729951
FEEC248C  // -0.067348
FEFE4D13  // -0.0629148
FF01E97C  // -0.0620332
FEF53704  // -0.0651331
FEDE44D1  // -0.0707352
FEC6D166  // -0.0764605
FEB6E5A4  // -0.0803474
FEB162CD  // -0.0816929
FEB42506  // -0.0810194
FEBAD173  // -0.0793901
FEC20491  // -0.0776324
FEC8BD8F  // -0.0759911
FECF98CE  // -0.0743172
FED6EEFB  // -0.072526
FEDD9CC0  // -0.0708954
FEE163EB  // -0.0699731
FEE073ED  // -0.0702019
FEDAEB38  // -0.071553
FED327C1  // -0.0734484
FECCBFE4  // -0.0750123
FECACEEB  // -0.0754863
FECEA939  // -0.0745456
FED788AC  // -0.0723794
FEE32231  // -0.0695475
FEEEA020  // -0.0667418
FEF782B8  // -0.0645726
FEFC343E  // -0.0634267
FEFC654B  // -0.06338
FEF92887  // -0.0641703
FEF4BA3E  // -0.0652521
FEF1D694  // -0.0659575
FEF2C154  // -0.0657336
FEF87A94  // -0.0643362
FF028B93  // -0.0618786
FF0F9A47  // -0.0586908
FF1E3E5A  // -0.0551163
FF2D8CE4  // -0.0513793
FF3CDA26  // -0.0476435
FF4B059B  // -0.0441841
FF5607C8  // -0.0414965
FF5B760B  // -0.0401706
FF59DFA8  // -0.0405582
FF5232D4  // -0.042432
FF47F99E  // -0.044928
FF3FF524  // -0.0468854
FF3DABB1  // -0.0474437
FF416ED6  // -0.0465252
FF483516  // -0.0448712
FF4D8069  // -0.0435787
FF4E327E  // -0.0434089
FF4A84C0  // -0.044307
FF45D24A  // -0.0454537
FF44627D  // -0.0458045
FF48AE08  // -0.0447559
FF51D6C4  // -0.0425198
FF5C3C3B  // -0.0399816
FF638C42  // -0.0381963
FF64D713  // -0.0378808
FF5F54A1  // -0.0392259
FF53AE22  // -0.0420703
FF42BCD0  // -0.0462067
FF2CF505  // -0.0515241
FF12FA72  // -0.0578666
FEF6BC85  // -0.0647616
FEDBE311  // -0.0713167
FEC6D1EF  // -0.0764599
FEBA998D  // -0.0794434
FEB73232  // -0.0802744
FEB953E4  // -0.079754
FEBC26BD  // -0.0790646
FEBBD0BC  // -0.0791466
FEB748F1  // -0.0802527
FEB0468A  // -0.081964
FEA98C84  // -0.0836062
FEA4DDAD  // -0.0847495
FEA1F7DE  // -0.085457
FE9F3E3F  // -0.0861223
FE9B5B89  // -0.0870709
FE9691AC  // -0.08824
FE92B9BF  // -0.0891783
FE91F796  // -0.0893635
FE9524A2  // -0.0885881
FE9B1638  // -0.087137
FEA1456E  // -0.0856271
FEA541C3  // -0.0846541
FEA5FB79  // -0.084477
FEA3E8A7  // -0.0849832
FEA02694  // -0.0859007
FE9B4D51  // -0.0870845
FE94EFCB  // -0.0886385
FE8C3F4C  // -0.0907599
FE81489C  // -0.0934366
FE75D7AA  // -0.0962299
FE6D1EA1  // -0.0983595
FE6A3B00  // -0.0990648
FE6E5767  // -0.0980612
FE77B331  // -0.0957764
FE823836  // -0.0932081
FE8960BE  // -0.0914605
FE8A41B0  // -0.0912459
FE84827A  // -0.092649
FE79BEF8  // -0.0952769
FE6BE10D  // -0.0986623
FE5BE1E0  // -0.102568
FE4A15E6  // -0.106913
FE3801B0  // -0.111327
FE2A78F8  // -0.114631
FE2A0397  // -0.114743
FE4052A4  // -0.109296
FE73617D  // -0.0968309
FEC0A069  // -0.077972
FF1B5C46  // -0.0558202
FF703C9E  // -0.0350984
FFAD3D47  // -0.0202052
FFCAAC79  // -0.0130191
FFD0A640  // -0.0115602
FFD59B94  // -0.0103497
FFF599D9  // -0.00253883
00458BD5  // 0.0169791
00C7EB39  // 0.0488083
0168107F  // 0.0879064
01FE9834  // 0.124657
025D8FA3  // 0.147842
025FE3D2  // 0.148411
01F62AFF  // 0.1226
012C0746  // 0.0732491
00245351  // 0.00886852
FF0DB4C6  // -0.0591538
FE141176  // -0.120101
FD5433FC  // -0.166943
FCD5E2C3  // -0.197782
FC8DD9DC  // -0.215368
FC660147  // -0.225096
FC47EC5B  // -0.232441
FC252D5A  // -0.240924
FBFA9080  // -0.251327
FBCDC543  // -0.262263
FBA7BA2E  // -0.271551
FB8EE773  // -0.277611
FB846E60  // -0.280168
FB84EF69  // -0.280045
FB8BFDBA  // -0.278322
FB97D5EC  // -0.275431
FBAB260A  // -0.270716
FBCBF555  // -0.262705
FC006512  // -0.249904
FC4AECBF  // -0.231708
FCA7FD3E  // -0.208987
FD0E18E9  // -0.184058
FD706097  // -0.160064
FDC2875D  // -0.140008
FDFCA27E  // -0.125822
FE1D5831  // -0.117836
FE29A99A  // -0.114828
FE2A7907  // -0.114631
FE28E2F4  // -0.115018
FE2AF7C0  // -0.11451
FE3231C4  // -0.112746
FE3C26F8  // -0.110314
FE44E4CE  // -0.10818
FE498BBB  // -0.107044
FE49D048  // -0.106979
FE47B774  // -0.107491
FE4603C8  // -0.107907
FE468081  // -0.107788
FE4936A4  // -0.107126
FE4CE840  // -0.106224
FE50382E  // -0.105415
FE527C1C  // -0.104862
FE53AA81  // -0.104574
FE5392E7  // -0.104596
FE513F1B  // -0.105164
FE4B32AE  // -0.106641
FE40939A  // -0.109234
FE325FAC  // -0.112702
FE23A562  // -0.116297
FE184664  // -0.119073
FE12DC90  // -0.120395
FE131AE6  // -0.120336
FE15D359  // -0.119671
FE16D2D0  // -0.119428
FE136122  // -0.120269
FE0BD29D  // -0.122114
FE030D32  // -0.124255
FDFC4DF9  // -0.125902
FDF8AE6A  // -0.126787
FDF622DB  // -0.127408
FDF0B776  // -0.128731
FDE55798  // -0.131508
FDD4426E  // -0.135679
FDC189B0  // -0.14025
FDB323FB  // -0.143765
FDADAA88  // -0.145101
FDB1C362  // -0.144101
FDBBAFA0  // -0.141678
FDC54C71  // -0.139331
FDC9352D  // -0.138377
FDC53CD8  // -0.139346
FDBAF5F1  // -0.141855
FDAE4057  // -0.144958
FDA30265  // -0.147703
FD9B7E8D  // -0.149538
FD9806AF  // -0.150384
FD97E1BE  // -0.150419
FD9A5C71  // -0.149814
FD9F2F03  // -0.148637
FDA5FAF8  // -0.146977
FDAD866E  // -0.145135
FDB38B04  // -0.143666
FDB58F29  // -0.143174
FDB26459  // -0.143947
FDAB4EBB  // -0.145677
FDA3F083  // -0.147476
FDA0D0DF  // -0.148238
FDA53C57  // -0.147159
FDB1A8EE  // -0.144126
FDC3949F  // -0.139751
FDD6DA2E  // -0.135046
FDE7AF78  // -0.130936
FDF427CC  // -0.127892
FDFC8352  // -0.125851
FE026328  // -0.124417
FE07A6B1  // -0.123132
FE0DB64C  // -0.121652
FE158A78  // -0.119741
FE20182F  // -0.117164
FE2E733C  // -0.11366
FE4152EF  // -0.109052
FE582884  // -0.103477
FE70873B  // -0.0975273
FE86758C  // -0.0921731
FE95BA8F  // -0.0884451
FE9B92A6  // -0.0870183
FE97E2EB  // -0.0879184
FE8D4A5E  // -0.0905052
FE801F03  // -0.0937204
FE74EB5C  // -0.0964552
FE6F1CD1  // -0.0978729
FE7056C5  // -0.0975735
FE785B7C  // -0.0956159
FE854E16  // -0.0924548
FE94297B  // -0.0888276
FEA162D0  // -0.0855991
FEA9D0BD  // -0.0835412
FEABB196  // -0.0830826
FEA74E37  // -0.0841539
FE9EDC9E  // -0.0862154
FE95816A  // -0.0884996
FE8DFA12  // -0.0903377
FE89BA03  // -0.0913753
FE88F551  // -0.0915629
FE8B6D68  // -0.0909601

