07943C6F  // 0.47369
07361635  // 0.450705
06D79584  // 0.427633
06AB92A7  // 0.416888
06CC6574  // 0.424901
072E091B  // 0.448739
07A44A60  // 0.47761
07F9585D  // 0.498375
0808633F  // 0.502048
07CEA384  // 0.487949
076ABC57  // 0.463559
070BEA2C  // 0.440409
06DA683F  // 0.428322
06E56990  // 0.431009
071EF2F6  // 0.445056
07664FD5  // 0.462478
079A7659  // 0.475211
07A9DA23  // 0.478968
079805EF  // 0.474615
0777348E  // 0.466603
075B180F  // 0.45974
074D69AB  // 0.4564
074AC6BC  // 0.455756
0748EEFE  // 0.455306
074131EC  // 0.453417
07376746  // 0.451026
07384F1A  // 0.451247
075043DE  // 0.457096
078094E3  // 0.468892
07BB4126  // 0.483216
07E8BA40  // 0.494318
07F4CB6A  // 0.497264
07DA9921  // 0.490869
07A7FA11  // 0.47851
0775C3D3  // 0.466251
0759B8DD  // 0.459405
075B0452  // 0.459721
07705D27  // 0.464933
0788753E  // 0.470815
0796A62B  // 0.47428
079AFDD9  // 0.47534
07A06727  // 0.476661
07B2B1F5  // 0.481127
07D3F393  // 0.489246
07F95DDC  // 0.498381
08124D7B  // 0.504468
0814F6C0  // 0.505118
0807AB72  // 0.501872
07FF6FD5  // 0.499863
0813B3AE  // 0.50481
084E65BA  // 0.51914
08A2E168  // 0.539766
08F2344E  // 0.559132
091B2ACC  // 0.569133
090CD206  // 0.56563
08D03802  // 0.550835
088328F7  // 0.532021
08470956  // 0.517343
082E1F7D  // 0.51126
0832DB15  // 0.512416
083E59BF  // 0.515222
0839F1CF  // 0.514147
08205C0E  // 0.5079
08032653  // 0.500769
0800650D  // 0.500096
082E7090  // 0.511338
088A50C4  // 0.533768
08F44838  // 0.559639
093DBDC1  // 0.577574
0941483D  // 0.578438
08F72DC1  // 0.560346
087A8384  // 0.529911
07FBDF51  // 0.498992
07A9092D  // 0.478769
07972D95  // 0.474409
07BB0A52  // 0.483164
07F20556  // 0.496587
0815BD60  // 0.505308
080E85C2  // 0.503546
07DB4D6A  // 0.491041
078CC6D1  // 0.471869
07392DC0  // 0.45146
06F12C75  // 0.43388
06BBF3F8  // 0.420887
069AB91B  // 0.412774
068E8480  // 0.409794
069AB70D  // 0.412772
06C1DD16  // 0.42233
06FF8730  // 0.437385
0744DE48  // 0.454314
077C2325  // 0.467807
07925861  // 0.473229
0781AF29  // 0.469161
0755AF47  // 0.458419
07259C6D  // 0.446682
0707A842  // 0.439369
0704B68B  // 0.438651
07146CA4  // 0.442486
07247BF8  // 0.446407
07269A42  // 0.446924
071BCBC0  // 0.444286
0714EEA3  // 0.44261
07273CBD  // 0.447079
075BB169  // 0.459886
07A4A253  // 0.477694
07E18D11  // 0.492566
07F07D1B  // 0.496213
07C3342E  // 0.485157
076AF3F4  // 0.463612
07126C65  // 0.441998
06E807AE  // 0.431648
07044976  // 0.438547
075AFE56  // 0.459715
07C03146  // 0.484422
07FEE4DB  // 0.49973
07F5CC8C  // 0.49751
07AACBE2  // 0.479198
074B24E6  // 0.455846
0717ADB7  // 0.443281
0746629C  // 0.454684
07E798A5  // 0.494042
08DB873B  // 0.553596
09DDF6C3  // 0.61669
0AA451AD  // 0.665117
0B019287  // 0.687884
0AFF8C78  // 0.68739
0ADF8AEA  // 0.679576
0AFE413D  // 0.687074
0BA4D25A  // 0.72774
0CDC1867  // 0.803734
0E59EAF5  // 0.896953
0F95E334  // 0.974094
10000000  // 1
0F40C15A  // 0.953309
0D62FB80  // 0.836666
0AD128AF  // 0.676064
0826BEE7  // 0.509459
05ED268E  // 0.370398
0466C494  // 0.27509
0381755B  // 0.219106
02F38DDD  // 0.184461
026EF729  // 0.152091
01CC04D0  // 0.112309
0115FFCA  // 0.0678709
00777739  // 0.0291664
0017960A  // 0.00575832
00000000  // 0
0019F00B  // 0.00633244
004097A5  // 0.0157696
005972D0  // 0.021838
006205EE  // 0.0239314
006B94FE  // 0.0262651
008AABD4  // 0.0338553
00C77EFF  // 0.0487051
0119DF4B  // 0.0688165
0172231E  // 0.0903655
01C74C34  // 0.111157
021F97BE  // 0.132713
028D5E72  // 0.159514
03225AF3  // 0.195888
03E19A1B  // 0.242579
04B8E906  // 0.295144
0585C8BD  // 0.345162
06233E55  // 0.383604
0679667A  // 0.404639
068769F2  // 0.40806
06639DEF  // 0.399321
06325108  // 0.387284
0617792E  // 0.380731
062915C1  // 0.385031
066797A7  // 0.400291
06BF075E  // 0.421638
07105A03  // 0.441492
073EF730  // 0.452872
073CD9BB  // 0.452356
070FFD71  // 0.441404
06CEFF12  // 0.425536
0696AE54  // 0.411787
067DA99C  // 0.405679
068B96F5  // 0.40908
06B794BD  // 0.41982
06EDCD1F  // 0.433057
0718C258  // 0.443545
072A018A  // 0.447755
071EC249  // 0.44501
06FF672D  // 0.437354
06DABD05  // 0.428403
06BF5124  // 0.421708
06B563CD  // 0.419285
06BBAB56  // 0.420818
06C829B4  // 0.423868
06CCFC99  // 0.425046
06BF2D84  // 0.421674
069C4BA6  // 0.413158
066BB3C3  // 0.401294
063AACD0  // 0.389325
0615602B  // 0.380219
06010E93  // 0.375258
05FB0338  // 0.373782
05FCC44A  // 0.374211
0601FACA  // 0.375483
060B2257  // 0.377718
061A8E40  // 0.381483
062DEEE6  // 0.386214
063A3A26  // 0.389216
062F095A  // 0.386484
060143A7  // 0.375309
05B68E9C  // 0.35707
05686DBF  // 0.337995
053A20EE  // 0.326692
05450850  // 0.329354
0586F088  // 0.345444
05DE932A  // 0.36684
061AE4E6  // 0.381566
0616013A  // 0.380372
05CC1DC7  // 0.362333
05600F2D  // 0.335952
05095917  // 0.314782
04F57FDA  // 0.309936
052E7254  // 0.32384
05952CE0  // 0.34892
05F3B5D4  // 0.372
061B954C  // 0.381734
05FED129  // 0.374711
05B54DA3  // 0.356763
056C88EC  // 0.338998
054C89D3  // 0.331186
056259A8  // 0.336511
059C008A  // 0.350586
05D6C3D7  // 0.364933
05F5AE08  // 0.37248
05F2717C  // 0.37169
05DF4752  // 0.367011
05DA1A07  // 0.365747
05F9C64E  // 0.37348
0640D7C3  // 0.390831
069CB3A6  // 0.413257
06F09D80  // 0.433744
0724FD92  // 0.446531
073259F9  // 0.449793
07229B51  // 0.445949
070981F3  // 0.439821
06F9D4D2  // 0.435994
06FD75A3  // 0.43688
0713BE99  // 0.44232
07354969  // 0.450509
07596A6A  // 0.45933
0779D896  // 0.467248
07934357  // 0.473453
07A42996  // 0.477579
07AC2349  // 0.479526
07ACC04F  // 0.479676
07AAD9FF  // 0.479212
07AE2795  // 0.480018
07BDDDD8  // 0.483854
07DB6FAF  // 0.491073
07FEFC2F  // 0.499752
0818C0B8  // 0.506043
081854E3  // 0.50594
07F67E49  // 0.497679
07BBD31C  // 0.483356

