07C2A46B  // 0.48502
07AB7362  // 0.479358
079798D6  // 0.474511
0780D28F  // 0.468951
076707C5  // 0.462654
07530A32  // 0.457773
0751C14A  // 0.45746
076B1B2B  // 0.463649
079B4F26  // 0.475417
07D3642C  // 0.489109
08011E00  // 0.500273
0818EBAE  // 0.506084
081B6383  // 0.506687
081294DE  // 0.504537
080978C0  // 0.502312
08039D77  // 0.500883
07FB6287  // 0.498873
07E8167D  // 0.494162
07C7F5B1  // 0.486318
07A65BC4  // 0.478115
0798EE3F  // 0.474837
07B40BB8  // 0.481456
07FD02E3  // 0.49927
0862DEBB  // 0.524138
08C31CA1  // 0.547635
08F8F138  // 0.560777
08EF3EB7  // 0.558409
08AB48F9  // 0.541818
084A3D6A  // 0.518125
07F2D6E4  // 0.496787
07C2D02F  // 0.485062
07C202F9  // 0.484866
07E17CB2  // 0.492551
0805FFD9  // 0.501465
08177E47  // 0.505736
080D0512  // 0.503179
07EF65E1  // 0.495947
07D266D3  // 0.488868
07C91F81  // 0.486602
07DC27A3  // 0.491249
080633D1  // 0.501514
083807C9  // 0.513679
0860C7CC  // 0.523628
08760ABE  // 0.528819
08780029  // 0.529297
08703A21  // 0.527399
086C48BF  // 0.526437
08771065  // 0.529068
0893E50A  // 0.536107
08BD72DA  // 0.546252
08E8B0CE  // 0.556809
090A4F46  // 0.565017
091BFE85  // 0.569335
091F0A2F  // 0.570078
091B277F  // 0.569129
091A1CF3  // 0.568875
09228B35  // 0.570934
09344CD2  // 0.575269
09482F73  // 0.580123
0952C800  // 0.58271
09493DAF  // 0.580381
092626D6  // 0.571814
08ECF701  // 0.557853
08AAEA3F  // 0.541727
0874BE2E  // 0.528502
0860EB28  // 0.523662
087F5343  // 0.531085
08D0CE2D  // 0.550978
0942AC93  // 0.578778
09B1C121  // 0.605897
09F5BA76  // 0.622492
09F13273  // 0.621386
099F218F  // 0.60135
09169659  // 0.568014
0881CCEC  // 0.53169
080C83F7  // 0.503056
07D243D2  // 0.488834
07D54825  // 0.489571
0801D9B9  // 0.500452
083AA3DB  // 0.514316
08665B39  // 0.524989
08775E94  // 0.529143
086B5321  // 0.526202
0845F731  // 0.517081
080CA40A  // 0.503086
07C5DA12  // 0.485804
077B79FF  // 0.467646
073BC163  // 0.452089
0715D44F  // 0.442829
0712ECEE  // 0.44212
073097E1  // 0.449364
0760C6EF  // 0.461127
0790B77D  // 0.472831
07B2C2AC  // 0.481143
07C51A1B  // 0.485621
07D10573  // 0.488531
07E36588  // 0.493017
08038519  // 0.500859
082E0B06  // 0.511241
0856D283  // 0.521197
086FFD19  // 0.527341
08717A23  // 0.527704
085CCB5B  // 0.522655
083B94B1  // 0.514546
081A8EC3  // 0.506484
0803F2BA  // 0.500964
07FBB8CF  // 0.498956
07FEA3F1  // 0.499668
0803D5BB  // 0.500936
080047F1  // 0.500069
07EB4830  // 0.494942
07C2BAC2  // 0.485041
078D284C  // 0.471962
07587360  // 0.459094
073546B4  // 0.450507
0731D4BC  // 0.449666
0756C790  // 0.458686
07A8084B  // 0.478524
08276B74  // 0.509624
08D58664  // 0.55213
09ADDF24  // 0.604949
0AA01701  // 0.664084
0B8C47C3  // 0.721748
0C4903A8  // 0.767826
0CB4734E  // 0.794055
0CC95756  // 0.799156
0CAAC2D1  // 0.79169
0C9B6A02  // 0.787943
0CDF8257  // 0.804568
0D95CBDA  // 0.849071
0E9C91ED  // 0.913225
0F93E532  // 0.973607
10000000  // 1
0F7D5964  // 0.968103
0DED3D6D  // 0.87042
0B84F234  // 0.719958
08B8742C  // 0.545033
060C64B7  // 0.378026
03E6596B  // 0.243738
0271111D  // 0.152604
019DA0FE  // 0.100984
013ADFE3  // 0.0768737
0112EA4E  // 0.067118
00FF59BA  // 0.0623414
00EDCD31  // 0.058057
00D8BDF2  // 0.0529155
00BE16FE  // 0.0464086
009AFEBB  // 0.0378406
006E2EF0  // 0.0269002
003C7757  // 0.0147622
0012426E  // 0.00445788
00000000  // 0
0013F471  // 0.00487179
0055DE54  // 0.020964
00C6C738  // 0.0485298
0163C1D1  // 0.0868548
0227D474  // 0.134724
030A9D01  // 0.190091
03FCA50D  // 0.249181
04E5ED26  // 0.306134
05AA67B3  // 0.354103
06344098  // 0.387757
067EAB2E  // 0.405925
0699C4E4  // 0.412541
06A37215  // 0.414904
06B7E5AA  // 0.419897
06E25764  // 0.430259
07178ED4  // 0.443251
073E2702  // 0.452674
073FF2F8  // 0.453113
0719C731  // 0.443793
06DF9FE5  // 0.429596
06B23286  // 0.418505
06AC344E  // 0.417042
06D2E931  // 0.426492
07134A6F  // 0.44221
074D3C9F  // 0.456357
07659371  // 0.462299
0753EE3E  // 0.457991
0724D211  // 0.446489
06EFF8A5  // 0.433587
06CA1F51  // 0.424346
06BB007C  // 0.420655
06BC9FE7  // 0.421051
06C2721B  // 0.422472
06C264EF  // 0.42246
06B9DFA1  // 0.420379
06AC94F4  // 0.417134
069F8EB5  // 0.413954
0694B3A8  // 0.411304
0689E7A1  // 0.408668
067B82C4  // 0.405154
0667AC6B  // 0.400311
064FF54A  // 0.394521
063852A3  // 0.388751
0624A958  // 0.383951
0616BDC1  // 0.380552
060DA5B0  // 0.378332
06067B46  // 0.376582
05FD88B4  // 0.374398
05EF645D  // 0.370945
05DA0830  // 0.36573
05BE0A05  // 0.358896
059F77A6  // 0.351432
05854650  // 0.345038
0576A5D2  // 0.341467
0576F403  // 0.341541
05829630  // 0.344382
058F3E85  // 0.347472
05907344  // 0.347766
057E8055  // 0.343384
055BC642  // 0.334906
0534E9B1  // 0.325418
051AFB02  // 0.319087
051A9025  // 0.318985
0534AEA6  // 0.325362
055DDA6E  // 0.335413
0583F9C4  // 0.344721
0597C829  // 0.349556
0594A9F5  // 0.348795
05827771  // 0.344352
0570B149  // 0.340013
056E00EF  // 0.339356
0580FC23  // 0.34399
05A5CED5  // 0.35298
05D19034  // 0.363663
05F89384  // 0.373188
06140E1D  // 0.379896
062419CB  // 0.383814
062DEB8A  // 0.386211
063806BF  // 0.388678
06472C3E  // 0.392376
065D7F22  // 0.397826
067B8420  // 0.405155
06A14E8C  // 0.414382
06CE7301  // 0.425403
07009349  // 0.43764
07320C72  // 0.449719
075A8110  // 0.459596
0771E4D6  // 0.465306
0774CA24  // 0.466013
07676AB0  // 0.462748
07550ECC  // 0.458266
074B97D4  // 0.455955
075520C3  // 0.458283
077318E3  // 0.4656
079D8CFD  // 0.475965
07C72991  // 0.486124
07E3A9F3  // 0.493082
07ED65C3  // 0.495458
07E71B1C  // 0.493922
07D956B2  // 0.490561
07CD647D  // 0.487645
07C8B48F  // 0.4865
07CB10C1  // 0.487077
07D0385B  // 0.488335
07D34398  // 0.489078
07D19F10  // 0.488677
07CBF5A4  // 0.487295
07C4DE7A  // 0.485564
07BEBC1F  // 0.484066

